Good,Unit,Price,Price,Conv,Exch,Antigua,Barbadoes,Jamaica,WI,,Bermuda,Boston,North Carolina,NA,,London,Barnstaple,Bristol,Liverpool,Plymouth,Poole,Glasgow,GB,,Lisbon,Madeira,SEU,,TOTAL,
,,1727,,,,,,,Quantity,Value,,,,Quantity,Value,,,,,,,,Quantity,Value,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beef,barrels,32,,0.05,149.58,,20,,20,21,,,,0,0,,,,,,,,0,0,,,0,0,20,21
Beeswax,pounds,,,,149.58,,,,0,0,,,,0,0,,,,,,,,0,0,1300,1000,2300,0,2300,0
Bread,barrels,13.46,,0.089285714,149.58,,,,0,0,8,,,8,6,,,,,,,,0,0,,,0,0,8,6
Corn,bushels,2.02,,0.05,149.58,1315,16712,14981,33008,2229,23390,4340,,27730,1872,,,,,,,,0,0,,812,812,55,61550,4156
Flour,barrels,11.46,,0.089285714,149.58,,,,0,0,,,,0,0,,,,,,,,0,0,,30,30,21,30,21
Iron,pounds,,,,149.58,,,,0,0,,100,,100,0,,,,,,,,0,0,,,0,0,100,0
Negroes,,23.92,,1,149.58,,,,0,0,,,2,2,32,,,,,,,,0,0,,,0,0,2,32
Peas,bushels,2.02,,0.05,149.58,1351,1396,1592,4339,293,1850,300,,2150,145,,,,,,,,0,0,,,0,0,6489,438
Pimento,bags,,,,149.58,,,,0,0,,,1,1,0,,,,,,,,0,0,,,0,0,1,0
Pitch,barrels,19.19,,0.05,149.58,,,,0,0,38,,,38,24,140,,,,,140,,280,180,,6,6,4,324,208
Pork,pounds,47.79,,0.00025,149.58,,1000,,1000,8,,,,0,0,,,,,,,,0,0,,,0,0,1000,8
Pork,barrels,47.79,,0.05,149.58,171,2165,908,3244,5182,392,4,,396,633,,,,,,,,0,0,,,0,0,3640,5815
Rum,casks,2.61,,,149.58,,,,0,0,,,1,1,0,,,,,,,,0,0,,,0,0,1,0
Rum,gallons,2.61,,,149.58,,,,0,0,,,100,100,0,,,,,,,,0,0,,,0,0,100,0
Salt,bushels,1.85,,0.05,149.58,,,,0,0,,,899,899,56,,,,,,,,0,0,,,0,0,899,56
Salt,hhds,1.85,,,149.58,,,,0,0,,,6,6,0,,,,,,,,0,0,,,0,0,6,0
Skins,hhds,,,,149.58,,,,0,0,,7,,7,0,21,,,,,,,21,0,,,0,0,28,0
Spirits,gallons,2.87,,0.05,149.58,,,,0,0,,,16,16,2,,,,,,,,0,0,,,0,0,16,2
Sugar,kegs,35.17,,,149.58,,,,0,0,,,1,1,0,,,,,,,,0,0,,,0,0,1,0
Tar,barrels,14.13,,0.05,149.58,,61,330,391,185,421,,,421,199,959,,,1100,,255,,2314,1093,,6,6,3,3132,1480
Tobacco,hhds,17.87,,0.394,149.58,6,22,19,47,221,7,,,7,33,2418,78,300,379,310,165,426,4076,19186,,,0,0,4130,19440
Turpentine,barrels,29.21,,0.05,149.58,,10,,10,10,,,,0,0,,,,,,,,0,0,,,0,0,10,10
Wheat,bushels,3.27,,0.05,149.58,,,,0,0,,950,,950,104,,,,,,,,0,0,3040,1524,4564,499,5514,603
Wine,pipes,24.04,,1,149.58,,,,0,0,,,1,1,16,,,,,,,,0,0,,,0,0,1,16
Wine,casks,24.04,,0.25,149.58,,,,0,0,,,5,5,20,,,,,,,,0,0,,,0,0,5,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL VALUES PER REGION,,,,,,,,,,8149,,,,,3142,,,,,,,,,20459,,,,582,,32332
