Good,Unit,Price,Price,Conv,Exch,Antigua,Barbadoes,Jamaica,Montserrat,Nevis,St. Christophers,WI,,New Providence,Bermuda,Boston,Halifax,New England,New York,Piscataqua,Rhode Island,Salem,NA,,London,Bristol,Hull,Lancaster,Liverpool,Whitehaven,Dumfries,Glasgow,GB,,Belfast,Cork,Dublin,IRE,,Madeira,SEU,,TOTAL,
,,1758,,,,,,,,,,Quantity,Value,,,,,,,,,,Quantity,Value,,,,,,,,,Quantity,Value,,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bar iron,tons,23,,1,159,,,,,,,0,0,,,,,,,,,,0,0,,,,,,,,4.5,4.5,65,,,,0,0,,0,0,4.5,65
Beans,bushels,1.94,,0.05,159,,,,,,,0,0,,,,,,3,,128,,131,8,,,,,,,,,0,0,,,,0,0,,0,0,8,8
Beef,barrels,48.18,,0.05,159,40,2,60,,,,102,155,,28,,,,234,,,,262,397,,,,,,,,,0,0,,,,0,0,,0,0,499,552
Beeswax,barrels,,,,159,,,,,,,0,0,,,,,,1,,,,1,0,,,,,1,,,,1,0,,,,0,0,,0,0,1,0
Beeswax,hhds,,,,159,,,,,,,0,0,,,,,,1,,,,1,0,,,,,,,,,0,0,,,,0,0,,0,0,0,0
Beeswax,tons,,,,159,,,,,,,0,0,,,,,,2,,,,2,0,,,,,,,,,0,0,,,,0,0,,0,0,0,0
Beeswax,boxes,,,,159,,,,,,,0,0,,,,,,,,,,0,0,,,,,,,,,0,0,,,,0,0,3,3,0,3,0
Beeswax,casks,,,,159,1,,,,,,1,0,,,,,,3,,,,3,0,,,,,,,,,0,0,,,,0,0,,0,0,1,0
Beeswax,pounds,,,,159,,,,,,,0,0,,,,,,130,,,,130,0,,,,,,,,,0,0,,,,0,0,,0,0,0,0
Bread,hhds,21.84,,0.178571429,159,,,,,,,0,0,,,,15,,,,,,15,37,,,,,,,,,0,0,,,,0,0,,0,0,37,37
Bread,barrels,21.84,,0.008928571,159,,226,32,,134,,392,48,,,,104,,,,,,104,13,,,,,,,,50,50,6,,,,0,0,,0,0,455,67
Corn,bushels,1.94,,0.05,159,45891,46086,10225,640,8692,9940,121474,7411,,15082,950,1200,1200,943,,1427,3600,24402,1489,,,,,,,,6000,6000,366,,,,0,0,,0,0,128963,9266
Cotton,bags,1.4,,6,159,,,,,,,0,0,,,,,,,,,,0,0,,,,,8,,,5,13,69,,,,0,0,,0,0,13,69
Deer Skins,bundles,,,,159,,,,,,,0,0,,,,,,,,,,0,0,,,,,,6,,,6,0,,,,0,0,,0,0,6,0
Deer Skins,hhds,,,,159,,,,,,,0,0,,,,,,,,,,0,0,,,,,,3,,,3,0,,,,0,0,,0,0,3,0
Flaxseed,casks,5.58,,,159,,,,,,,0,0,,,,,,,,,,0,0,,,,,,,,8,8,0,,,,0,0,,0,0,8,0
Flaxseed,barrels,5.58,,,159,,,,,,,0,0,,,,,,,,,,0,0,,,,,,,,5,5,0,,,,0,0,,0,0,5,0
Flaxseed,hhds,5.58,,,159,,,,,,,0,0,,,,,,,,,,0,0,,,,,,,,93,93,0,138,,,138,0,,0,0,231,0
Flour,barrels,12.27,,0.089285714,159,274,65,30,,31,97,497,342,,1,,69,12,100,,,,182,125,,,,,,,,80,80,55,,,,0,0,,0,0,702,522
Hoops,,,,,159,1950,,4775,,,,6725,0,,,,,,,,,,0,0,,,,,,,,,0,0,,,,0,0,,0,0,6725,0
Indigo,barrels,9.38,,,159,,,,,,,0,0,,,,,,,,,,0,0,,,,,,,,1,1,0,,,,0,0,,0,0,1,0
Indigo,casks,9.38,,,159,,,,,,,0,0,,,,,,,,,,0,0,,,2,,,,,9,11,0,,,,0,0,,0,0,11,0
Iron,tons,7.67,,1,159,,,,,,,0,0,,,,,,,,,,0,0,,25,,,,,,,25,121,,,,0,0,,0,0,25,121
Lumber,,,,,159,209860,38600,136000,,96500,186000,666960,0,,54000,,,,5000,,,,59000,0,,11800,1500,,,,,82150,95450,0,40000,93000,,133000,0,,0,0,895410,0
Oats,bushels,1.94,,0.05,159,800,100,,200,,1100,2200,134,,,,,,100,,,,100,6,,,,,,,,,0,0,,,,0,0,,0,0,2206,140
Peas,bushels,1.94,,0.05,159,670,539,361,87,360,378,2395,146,,50,,,,2629,,,20,2699,165,,,,,,,,,0,0,,,,0,0,,0,0,2560,311
Pig iron,tons,7.67,,1,159,,,,,,,0,0,,,,,,,,,,0,0,,,,,,,,20,20,96,,,,0,0,,0,0,20,96
Pitch,barrels,15.11,,0.05,159,8,56,,,,,64,30,,4,,,,58,,,,62,29,,,51,,18,,,120,189,90,,,,0,0,,0,0,282,149
Plank,pieces,6.72,,0.005,159,,862,471,,,,1333,28,,38,,,,,,,,38,1,,,,,,,,,0,0,50,,,50,1,,0,0,1384,30
