Good,Unit,Price,Price,Conv,Exch,Anguilla,Antigua,Barbadoes,Grandterre,Jamaica,Nevis,St. Kitts,Tortola,Monto Christo,WI,,New Providence,Bermuda,Halifax,New York,North Carolina,Pennsylvania,Perth Amboy,Philadelphia,Rhode Island,Salem,St. Augustine,NA,,Yarmouth,London,Bristol,Hull,Lancaster,Whitehaven,Glasgow,Leith,GB,,Dublin,IRE,,TOTAL,
,,1760,,,,,,,,,,,,,Quantity,Value,,,,,,,,,,,,Quantity,Value,,,,,,,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bread,pounds,24.36,,0.000446429,158.61,,1500,,,,,,,,1500,10,,,,,,,,,,,,0,0,,,,,,,,,0,0,,0,0,1500,10
Bread,casks,24.36,,,158.61,,,,19,,,,,,19,0,,,,,,,,,40,,,40,0,,,,,,,,,0,0,,0,0,59,0
Corn,bushels,2.96,,0.05,158.61,638,87060.5,92924,,8000,13854,8915,1800,,213191.5,19893,3129,16131,,862,,4000,,,18420,1000,,43542,4063,,,,,,,,,0,0,6300,6300,588,263033.5,24544
Cotton,bags,1.32,,,158.61,,,,,,,,,,0,0,,,,13,,,,,,,,13,0,,,,,,,,,0,0,,0,0,13,0
Deer Skin,casks,,,,158.61,,,,,,,,,,0,0,,,,,,,,,,,,0,0,,,,,,1,,,1,0,,0,0,1,0
Deer Skins,bundles,,,,158.61,,,,,,,,,,0,0,,,,,,,,,,,,0,0,,,,6,,8,,,14,0,,0,0,14,0
Deer Skins,hhds,,,,158.61,,,,,,,,,,0,0,,,,2,,,,,,,,2,0,,,,,,,2,,2,0,,0,0,4,0
Flour,barrels,14.96,,0.089285714,158.61,,589,226,165,166,33,177,,,1356,1142,74,176,,69,,,,,10,,150,479,403,,,,,,,,,0,0,166,166,140,2001,1685
Handspikes,,,,,158.61,,36,60,,,,,,,96,0,,,,,,,,,,,,0,0,,,,,,,,,0,0,,0,0,96,0
Hoops,,,,,158.61,,4650,,,,,,,,4650,0,,,,,,,,,,,,0,0,,,,,,,,,0,0,,0,0,4650,0
Indigo,tubs,7.97,,,158.61,,,,,,,,,,0,0,,,,,,,,,,,,0,0,,,,,,,6,,6,0,,0,0,6,0
Indigo,boxes,7.97,,,158.61,,,,,,,,,,0,0,,,,,,,,,,,,0,0,,2,,1,,,,,3,0,,0,0,3,0
