year,good,value,movement_type
sv,Cotton,0,EN
sv,Linen,0,EN
sv,Molasses,68,EN
sv,Molasses,110,EN
sv,Molasses,392,EN
sv,Rum,233,EN
sv,Rum,103,EN
sv,Rum,1171,EN
sv,Salt,16,EN
sv,Salt,326,EN
sv,Sugar,58,EN
sv,Sugar,235,EN
sv,Sugar,28,EN
sv,Wine,4,EN
sv,Wine,15,EN
sv,Wine,456,EN
sv,,,EN
sv,Cheese,0,EN
sv,Linen,0,EN
sv,Molasses,6,EN
sv,Molasses,101,EN
sv,Planks,37,EN
sv,Rum,371,EN
sv,Rum,138,EN
sv,Rum,1496,EN
sv,Salt,22,EN
sv,Salt,146,EN
sv,Sugar,12,EN
sv,Sugar,335,EN
sv,Wine,28,EN
sv,,,EN
sv,Chocolate,0,EN
sv,Cotton,0,EN
sv,Linen,0,EN
sv,Molasses,24,EN
sv,Rum,397,EN
sv,Rum,242,EN
sv,Rum,50,EN
sv,Salt,180,EN
sv,Sugar,21,EN
sv,Sugar,64,EN
sv,Sugar,122,EN
sv,,,EN
sv,Cheese,0,EN
sv,Molasses,12,EN
sv,Molasses,92,EN
sv,Rum,45,EN
sv,Rum,433,EN
sv,Salt,11,EN
sv,Sugar,114,EN
sv,Wine,823,EN
sv,Wine,94,EN
sv,,,EN
sv,Linen,0,EN
sv,Molasses,4,EN
sv,Molasses,72,EN
sv,Rum,62,EN
sv,Rum,235,EN
sv,Rum,109,EN
sv,Salt,115,EN
sv,Salt,29,EN
sv,Sugar,36,EN
sv,Sugar,21,EN
sv,,,EN
sv,Beeswax,0,EN
sv,Linen,0,EN
sv,Molasses,10,EN
sv,Molasses,97,EN
sv,Pitch,5,EN
sv,Rum,107,EN
sv,Rum,80,EN
sv,Rum,304,EN
sv,Salt,17,EN
sv,Salt,148,EN
sv,Sugar,10,EN
sv,Sugar,212,EN
sv,Tar,40,EN
sv,Turpentine,4,EN
sv,,,EN
sv,Cheese,0,EN
sv,Coffee,0,EN
sv,Ginger,0,EN
sv,Linen,0,EN
sv,Molasses,8,EN
sv,Molasses,40,EN
sv,Negroes,2886,EN
sv,Pepper,0,EN
sv,Pitch,131,EN
sv,Rum,92,EN
sv,Rum,285,EN
sv,Rum,20,EN
sv,Salt,12,EN
sv,Salt,0,EN
sv,Sugar,204,EN
sv,Sugar,17,EN
sv,Tar,63,EN
sv,Tobacco,292,EN
sv,Turpentine,1,EN
sv,,,EN
1736,Beeswax,0,EN
1736,Cheese,0,EN
1736,Ginger,0,EN
1736,Linen,0,EN
1736,Molasses,137,EN
1736,Molasses,15,EN
1736,Molasses,12,EN
1736,Molasses,32,EN
1736,Negroes,6346,EN
1736,Pitch,26,EN
1736,Rum,28,EN
1736,Rum,796,EN
1736,Rum,109,EN
1736,Rum,300,EN
1736,Salt,22,EN
1736,Salt,296,EN
1736,Sugar,35,EN
1736,Sugar,168,EN
1736,Sugar,35,EN
1736,Tar,10,EN
1736,Turpentine,8,EN
1736,,,EN
1737,Beeswax,0,EN
1737,Cheese,0,EN
1737,Cheese,0,EN
1737,Ginger,0,EN
1737,Linen,0,EN
1737,Molasses,164,EN
1737,Negroes,5310,EN
1737,Rice,0,EN
1737,Rum,295,EN
1737,Rum,9,EN
1737,Rum,18,EN
1737,Salt,0,EN
1737,Servants,982,EN
1737,Sugar,9,EN
1737,Sugar,28,EN
1737,Tar,13,EN
1737,Wine,6,EN
1737,Wine,294,EN
1737,Wine,18,EN
1737,,,EN
1738,Cheese,0,EN
1738,Deer Skin,0,EN
1738,Molasses,30,EN
1738,Negroes,1865,EN
1738,Pitch,14,EN
1738,Rum,34,EN
1738,Rum,105,EN
