port,year,good,value,movement_type
YORK,1741,Turpentine,29,EN
YORK,1741,Wine,82,EN
YORK,1741,Wine,7,EN
YORK,1741,Wine,179,EN
YORK,1741,Wine,5557,EN
YORK,1741,,,EN
YORK,1742,Cash,0,EN
YORK,1742,Cash,0,EN
YORK,1742,Cash,1067,EN
YORK,1742,Coffee,0,EN
YORK,1742,Cotton,0,EN
YORK,1742,Ginger,0,EN
YORK,1742,Ginger,0,EN
YORK,1742,Linen,0,EN
YORK,1742,Linen,0,EN
YORK,1742,Molasses,0,EN
YORK,1742,Molasses,8,EN
YORK,1742,Molasses,187,EN
YORK,1742,Negroes,29171,EN
YORK,1742,Peas,22,EN
YORK,1742,Pimento,0,EN
YORK,1742,Pimento,0,EN
YORK,1742,Pimento,0,EN
YORK,1742,Pimento,0,EN
YORK,1742,Rum,1259,EN
YORK,1742,Rum,268,EN
YORK,1742,Rum,189,EN
YORK,1742,Rum,267,EN
YORK,1742,Salt,1031,EN
YORK,1742,Spirits,0,EN
YORK,1742,Sugar,0,EN
YORK,1742,Sugar,0,EN
YORK,1742,Sugar,23,EN
YORK,1742,Sugar,46,EN
YORK,1742,Sugar,397,EN
YORK,1742,Tar,44,EN
YORK,1742,Turpentine,25,EN
YORK,1742,Wine,126,EN
YORK,1742,Wine,3040,EN
YORK,1742,Wine,382,EN
YORK,1742,,,EN
YORK,1743,Beef,3,EN
YORK,1743,Beeswax,0,EN
YORK,1743,Bread,24,EN
YORK,1743,Cheese,0,EN
YORK,1743,Chocolate,0,EN
YORK,1743,Cotton,26,EN
YORK,1743,Cotton wool,7,EN
YORK,1743,Deer Skin,0,EN
YORK,1743,Ginger,0,EN
YORK,1743,Molasses,118,EN
YORK,1743,Molasses,43,EN
YORK,1743,Negroes,35230,EN
YORK,1743,Pimento,0,EN
YORK,1743,Pork,30,EN
YORK,1743,Rum,1311,EN
YORK,1743,Rum,4932,EN
YORK,1743,Rum,315,EN
YORK,1743,Salt,142,EN
YORK,1743,Sugar,320,EN
YORK,1743,Sugar,2,EN
YORK,1743,Sugar,15,EN
YORK,1743,Sugar,530,EN
YORK,1743,Sugar,0,EN
YORK,1743,Tar,37,EN
YORK,1743,,,EN
YORK,1744,Cash,284,EN
YORK,1744,Coffee,0,EN
YORK,1744,Ginger,0,EN
YORK,1744,Molasses,0,EN
YORK,1744,Molasses,196,EN
YORK,1744,Negroes,6487,EN
YORK,1744,Pimento,0,EN
YORK,1744,Rum,150,EN
YORK,1744,Rum,86,EN
YORK,1744,Rum,3578,EN
YORK,1744,Salt,691,EN
YORK,1744,Silver,342,EN
YORK,1744,Sugar,89,EN
YORK,1744,Sugar,846,EN
YORK,1744,Sugar,0,EN
YORK,1744,Wine,0,EN
YORK,1744,Wine,0,EN
YORK,1744,Wine,326,EN
YORK,1744,Wine,4545,EN
YORK,1744,Wine,33,EN
YORK,1744,,,EN
YORK,1745,Beeswax,0,EN
YORK,1745,Gold (bar),0,EN
YORK,1745,Molasses,271,EN
YORK,1745,Negroes,11547,EN
YORK,1745,Rum,335,EN
YORK,1745,Rum,105,EN
YORK,1745,Rum,1855,EN
YORK,1745,Salt,791,EN
YORK,1745,Sugar,11,EN
YORK,1745,Sugar,369,EN
YORK,1745,Wine,43,EN
YORK,1745,Wine,126,EN
YORK,1745,Wine,1920,EN
YORK,1745,,,EN
YORK,1749,Cheese,0,EN
YORK,1749,Coffee,0,EN
YORK,1749,Coffee,0,EN
YORK,1749,Convicts,512,EN
YORK,1749,Molasses,12,EN
YORK,1749,Molasses,226,EN
YORK,1749,Negroes,22184,EN
YORK,1749,Pig iron,150,EN
YORK,1749,Plank,21,EN
YORK,1749,Rum,6,EN
YORK,1749,Rum,451,EN
YORK,1749,Rum,3812,EN
YORK,1749,Salt,562,EN
YORK,1749,Sugar,1233,EN
YORK,1749,Sugar,0,EN
YORK,1749,Sugar,3,EN
YORK,1749,Tea,0,EN
YORK,1749,Virginia currency,109,EN
YORK,1749,Wine,75,EN
YORK,1749,Wine,6178,EN
YORK,1749,Wine,25,EN
YORK,1749,,,EN
YORK,1750,Molasses,73,EN
YORK,1750,Negroes,27,EN
YORK,1750,Rum,4195,EN
YORK,1750,Salt,109,EN
YORK,1750,Sugar,6,EN
YORK,1750,Sugar,2,EN
YORK,1750,Sugar,599,EN
YORK,1750,Tea,0,EN
YORK,1750,Tea,0,EN
YORK,1750,Wine,39,EN
YORK,1750,Wine,148,EN
YORK,1750,Wine,3156,EN
YORK,1750,Wine,218,EN
YORK,1750,,,EN
YORK,1751,Cheese,0,EN
YORK,1751,Cheese,0,EN
YORK,1751,Chocolate,0,EN
YORK,1751,Flour,25,EN
YORK,1751,Molasses,2101,EN
YORK,1751,Molasses,553,EN
YORK,1751,Negroes,10767,EN
YORK,1751,Rum,8285,EN
YORK,1751,Salt,239,EN
YORK,1751,Servants,769,EN
YORK,1751,Ship bread,45,EN
YORK,1751,Sugar,9,EN
YORK,1751,Sugar,3,EN
YORK,1751,Sugar,974,EN
YORK,1751,Wine,2354,EN
YORK,1751,Wine,18,EN
YORK,1751,Wine,80,EN
YORK,1751,,,EN
YORK,1752,Beeswax,0,EN
YORK,1752,Cheese,0,EN
YORK,1752,Convicts,217,EN
YORK,1752,Molasses,497,EN
YORK,1752,Negroes,48463,EN
YORK,1752,Pitch,90,EN
YORK,1752,Plank,5,EN
YORK,1752,Refined sugar,7,EN
YORK,1752,Rum,6996,EN
YORK,1752,Salt,301,EN
YORK,1752,Salt,1,EN
YORK,1752,Servants,493,EN
YORK,1752,Sugar,10,EN
YORK,1752,Sugar,3,EN
YORK,1752,Sugar,1352,EN
YORK,1752,Tar,93,EN
YORK,1752,Wine,180,EN
YORK,1752,Wine,1551,EN
YORK,1752,Wine,63,EN
YORK,1752,,,EN
YORK,1754,Chocolate,0,EN
YORK,1754,Coffee,0,EN
YORK,1754,Coffee,0,EN
YORK,1754,Cotton,11,EN
YORK,1754,Cotton,76,EN
YORK,1754,Flour,2,EN
YORK,1754,Loaf sugar,31,EN
YORK,1754,Molasses,328,EN
YORK,1754,Negroes,1456,EN
YORK,1754,Pig iron,729,EN
YORK,1754,Pimento,0,EN
YORK,1754,Rum,4774,EN
YORK,1754,Salt,262,EN
YORK,1754,Servants,481,EN
YORK,1754,Sugar,10,EN
YORK,1754,Sugar,2,EN
YORK,1754,Sugar,1508,EN
YORK,1754,Wine,181,EN
YORK,1754,Wine,1858,EN
YORK,1754,Wine,318,EN
YORK,1754,,,EN
YORK,1755,Coffee,0,EN
YORK,1755,Ginger,0,EN
YORK,1755,Indigo,1417,EN
YORK,1755,Molasses,466,EN
YORK,1755,Negroes,364,EN
YORK,1755,Pitch,22,EN
YORK,1755,Pork,51,EN
YORK,1755,Rice,0,EN
YORK,1755,Rum,8850,EN
YORK,1755,Salt,293,EN
YORK,1755,Sugar,1,EN
YORK,1755,Sugar,8,EN
YORK,1755,Sugar,1481,EN
YORK,1755,Tar,207,EN
YORK,1755,Turpentine,62,EN
YORK,1755,Wine,61,EN
YORK,1755,Wine,560,EN
YORK,1755,Wine,26,EN
YORK,1755,,,EN
YORK,1756,Coffee,0,EN
YORK,1756,Molasses,153,EN
YORK,1756,Negroes,33,EN
YORK,1756,Pig iron,198,EN
YORK,1756,Planks,3,EN
YORK,1756,Rice,0,EN
YORK,1756,Rum,3097,EN
YORK,1756,Salt,372,EN
YORK,1756,Sugar,7,EN
YORK,1756,Sugar,3,EN
YORK,1756,Sugar,863,EN
YORK,1756,Sugar,594,EN
YORK,1756,White sugar,8,EN
YORK,1756,Wine,9,EN
