year,good,value,movement_type
1740,Skins,0,CL
1740,Skins,0,CL
1740,Skins,0,CL
1740,Skins,0,CL
1740,Staves,302,CL
1740,Tar,42,CL
1740,Tobacco,26898,CL
1740,Tobacco,25,CL
1740,Wheat,1589,CL
1740,Wine,36,CL
1741,Beans,234,CL
1741,Beef,128,CL
1741,Bread,175,CL
1741,Bread,11,CL
1741,Bread,147,CL
1741,Cheese,0,CL
1741,Corn,4252,CL
1741,Deer Skins,0,CL
1741,Flour,0,CL
1741,Flour,12,CL
1741,Flour,61,CL
1741,Furs,0,CL
1741,Heading,44,CL
1741,Hemp,0,CL
1741,Iron,844,CL
1741,Logs (walnut),0,CL
1741,Oats,37,CL
1741,Peas,242,CL
1741,Pitch,9,CL
1741,Plank,18,CL
1741,Pork,10,CL
1741,Pork,1,CL
1741,Pork,5,CL
1741,Pork,3794,CL
1741,Pork,90,CL
1741,Pork,2,CL
1741,Pork,70,CL
1741,Rum,34,CL
1741,Rum,109,CL
1741,Salt,2,CL
1741,Shingles,0,CL
1741,Skins,0,CL
1741,Skins,0,CL
1741,Skins,0,CL
1741,Skins,0,CL
1741,Skins,0,CL
1741,Skins,0,CL
1741,Staves,672,CL
1741,Staves,23,CL
1741,Tar,45,CL
1741,Tobacco,17,CL
1741,Tobacco,53682,CL
1741,Turpentine,7,CL
1741,Wheat,3535,CL
1741,Wine,1,CL
1742,Beans,47,CL
1742,Beef,160,CL
1742,Beef,0,CL
1742,Bread,5,CL
1742,Bread,17,CL
1742,Bread,2,CL
1742,Bread,39,CL
1742,Corn,2848,CL
1742,Deer Skins,0,CL
1742,Flour,7,CL
1742,Flour,51,CL
1742,Heading,9,CL
1742,Iron,938,CL
1742,Logs (walnut),0,CL
1742,Oats,17,CL
1742,Peas,182,CL
1742,Pitch,25,CL
1742,Plank,3,CL
1742,Plank,14,CL
1742,Pork,8,CL
1742,Pork,17,CL
1742,Pork,4128,CL
1742,Pork,5,CL
1742,Rum,124,CL
1742,Rum,12,CL
1742,Salt,0,CL
1742,Shingles,0,CL
1742,Skins,0,CL
1742,Skins,0,CL
1742,Skins,0,CL
1742,Skins,0,CL
1742,Skins,0,CL
1742,Skins,0,CL
1742,Skins,0,CL
1742,Staves,469,CL
1742,Tar,83,CL
1742,Tobacco,45311,CL
1742,Tobacco,29,CL
1742,Walnut logs,0,CL
1742,Wheat,368,CL
1742,Wine,15,CL
1742,Wine,8,CL
1743,Beans,21,CL
1743,Beef,118,CL
1743,Bread,26,CL
1743,Bread,54,CL
1743,Bread,40,CL
1743,Corn,571,CL
1743,Cotton,3,CL
1743,Flour,8,CL
1743,Furs,0,CL
1743,Heading,1,CL
1743,Hoops,0,CL
1743,Indigo,0,CL
1743,Iron,318,CL
1743,Logs (walnut),0,CL
1743,Peas,1,CL
1743,Peas,148,CL
1743,Pitch,151,CL
1743,Plank,0,CL
1743,Plank,10,CL
1743,Plank,8,CL
1743,Planks,0,CL
1743,Pork,1198,CL
1743,Rice,0,CL
1743,Rum,21,CL
1743,Rum,3,CL
1743,Rum,30,CL
1743,Salt,6,CL
1743,Shingles,0,CL
1743,Skins,0,CL
1743,Skins,0,CL
1743,Staves,278,CL
1743,Tar,271,CL
1743,Tobacco,46,CL
1743,Tobacco,34971,CL
1743,Turpentine,18,CL
1743,Wax,0,CL
1743,Wheat,481,CL
1744,Beans,1,CL
1744,Beef,30,CL
1744,Bread,49,CL
1744,Corn,987,CL
1744,Corn and peas,28,CL
1744,Deer Skins,0,CL
1744,Flour,2,CL
1744,Heading,1,CL
1744,Logs (walnut),0,CL
1744,Logs (walnut),0,CL
1744,Peas,139,CL
1744,Plank,4,CL
1744,Planks,0,CL
1744,Pork,2076,CL
1744,Shingles,0,CL
1744,Skins,0,CL
1744,Skins,0,CL
1744,Skins,0,CL
1744,Staves,263,CL
1744,Tobacco,32364,CL
1744,Tobacco,26,CL
1744,Wheat,649,CL
1745,Corn,15,CL
1745,Deer Skin,0,CL
1745,Deer Skin,0,CL
1745,Deer Skins,0,CL
1745,Indigo,0,CL
1745,Iron,114,CL
1745,Logs (walnut),0,CL
1745,Peas,15,CL
1745,Plank,5,CL
1745,Plank,1,CL
1745,Rum,20,CL
1745,Skins,0,CL
1745,Skins,0,CL
1745,Skins,0,CL
1745,Skins,0,CL
1745,Staves,338,CL
1745,Sugar,188,CL
1745,Tar,104,CL
1745,Tobacco,36696,CL
1745,Turpentine,19,CL
1745,Wax,0,CL
1745,Wheat,283,CL
1746,Beef,30,CL
1746,Corn,657,CL
1746,Cotton,6,CL
1746,Iron,98,CL
1746,Peas,21,CL
1746,Pitch,23,CL
1746,Plank,2,CL
1746,Planks,1,CL
1746,Pork,1231,CL
1746,Shingles,0,CL
1746,Shingles,0,CL
1746,Skins,0,CL
1746,Skins,0,CL
1746,Staves,401,CL
1746,Tobacco,36913,CL
1746,Tobacco,2,CL
1746,Wine,13,CL
1749,Beans,23,CL
1749,Beef,109,CL
1749,Biscuits,21,CL
1749,Corn,861,CL
1749,Handspikes,0,CL
1749,Hoops,0,CL
1749,Logs (walnut),0,CL
1749,Peas,152,CL
1749,Pig iron,120,CL
1749,Pitch,154,CL
1749,Pitch,503,CL
1749,Plank,17,CL
1749,Planks,3,CL
1749,Pork,320,CL
1749,Rum,7553,CL
1749,Rum,13,CL
1749,Skins,0,CL
1749,Skins,0,CL
1749,Skins,0,CL
1749,Staves,878,CL
1749,Tobacco,50229,CL
1749,Wheat,504,CL
1750,Beans,9,CL
1750,Beef,159,CL
1750,Beef,34,CL
1750,Bread,10,CL
1750,Corn,2919,CL
1750,Deer Skins,0,CL
1750,Flour,7,CL
1750,Handspikes,0,CL
1750,Heading,7,CL
1750,Hoops,0,CL
1750,Iron,242,CL
1750,Peas,91,CL
1750,Pig iron,103,CL
1750,Pitch,36,CL
1750,Plank,35,CL
1750,Planks,9,CL
1750,Pork,13,CL
1750,Pork,1557,CL
1750,Salt,3,CL
1750,Shingles,0,CL
1750,Skins,0,CL
1750,Skins,0,CL
1750,Skins,0,CL
1750,Skins,0,CL
1750,Skins,0,CL
1750,Staves,1107,CL
1750,Tar,265,CL
1750,Tobacco,3,CL
1750,Tobacco,80522,CL
1750,Turpentine,77,CL
1750,Wheat,298,CL
1750,Wine,35,CL
1752,Beef,87,CL
1752,Bread,2,CL
1752,Bread,0,CL
1752,Corn,4046,CL
1752,Cotton,41,CL
1752,Deer Skins,0,CL
1752,Deer Skins,0,CL
1752,Flour,53,CL
1752,Handspikes,0,CL
1752,Heading,15,CL
1752,Hoops,0,CL
1752,Iron,0,CL
1752,Iron,382,CL
1752,Logs (walnut),0,CL
1752,Oats,15,CL
1752,Peas,73,CL
1752,Pig iron,312,CL
1752,Pitch,99,CL
1752,Plank,12,CL
1752,Planks,9,CL
1752,Poles (hoop),0,CL
1752,Pork,2899,CL
1752,Rum,6,CL
1752,Rum,10,CL
1752,Shingles,0,CL
1752,Skins,0,CL
1752,Skins,0,CL
1752,Skins,0,CL
1752,Skins,0,CL
1752,Staves,1172,CL
1752,Tar,322,CL
1752,Tobacco,113338,CL
1752,Turpentine,154,CL
1752,Wheat,959,CL
1752,Wine,9,CL
1752,Wine,108,CL
1754,Beans,36,CL
1754,Beef,103,CL
1754,Biscuits,0,CL
1754,Bread,92,CL
1754,Bread,0,CL
1754,Corn,8238,CL
1754,Corn and peas,161,CL
1754,Cotton,26,CL
1754,Deer Skin,0,CL
1754,Deer Skins,0,CL
1754,Deer Skins,0,CL
1754,Flaxseed,0,CL
1754,Flaxseed,0,CL
1754,Heading,1,CL
1754,Hoops,0,CL
1754,Logs (walnut),0,CL
1754,Oats,17,CL
1754,Peas,165,CL
1754,Pig iron,68,CL
1754,Plank,5,CL
1754,Planks,1,CL
1754,Pork,2751,CL
1754,Pork,2,CL
1754,Rum,11,CL
1754,Rum,20,CL
1754,Rum,0,CL
1754,Shingles,0,CL
1754,Skins,0,CL
1754,Skins,0,CL
1754,Skins,0,CL
1754,Skins,0,CL
1754,Staves,1051,CL
1754,Tar,345,CL
1754,Tobacco,71743,CL
1754,Tobacco,14,CL
1754,Turpentine,2,CL
1754,Wax,0,CL
1754,Wax,0,CL
1754,Wax,0,CL
1754,Wheat,361,CL
1754,Wine,4,CL
1754,Wine,4,CL
1754,Wine,258,CL
1756,Bar iron,132,CL
1756,Beef,112,CL
1756,Bread,97,CL
1756,Corn,1799,CL
1756,Deer Skin,0,CL
1756,Deer Skins,0,CL
1756,Flour,102,CL
1756,Flour,0,CL
1756,Heading,0,CL
1756,Heading (hhd),7,CL
1756,Hoops,0,CL
1756,Indigo,0,CL
1756,Indigo,0,CL
1756,Indigo,0,CL
1756,Indigo,80,CL
1756,Negroes,66,CL
1756,Peas,88,CL
1756,Pig iron,701,CL
1756,Plank,1,CL
1756,Planks,5,CL
1756,Pork,1902,CL
1756,Potatoes,0,CL
1756,Rum,17,CL
1756,Shingles,0,CL
1756,Skins,0,CL
1756,Skins,0,CL
1756,Skins,0,CL
1756,Staves,531,CL
1756,Tar,427,CL
1756,Tobacco,46230,CL
1756,Turpentine,40,CL
1756,Wax,0,CL
1756,Wheat,984,CL
1756,Wine,133,CL
1758,Beans,37,CL
1758,Cheese,0,CL
1758,Corn,2073,CL
1758,Corn and peas,228,CL
1758,Cotton,11,CL
1758,Cotton,27,CL
1758,Cotton,0,CL
1758,Handspikes,0,CL
1758,Heading,13,CL
1758,Hoops,0,CL
1758,Hoops,0,CL
1758,Indigo,0,CL
1758,Indigo,0,CL
1758,Indigo,0,CL
1758,Indigo,0,CL
1758,Indigo,0,CL
1758,Logs (walnut),0,CL
1758,Peas,1,CL
1758,Peas,75,CL
1758,Pig iron,0,CL
1758,Pig iron,1394,CL
1758,Plank,32,CL
1758,Planks,2,CL
1758,Pork,5,CL
1758,Pork,52,CL
1758,Pork,6567,CL
1758,Pork,0,CL
1758,Pork,46,CL
1758,Rice,0,CL
1758,Rum,5,CL
1758,Shingles,0,CL
1758,Skins,0,CL
1758,Skins,0,CL
1758,Staves,2350,CL
1758,Staves and heading,56,CL
1758,Sugar,23,CL
1758,Sugar,303,CL
1758,Tar,1284,CL
1758,Tobacco,87423,CL
1758,Turpentine,10,CL
1758,Wax,0,CL
1758,Wax,0,CL
1758,Wheat,1828,CL
1758,Wine,7,CL
1758,Wine,184,CL
1760,Beans,12,CL
1760,Corn,2148,CL
1760,Cotton,0,CL
1760,Cotton,12,CL
1760,Flour,201,CL
1760,Furs,0,CL
1760,Furs and skins,0,CL
1760,Heading,3,CL
1760,Hoops,0,CL
1760,Indigo,25,CL
1760,Indigo,0,CL
1760,Indigo,0,CL
1760,Indigo,0,CL
1760,Indigo,0,CL
1760,Iron,0,CL
1760,Peas,365,CL
1760,Pig iron,3876,CL
1760,Plank,19,CL
1760,Plank,11,CL
1760,Plank,0,CL
1760,Planks,4,CL
1760,Pork,0,CL
1760,Pork,22,CL
1760,Pork,957,CL
1760,Rum,47,CL
1760,Shingles,0,CL
1760,Skins,0,CL
1760,Skins,0,CL
1760,Skins,0,CL
1760,Staves,1706,CL
1760,Staves and heading,24,CL
1760,Tobacco,161441,CL
1760,Wax,0,CL
1760,Wax,0,CL
1760,Wax,0,CL
1760,Wheat,2813,CL
1760,Wine,11,CL
1760,Wine,825,CL
1761,Beans,9,CL
1761,Corn,2776,CL
1761,Cotton,7,CL
1761,Deer Skins,0,CL
1761,Flaxseed,0,CL
1761,Flaxseed,0,CL
1761,Flour,194,CL
1761,Furs,0,CL
1761,Heading,16,CL
1761,Hoops,0,CL
1761,Hoops,0,CL
1761,Indigo,0,CL
1761,Indigo,0,CL
1761,Indigo,0,CL
1761,Indigo,0,CL
1761,Indigo,0,CL
1761,Peas,163,CL
1761,Pig iron,906,CL
1761,Pitch,4,CL
1761,Plank,104,CL
1761,Planks,5,CL
1761,Pork,2,CL
1761,Pork,4,CL
1761,Pork,805,CL
1761,Rum,12,CL
1761,Shingles,0,CL
1761,Skins,0,CL
1761,Skins,0,CL
1761,Skins,0,CL
1761,Skins,0,CL
1761,Staves,2806,CL
1761,Sugar,4,CL
1761,Tar,426,CL
1761,Tobacco,125299,CL
1761,Turpentine,206,CL
1761,Wax,0,CL
1761,Wax,0,CL
1761,Wax,0,CL
1761,Wax,0,CL
1761,Wheat,2937,CL
1761,Wine,85,CL
1761,Wine,1273,CL
1762,Beans,7,CL
1762,Beef,7,CL
1762,Corn,4883,CL
1762,Cotton,97,CL
1762,Flour,15,CL
1762,Ginger,0,CL
1762,Ginger,0,CL
1762,Heading,3,CL
1762,Hoops,0,CL
1762,Indigo,0,CL
1762,Indigo,0,CL
1762,Indigo,0,CL
1762,Indigo,0,CL
1762,Oats,4,CL
1762,Peas,12,CL
1762,Pimento,0,CL
1762,Plank,11,CL
1762,Planks,5,CL
1762,Pork,121,CL
