year,amount
1725,1592.0
1727,1.0
1727,1012.0
1727,2.0
1727,16.0
1733,647.0
1765,71.0
1725,44.0
1725,9.0
1725,14.0
1725,75.0
1725,17747.0
1726,20905.0
1727,19440.0
1730,19284.0
1731,8860.0
1733,5943.0
1734,6553.0
1736,2528.0
1737,7.0
1737,2856.0
1738,4456.0
1738,1.0
1739,4657.0
1740,3860.0
1741,5677.0
1742,8287.0
1743,6572.0
1744,4718.0
1744,1776.0
1745,6118.0
1746,5630.0
1749,1.0
1749,15060.0
1750,6.0
1750,14707.0
1751,10589.0
1752,14280.0
1754,20.0
1754,5344.0
1755,5317.0
1756,5918.0
1756,1365.0
1758,14064.0
1760,34500.0
1760,4.0
1761,12585.0
1762,22297.0
1763,19740.0
1765,17223.0
1766,14221.0
1771,45841.0
