year,good,value,movement_type
1725,Beans,2,CL
1725,Corn,395,CL
1725,Deer Skins,0,CL
1725,Iron,0,CL
1725,Peas,10,CL
1725,Plank,0,CL
1725,Plank,21,CL
1725,Pork,14,CL
1725,Pork,32,CL
1725,Staves,114,CL
1725,Tobacco,22298,CL
1725,Tobacco,66,CL
1725,Wheat,57,CL
1725,,,CL
1726,Beans,12,CL
1726,Corn,464,CL
1726,Deer Skins,0,CL
1726,Iron,0,CL
1726,Peas,10,CL
1726,Plank,0,CL
1726,Plank,2,CL
1726,Pork,89,CL
1726,Pork,5,CL
1726,Staves,152,CL
1726,Tar,11,CL
1726,Tobacco,7,CL
1726,Tobacco,22906,CL
1726,Tobacco,75,CL
1726,Wheat,53,CL
1726,,,CL
1727,Beans,8,CL
1727,Corn,135,CL
1727,Cotton,0,CL
1727,Deer Skins,0,CL
1727,Peas,5,CL
1727,Plank,0,CL
1727,Plank,0,CL
1727,Pork,42,CL
1727,Pork,9,CL
1727,Pork,101,CL
1727,Staves,129,CL
1727,Staves and heading,2,CL
1727,Tobacco,21,CL
1727,Tobacco,94,CL
1727,Tobacco,12069,CL
1727,Walnut logs,0,CL
1727,Wheat,18,CL
1727,,,CL
1730,Beans,44,CL
1730,Corn,13,CL
1730,Deer Skins,0,CL
1730,Pig iron,0,CL
1730,Plank,2,CL
1730,Pork,8,CL
1730,Staves,0,CL
1730,Tobacco,10,CL
1730,Tobacco,9196,CL
1730,Tobacco,14,CL
1730,Wheat,36,CL
1730,Wine,324,CL
1730,,,CL
1731,Corn,332,CL
1731,Deer Skins,0,CL
1731,Iron,0,CL
1731,Pig iron,0,CL
1731,Plank,0,CL
1731,Plank,2,CL
1731,Plate,175,CL
1731,Pork,62,CL
1731,Rum,18,CL
1731,Rum,10,CL
1731,Staves,100,CL
1731,Tobacco,5,CL
1731,Tobacco,21,CL
1731,Tobacco,12377,CL
1731,Wheat,18,CL
1731,,,CL
1733,Beans,18,CL
1733,Corn,305,CL
1733,Deer Skins,0,CL
1733,Iron,0,CL
1733,Pitch,5,CL
1733,Plank,0,CL
1733,Plank,22,CL
1733,Pork,36,CL
1733,Pork,20,CL
1733,Rum,3,CL
1733,Staves,82,CL
1733,Tobacco,19,CL
1733,Tobacco,8497,CL
1733,Tobacco,15,CL
1733,Turpentine,2,CL
1733,Wax,0,CL
1733,Wheat,30,CL
1733,,,CL
1734,Beans,15,CL
1734,Corn,1005,CL
1734,Deer Skins,0,CL
1734,Iron,0,CL
1734,Pig iron,0,CL
1734,Pitch,93,CL
1734,Plank,5,CL
1734,Pork,10,CL
1734,Pork,26,CL
1734,Pork,142,CL
1734,Staves,92,CL
1734,Tobacco,13809,CL
1734,Tobacco,31,CL
1734,Wheat,20,CL
1734,,,CL
1736,Beans,31,CL
1736,Corn,372,CL
1736,Deer Skins,0,CL
1736,Heading (hhd),2,CL
1736,Pig iron,0,CL
1736,Plank,3,CL
1736,Pork,80,CL
1736,Pork,6,CL
1736,Staves,93,CL
1736,Tobacco,9681,CL
1736,Tobacco,14,CL
1736,Walnut,0,CL
1736,Walnut logs,0,CL
1736,Wheat,27,CL
1736,Wine,1,CL
1736,,,CL
1737,Beans,6,CL
1737,Corn,911,CL
1737,Deer Skins,0,CL
1737,Heading,1,CL
1737,Logs (walnut),0,CL
1737,Peas,6,CL
1737,Pig iron,0,CL
1737,Pitch,15,CL
1737,Plank,12,CL
1737,Pork,1,CL
1737,Pork,34,CL
1737,Staves,132,CL
1737,Tobacco,13,CL
1737,Tobacco,17096,CL
1737,Turpentine,3,CL
1737,Wheat,48,CL
1737,,,CL
1738,Beans,5,CL
1738,Deer Skins,0,CL
1738,Logs (walnut),0,CL
1738,Peas,2,CL
1738,Pig iron,380,CL
1738,Plank,3,CL
1738,Pork,1,CL
1738,Pork,30,CL
1738,Staves,77,CL
1738,Tobacco,8800,CL
