year,good,value,movement_type
1725,Corn,356,CL
1725,Deer skins (raw),0,CL
1725,Logs (walnut),0,CL
1725,Plank,0,CL
1725,Pork,42,CL
1725,Staves (barrels),3,CL
1725,Staves (hhds),14,CL
1725,Staves (pipes),3,CL
1725,Tobacco,1592,CL
1725,Wheat,94,CL
1727,Beef,6,CL
1727,Corn,1105,CL
1727,Deer Skins,0,CL
1727,Deer skins (raw),0,CL
1727,Plank,1,CL
1727,Pork,177,CL
1727,Rye,2,CL
1727,Staves (barrels),3,CL
1727,Staves (hhds),37,CL
1727,Staves (pipes),6,CL
1727,Tobacco,1,CL
1727,Tobacco,1012,CL
1727,Tobacco,2,CL
1727,Tobacco,16,CL
1727,Wheat,257,CL
1730,Beans,4,CL
1730,Beef,59,CL
1730,Corn,989,CL
1730,Deer Skin,0,CL
1730,Peas,2,CL
1730,Pork,17,CL
1730,Pork,354,CL
1730,Rum,9,CL
1730,Rum,6,CL
1730,Rum,2,CL
1730,Staves,1,CL
1730,Staves (hhds),5,CL
1730,Staves (pipes),18,CL
1730,Wax,0,CL
1730,Wheat,594,CL
1730,Wheat,73,CL
1731,Beans,2,CL
1731,Beef,4,CL
1731,Corn,1021,CL
1731,Deer skins (raw),0,CL
1731,Heading,0,CL
1731,Plank,3,CL
1731,Pork,1,CL
1731,Pork,280,CL
1731,Rum,10,CL
1731,Rum,27,CL
1731,Rye,4,CL
1731,Staves (barrels),1,CL
1731,Wax,0,CL
1731,Wheat,188,CL
1732,Beans,4,CL
1732,Corn,1117,CL
1732,Deer skins (raw),0,CL
1732,Oats,39,CL
1732,Peas,1,CL
1732,Plank,6,CL
1732,Pork,111,CL
1732,Pork,642,CL
1732,Rum,57,CL
1732,Rye,810,CL
1732,Salt,14,CL
1732,Staves (barrels),1,CL
1732,Staves (hhds),44,CL
1732,Wax,0,CL
1732,Wheat,24,CL
1732,Wheat,555,CL
1733,Beans,12,CL
1733,Beef,24,CL
1733,Corn,1208,CL
1733,Deer Skins,0,CL
1733,Negroes,37,CL
1733,Plank,2,CL
1733,Pork,47,CL
1733,Pork,9,CL
1733,Pork,79,CL
1733,Rum,14,CL
1733,Rum,19,CL
1733,Rum,2,CL
1733,Staves (barrels),8,CL
1733,Staves (hhds),4,CL
1733,Staves and heading,8,CL
1733,Tobacco,647,CL
1733,Wax,0,CL
1733,Wheat,332,CL
1734,Beans,3,CL
1734,Beef,3,CL
1734,Corn,1520,CL
1734,Deer Skins,0,CL
1734,Indigo,0,CL
1734,Plank,1,CL
1734,Pork,117,CL
1734,Pork,261,CL
1734,Rum,8,CL
1734,Rum,4,CL
1734,Rye,8,CL
1734,Staves,1,CL
1734,Staves (barrels),7,CL
1734,Staves (pipes),33,CL
1734,Staves and heading,4,CL
1734,Tar,20,CL
1734,Turpentine,31,CL
1734,Wax,0,CL
1734,Wheat,285,CL
1746,Corn,1176,CL
1746,Flaxseed,0,CL
1746,Flaxseed,3,CL
1746,Oats,121,CL
1746,Peas,2,CL
1746,Pork,1,CL
1746,Pork,85,CL
1746,Potatoes,0,CL
1746,Rum,35,CL
1746,Staves (barrels),3,CL
1746,Tobacco,2,CL
1746,Wax,0,CL
1746,Wheat,44,CL
1749,Beans,5,CL
1749,Corn,2879,CL
1749,Flaxseed,13,CL
1749,Hoops,0,CL
1749,Molasses,0,CL
1749,Oats,431,CL
1749,Peas,68,CL
1749,Plank,12,CL
1749,Pork,228,CL
1749,Pork,144,CL
1749,Salt,64,CL
1749,Staves,12,CL
1749,Staves and heading,9,CL
1749,Sugar,8,CL
1749,Tobacco,20,CL
1749,Turpentine,4,CL
1749,Wax,0,CL
1749,Wheat,33,CL
1752,Corn,3391,CL
1752,Flaxseed,229,CL
1752,Flaxseed,0,CL
1752,Hoops,0,CL
1752,Oats,926,CL
1752,Peas,35,CL
1752,Plank,11,CL
1752,Plank,32,CL
1752,Pork,2,CL
1752,Pork,54,CL
1752,Potatoes,0,CL
1752,Rum,61,CL
1752,Rum,16,CL
1752,Shingles,0,CL
1752,Staves,46,CL
1752,Tobacco,19,CL
1752,Wax,0,CL
1752,Wheat,2,CL
1759,Beans,70,CL
1759,Bread,0,CL
1759,Coffee,0,CL
1759,Corn,5151,CL
1759,Flaxseed,0,CL
1759,Flaxseed,501,CL
1759,Flour,19,CL
1759,Hoops,0,CL
1759,Oats,960,CL
1759,Peas,22,CL
1759,Plank,1,CL
1759,Poles (hoop),0,CL
1759,Pork,645,CL
1759,Potatoes,0,CL
1759,Salt,2,CL
1759,Shingles,0,CL
1759,Staves (barrels),8,CL
1759,Staves (hhds),19,CL
1759,Tobacco,54,CL
1759,Wax,0,CL
1759,Wheat,977,CL
1760,Bread,8,CL
1760,Corn,3016,CL
1760,Flaxseed,0,CL
1760,Flaxseed,128,CL
1760,Flaxseed,0,CL
1760,Flour,25,CL
1760,Oats,1051,CL
