port,year,good,value,movement_type
ACCO,1725,Corn,356,CL
ACCO,1725,Deer skins (raw),0,CL
ACCO,1725,Logs (walnut),0,CL
ACCO,1725,Plank,0,CL
ACCO,1725,Pork,42,CL
ACCO,1725,Staves (barrels),3,CL
ACCO,1725,Staves (hhds),14,CL
ACCO,1725,Staves (pipes),3,CL
ACCO,1725,Tobacco,1592,CL
ACCO,1725,Wheat,94,CL
ACCO,1727,Beef,6,CL
ACCO,1727,Corn,1105,CL
ACCO,1727,Deer Skins,0,CL
ACCO,1727,Deer skins (raw),0,CL
ACCO,1727,Plank,1,CL
ACCO,1727,Pork,177,CL
ACCO,1727,Rye,2,CL
ACCO,1727,Staves (barrels),3,CL
ACCO,1727,Staves (hhds),37,CL
ACCO,1727,Staves (pipes),6,CL
ACCO,1727,Tobacco,1,CL
ACCO,1727,Tobacco,1012,CL
ACCO,1727,Tobacco,2,CL
ACCO,1727,Tobacco,16,CL
ACCO,1727,Wheat,257,CL
ACCO,1730,Beans,4,CL
ACCO,1730,Beef,59,CL
ACCO,1730,Corn,989,CL
ACCO,1730,Deer Skin,0,CL
ACCO,1730,Peas,2,CL
ACCO,1730,Pork,17,CL
ACCO,1730,Pork,354,CL
ACCO,1730,Rum,9,CL
ACCO,1730,Rum,6,CL
ACCO,1730,Rum,2,CL
ACCO,1730,Staves,1,CL
ACCO,1730,Staves (hhds),5,CL
ACCO,1730,Staves (pipes),18,CL
ACCO,1730,Wax,0,CL
ACCO,1730,Wheat,594,CL
ACCO,1730,"Wheat,73,CL
ACCO,1731,Beans,2,CL
ACCO,1731,Beef,4,CL
ACCO,1731,Corn,1021,CL
ACCO,1731,Deer skins (raw),0,CL
ACCO,1731,Heading,0,CL
ACCO,1731,Plank,3,CL
ACCO,1731,Pork,1,CL
ACCO,1731,Pork,280,CL
ACCO,1731,Rum,10,CL
ACCO,1731,Rum,27,CL
ACCO,1731,Rye,4,CL
ACCO,1731,Staves (barrels),1,CL
ACCO,1731,Wax,0,CL
ACCO,1731,Wheat,188,CL
ACCO,1732,Beans,4,CL
ACCO,1732,Corn,1117,CL
ACCO,1732,Deer skins (raw),0,CL
ACCO,1732,Oats,39,CL
ACCO,1732,Peas,1,CL
ACCO,1732,Plank,6,CL
ACCO,1732,Pork,111,CL
ACCO,1732,Pork,642,CL
ACCO,1732,Rum,57,CL
ACCO,1732,Rye,810,CL
ACCO,1732,Salt,14,CL
ACCO,1732,Staves (barrels),1,CL
ACCO,1732,Staves (hhds),44,CL
ACCO,1732,Wax,0,CL
ACCO,1732,Wheat,24,CL
ACCO,1732,"Wheat,555,CL
ACCO,1733,Beans,12,CL
ACCO,1733,Beef,24,CL
ACCO,1733,Corn,1208,CL
ACCO,1733,Deer Skins,0,CL
ACCO,1733,Negroes,37,CL
ACCO,1733,Plank,2,CL
ACCO,1733,Pork,47,CL
ACCO,1733,Pork,9,CL
ACCO,1733,Pork,79,CL
ACCO,1733,Rum,14,CL
ACCO,1733,Rum,19,CL
ACCO,1733,Rum,2,CL
ACCO,1733,Staves (barrels),8,CL
ACCO,1733,Staves (hhds),4,CL
ACCO,1733,Staves and heading,8,CL
ACCO,1733,Tobacco,647,CL
ACCO,1733,Wax,0,CL
ACCO,1733,Wheat,332,CL
ACCO,1734,Beans,3,CL
ACCO,1734,Beef,3,CL
ACCO,1734,Corn,1520,CL
ACCO,1734,Deer Skins,0,CL
ACCO,1734,Indigo,0,CL
ACCO,1734,Plank,1,CL
ACCO,1734,Pork,117,CL
ACCO,1734,Pork,261,CL
ACCO,1734,Rum,8,CL
ACCO,1734,Rum,4,CL
ACCO,1734,Rye,8,CL
ACCO,1734,Staves,1,CL
ACCO,1734,Staves (barrels),7,CL
ACCO,1734,Staves (pipes),33,CL
ACCO,1734,Staves and heading,4,CL
ACCO,1734,Tar,20,CL
ACCO,1734,Turpentine,31,CL
ACCO,1734,Wax,0,CL
ACCO,1734,Wheat,285,CL
ACCO,1746,Corn,1176,CL
ACCO,1746,Flaxseed,0,CL
ACCO,1746,Flaxseed,3,CL
ACCO,1746,Oats,121,CL
ACCO,1746,Peas,2,CL
ACCO,1746,Pork,1,CL
ACCO,1746,Pork,85,CL
ACCO,1746,Potatoes,0,CL
ACCO,1746,Rum,35,CL
ACCO,1746,Staves (barrels),3,CL
ACCO,1746,Tobacco,2,CL
ACCO,1746,Wax,0,CL
ACCO,1746,Wheat,44,CL
ACCO,1749,Beans,5,CL
ACCO,1749,Corn,2879,CL
ACCO,1749,Flaxseed,13,CL
ACCO,1749,Hoops,0,CL
ACCO,1749,Molasses,0,CL
ACCO,1749,Oats,431,CL
ACCO,1749,Peas,68,CL
ACCO,1749,Plank,12,CL
ACCO,1749,Pork,228,CL
ACCO,1749,Pork,144,CL
ACCO,1749,Salt,64,CL
ACCO,1749,Staves,12,CL
ACCO,1749,Staves and heading,9,CL
ACCO,1749,Sugar,8,CL
ACCO,1749,Tobacco,20,CL
ACCO,1749,Turpentine,4,CL
ACCO,1749,Wax,0,CL
ACCO,1749,Wheat,33,CL
ACCO,1752,Corn,3391,CL
ACCO,1752,Flaxseed,229,CL
ACCO,1752,Flaxseed,0,CL
ACCO,1752,Hoops,0,CL
ACCO,1752,Oats,926,CL
ACCO,1752,Peas,35,CL
ACCO,1752,Plank,11,CL
ACCO,1752,Plank,32,CL
ACCO,1752,Pork,2,CL
ACCO,1752,Pork,54,CL
ACCO,1752,Potatoes,0,CL
ACCO,1752,Rum,61,CL
ACCO,1752,Rum,16,CL
ACCO,1752,Shingles,0,CL
ACCO,1752,Staves,46,CL
ACCO,1752,Tobacco,19,CL
ACCO,1752,Wax,0,CL
ACCO,1752,Wheat,2,CL
ACCO,1759,Beans,70,CL
ACCO,1759,Bread,0,CL
ACCO,1759,Coffee,0,CL
ACCO,1759,Corn,5151,CL
ACCO,1759,Flaxseed,0,CL
ACCO,1759,Flaxseed,501,CL
ACCO,1759,Flour,19,CL
ACCO,1759,Hoops,0,CL
ACCO,1759,Oats,960,CL
ACCO,1759,Peas,22,CL
ACCO,1759,Plank,1,CL
ACCO,1759,Poles (hoop),0,CL
ACCO,1759,Pork,645,CL
ACCO,1759,Potatoes,0,CL
ACCO,1759,Salt,2,CL
ACCO,1759,Shingles,0,CL
ACCO,1759,Staves (barrels),8,CL
ACCO,1759,Staves (hhds),19,CL
ACCO,1759,Tobacco,54,CL
ACCO,1759,Wax,0,CL
ACCO,1759,Wheat,977,CL
ACCO,1760,Bread,8,CL
ACCO,1760,Corn,3016,CL
ACCO,1760,Flaxseed,0,CL
ACCO,1760,Flaxseed,128,CL
ACCO,1760,Flaxseed,0,CL
ACCO,1760,Flour,25,CL
ACCO,1760,Oats,1051,CL
ACCO,1760,Peas,47,CL
ACCO,1760,Plank,0,CL
ACCO,1760,Plank,14,CL
ACCO,1760,Pork,9,CL
ACCO,1760,Pork,103,CL
ACCO,1760,Potatoes,0,CL
ACCO,1760,Shingles,0,CL
ACCO,1760,Staves,202,CL
ACCO,1760,Staves (barrels),17,CL
ACCO,1760,Tobacco,84,CL
ACCO,1760,Wax,0,CL
ACCO,1760,Wheat,822,CL
ACCO,1761,Beans,3,CL
ACCO,1761,Beans,0,CL
ACCO,1761,Beef,5,CL
ACCO,1761,Corn,3249,CL
ACCO,1761,Flaxseed,0,CL
ACCO,1761,Flaxseed,0,CL
ACCO,1761,Flaxseed,0,CL
ACCO,1761,Flaxseed,119,CL
ACCO,1761,Flaxseed,0,CL
ACCO,1761,Oats,1110,CL
ACCO,1761,Peas,0,CL
ACCO,1761,Peas,18,CL
ACCO,1761,Plank,8,CL
ACCO,1761,Pork,398,CL
ACCO,1761,Potatoes,0,CL
ACCO,1761,Rum,7,CL
ACCO,1761,Rum,131,CL
ACCO,1761,Rum,36,CL
ACCO,1761,Rye,1,CL
ACCO,1761,Staves,3,CL
ACCO,1761,Staves (barrels),74,CL
ACCO,1761,Staves (hhds),50,CL
ACCO,1761,Staves (pipes),31,CL
ACCO,1761,Tobacco,21,CL
ACCO,1761,Wheat,316,CL
ACCO,1761,Wine,0,CL
ACCO,1762,Beans,2,CL
ACCO,1762,Corn,8706,CL
ACCO,1762,Flaxseed,0,CL
ACCO,1762,Flaxseed,293,CL
ACCO,1762,Flaxseed,0,CL
ACCO,1762,Flaxseed,0,CL
ACCO,1762,Flour,9,CL
ACCO,1762,Hoops,0,CL
ACCO,1762,Iron,7,CL
ACCO,1762,Oats,3376,CL
ACCO,1762,Peas,36,CL
ACCO,1762,Plank,18,CL
ACCO,1762,Pork,22,CL
ACCO,1762,Pork,7,CL
ACCO,1762,Pork,247,CL
ACCO,1762,Potatoes,0,CL
ACCO,1762,Rice,0,CL
ACCO,1762,Rye,10,CL
ACCO,1762,Shingles,0,CL
ACCO,1762,Staves,76,CL
ACCO,1762,Staves (barrels),63,CL
ACCO,1762,Staves (hhds),46,CL
ACCO,1762,Tobacco,2,CL
ACCO,1762,Wheat,564,CL
ACCO,1765,Beans,2,CL
ACCO,1765,Bread,31,CL
ACCO,1765,Chocolate,0,CL
ACCO,1765,Coffee,0,CL
ACCO,1765,Corn,7017,CL
ACCO,1765,Cotton,6,CL
ACCO,1765,Flaxseed,0,CL
ACCO,1765,Flaxseed,0,CL
ACCO,1765,Flaxseed,0,CL
ACCO,1765,Flaxseed,0,CL
ACCO,1765,Flaxseed,47,CL
ACCO,1765,Flour,52,CL
ACCO,1765,Heading,8,CL
ACCO,1765,Loaf sugar,14,CL
ACCO,1765,Molasses,241,CL
ACCO,1765,Molasses,16,CL
ACCO,1765,Molasses,4506,CL
ACCO,1765,Oats,4096,CL
ACCO,1765,Peas,31,CL
