year,good,value,movement_type
1725,Bread,75,EN
1725,Linen,0,EN
1725,Molasses,119,EN
1725,Molasses,439,EN
1725,Molasses,53,EN
1725,Negroes,16265,EN
1725,Pitch,3,EN
1725,Rum,1227,EN
1725,Rum,649,EN
1725,Rum,2255,EN
1725,Salt,254,EN
1725,Servants,1000,EN
1725,Sugar,962,EN
1725,Sugar,965,EN
1725,Sugar,69,EN
1725,Tar,25,EN
1725,Wine,3917,EN
1725,,,EN
1726,Beef,5,EN
1726,Cotton,0,EN
1726,Molasses,21,EN
1726,Molasses,0,EN
1726,Molasses,45,EN
1726,Negroes,38702,EN
1726,Pitch,146,EN
1726,Pork,76,EN
1726,Rum,450,EN
1726,Rum,333,EN
1726,Rum,779,EN
1726,Rum,1310,EN
1726,Salt,573,EN
1726,Sugar,488,EN
1726,Sugar,709,EN
1726,Sugar,24,EN
1726,Tar,110,EN
1726,Turpentine,85,EN
1726,Wine,539,EN
1726,,,EN
1730,Beef,14,EN
1730,Beeswax,0,EN
1730,Cotton,0,EN
1730,Cotton wool,0,EN
1730,Deer Skin,0,EN
1730,Flour,54,EN
1730,Ginger,0,EN
1730,Indigo,0,EN
1730,Molasses,739,EN
1730,Molasses,216,EN
1730,Negroes,6999,EN
1730,Pimento,0,EN
1730,Pimento,0,EN
1730,Pitch,8,EN
1730,Rice,0,EN
1730,Rum,459,EN
1730,Rum,302,EN
1730,Rum,1690,EN
1730,Rum,514,EN
1730,Salt,470,EN
1730,Sugar,3,EN
1730,Sugar,283,EN
1730,Sugar,569,EN
1730,Sugar,498,EN
1730,Tar,1,EN
1730,Turpentine,197,EN
1730,Wine,1449,EN
1730,,,EN
1732,Bread,8,EN
1732,Cheese,0,EN
1732,Cotton,8,EN
1732,Cotton wool,4,EN
1732,Ginger,0,EN
1732,Molasses,461,EN
1732,Negroes,25084,EN
1732,Rum,904,EN
1732,Rum,217,EN
1732,Rum,433,EN
1732,Rum,1256,EN
1732,Salt,499,EN
1732,Sugar,486,EN
1732,Sugar,30,EN
1732,Wine,41,EN
1732,Wine,57,EN
1732,Wine,1491,EN
1732,,,EN
1733,Bread,27,EN
1733,Cotton wool,10,EN
1733,Flour,9,EN
1733,Ginger,0,EN
1733,Molasses,442,EN
1733,Molasses,51,EN
1733,Negroes,16502,EN
1733,Pitch,6,EN
1733,Rice,0,EN
1733,Rum,1996,EN
1733,Rum,214,EN
1733,Rum,463,EN
1733,Salt,370,EN
1733,Staves,2,EN
1733,Sugar,8,EN
1733,Sugar,81,EN
1733,Sugar,658,EN
1733,Tar,7,EN
1733,Wine,1376,EN
1733,Wine,27,EN
1733,Wine,12,EN
1733,,,EN
1735,Cheese,0,EN
1735,Cotton,8,EN
1735,Cotton wool,12,EN
1735,Molasses,20,EN
1735,Molasses,14,EN
1735,Negroes,19185,EN
1735,Rum,264,EN
1735,Rum,1790,EN
1735,Rum,156,EN
1735,Rum,72,EN
1735,Rum,2260,EN
1735,Salt,691,EN
1735,Sugar,238,EN
1735,Sugar,8,EN
1735,Wine,13,EN
1735,Wine,123,EN
1735,Wine,2475,EN
1735,Wine,13,EN
1735,,,EN
1736,Beeswax,0,EN
1736,Beeswax,0,EN
1736,Cheese,0,EN
1736,Cotton,12,EN
1736,Molasses,3,EN
1736,Molasses,81,EN
1736,Molasses,56,EN
1736,Negroes,32173,EN
1736,Rum,173,EN
1736,Rum,90,EN
1736,Rum,702,EN
1736,Rum,648,EN
1736,Salt,321,EN
1736,Sugar,48,EN
1736,Sugar,1,EN
1736,Sugar,233,EN
1736,Sugar,66,EN
1736,Wine,68,EN
1736,Wine,90,EN
1736,Wine,1770,EN
1736,,,EN
1737,Cash,223,EN
1737,Cheese,0,EN
1737,Ginger,0,EN
1737,Iron,0,EN
1737,Molasses,3,EN
1737,Molasses,28,EN
1737,Negroes,22459,EN
1737,Rum,786,EN
1737,Rum,337,EN
1737,Rum,1094,EN
1737,Salt,0,EN
1737,Salt,244,EN
1737,Sugar,471,EN
1737,Wine,6,EN
1737,Wine,135,EN
1737,Wine,2232,EN
1737,,,EN
1738,Cash,2,EN
1738,Corn,10,EN
1738,Cotton,0,EN
1738,Ginger,0,EN
1738,Ginger,0,EN
1738,Iron,0,EN
1738,Linen,0,EN
1738,Molasses,317,EN
1738,Molasses,6,EN
1738,Negroes,14439,EN
