Good,Unit,Price,Price,Conv,Exch,Price,Anguilla,Antigua,Barbadoes,Dominica,Grenadoes,Hispaniola,Honduras,Jamaica,Surinam,Tobago,Tortola,WI,,New Providence,Turks Island,Bermuda,Boston,Falmouth,North Carolina,Philadelphia,Piscataqua,Rhode Island,Salem,South Carolina,NA,,London,Bristol,Liverpool,Glasgow,GB,,Milford Haven,Newry,Waterford,Belfast,Cork,Dublin,Limerick,Londonderry,IRE,,Barcelona,Cadiz,Gibraltar,Kellybegs,Lisbon,Madeira,Malaga,Oporto,Portugal,Teneriff,SEU,,TOTAL,
,,1770,,,,Sterling,,,,,,,,,,,,Quantity,Value,,,,,,,,,,,,Quantity,Value,,,,,Quantity,Value,,,,,,,,,Quantity,Value,,,,,,,,,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bar iron,tons,23.17,,1,153.92,15.05327443,,,11,,5.9,,,,,5.25,,22.15,333,1,,2.5,25.75,1,5.5,,,2.75,,4,42.5,640,212.5,6,,,218.5,3289,,,,,,,,,0,0,,,,,,,,,,,0,0,283.15,4262
Bar iron,pounds,23.17,,0.000446429,153.92,0.006720212,,,,,,,,,,,,0,0,,,,50,,,,,,,,50,0,,,,,0,0,,,,,,,,,0,0,,,,,,,,,,,0,0,50,0
Beef,barrels,51.39,,0.05,153.92,1.669373701,,,,,,,10,,,,,10,17,,,,,,,,,,,,0,0,,,,,0,0,,,,,,,,,0,0,,,,,,,,,,,0,0,10,17
Beeswax,hhds,,,,153.92,0,,,,,,,,,,,,0,0,,,,,,,,,,,,0,0,,,,,0,0,,,,,,2,,,2,0,,,,,,,,,,,0,0,2,0
Beeswax,barrels,,,,153.92,0,,,,,,,,,,,,0,0,,,,,,,,,,,,0,0,,,,,0,0,,,,1,,1,,,2,0,,,,,,,,,,,0,0,2,0
Boat boards,,9.872,,0.005,153.92,0.032068607,,,76,,,,,,,,,76,2,,,,,,,,,,,,0,0,,,,,0,0,,,,,18,,,80,98,3,,,,,,,,,,,0,0,174,5
Bread,pounds,28.53,,0.000446429,153.92,0.008274823,,,,,,,,,,,,0,0,,,,,,,,,,,,0,0,,,,,0,0,,,,,,,,,0,0,,5000,,,,,,,,,5000,41,5000,41
Bread,kegs,28.53,,0.044642857,153.92,0.827482273,,155,49,,,,,,,,,204,169,37,6,,,,,,,,,,43,36,,,,,0,0,,,12,,,,,,12,10,,,,,,,,,,,0,0,259,215
Bread,casks,28.53,,0.089285714,153.92,1.654964546,,,,,,,,14,,,,14,23,,,,,,,,,,,,0,0,,,,,0,0,,,,,,,,,0,0,,,,,,,,,,,0,0,14,23
