Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Dominica,Granada,Grenadoes,Jamaica,St. Kitts,Tortola,WI,,New Providence,Bermuda,Boston,Falmouth NE,Newfoundland,North Carolina,Philadelphia,Piscataqua,Rhode Island,NA,,London,Bristol,Liverpool,Whitehaven,Glasgow,GB,,Belfast,Cork,Dublin,Sligoe,IRE,,Cadiz,Gibraltar,Leghorn,Lisbon,Madeira,Malaga,Oporto,SEU,,Unknown,UNK,,TOTAL,
,,1768,,,,Sterling,,,,,,,,,Quantity,Value,,,,,,,,,,Quantity,Value,,,,,,Quantity,Value,,,,,Quantity,Value,,,,,,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bar iron,tons,23.71,,1,166.62,14.2299844,,5,,,1.75,,,,6.75,96,,,5,3,,13.5,,4,1,26.5,377,135,25,15,5,17.325,197.325,2808,4.5,10,,,14.5,206,,,,,,,,0,0,18,18,256,263.075,3743
Beans,bushels,2.57,,0.05,166.62,0.077121594,,21,,40,,,,,61,5,,,,,,,,10,30,40,3,,,,,,0,0,,,,,0,0,1465,,292,62,104,200,,2123,164,,0,0,2224,172
Beef,barrels,52.41,,0.05,166.62,1.572740367,,,,,,,,,0,0,5,,,,,,,,,5,8,,,,,,0,0,,,,,0,0,,,,,,,,0,0,,0,0,5,8
Boat boards,feet,8.624,,0.0005,166.62,0.002587925,,,,,,,,,0,0,,,,,,,,,,0,0,,,,,,0,0,,,,,0,0,,,,,,,,0,0,1200,1200,3,1200,3
Bread,pounds,26.38,,0.000446429,166.62,0.00706805,,,,,,,,,0,0,,,7000,,35164,,,,,42164,298,,,,,,0,0,,,,,0,0,,,,,,,,0,0,,0,0,42164,298
Bread,kegs,26.38,,0.044642857,166.62,0.706805048,50,72,,,,50,,31,203,143,20,,100,,,,,,,120,85,,,,,,0,0,,,,,0,0,,,,44,,,,44,31,,0,0,367,259
Bread,hhds,26.38,,0.178571429,166.62,2.827220193,,,,,,,,,0,0,,,,,,,,,,0,0,,,,,,0,0,,,,,0,0,,,,4,,,,4,11,,0,0,4,11
Bread,barrels,26.38,,0.089285714,166.62,1.413610097,,386,306,40,170,26,158,156,1242,1756,20,,29,40,10,34,,20,20,173,245,,30,,,,30,42,52,153,100,,305,431,405,,,815,,,8,1228,1736,,0,0,2978,4210
Cam wood,tons,,,,166.62,0,,,,,,,,,0,0,,,,,,,,,,0,0,,10,,,,10,0,,,,,0,0,,,,,,,,0,0,,0,0,10,0
Corn,bushels,2.57,,0.05,166.62,0.077121594,1500,7685.5,,,870,2400,500,,12955.5,999,1400,2500,,,651,,,180,800,5531,427,,450,4575,,,5025,388,,,,,0,0,13627,5271,5063,10273,1700,5000,5537,46471,3584,,0,0,69982.5,5398
Flaxseed,hhds,5.5,,,166.62,0,,,,,,,,,0,0,,,,,,,,,,0,0,,,,531,,531,0,489,221,443,588,1741,0,,,,,,,,0,0,300,300,0,2572,0
Flour,barrels,16.89,,0.089285714,166.62,0.90507485,440,1890,862,460,88,30,455,269,4494,4067,166,10,938,122,300,30,335,55,185,2141,1938,82,704,6,280,353,1425,1290,1063,338,13,,1414,1280,864,400,,4350,,,9,5623,5089,,0,0,15097,13664
Hemp,tons,4.55,,9.333333333,166.62,25.4871364,,,,,,,,,0,0,,,,,,,,0.4,,0.4,10,,,,,,0,0,,,,,0,0,,,,,,,,0,0,,0,0,0.4,10
Hemp,pounds,4.55,,0.004166667,166.62,0.011378186,,,,,,,,,0,0,,,1300,,,,,,,1300,15,,,14932,,,14932,170,,,,,0,0,,,,,,,,0,0,,0,0,16232,185
Hoops,bundles,,,,166.62,0,,48,,,,,,,48,0,,,,,,,,,,0,0,,,,,,0,0,,,,,0,0,,,,,,,,0,0,,0,0,48,0
Hoops,,,,,166.62,0,,2600,3500,,6235,,1900,,14235,0,,,,,,,,,,0,0,,,,,,0,0,,,,,0,0,,,,,,,,0,0,,0,0,14235,0
Inch and quarter oak plank,feet,8.624,,0.0005,166.62,0.002587925,,,,,,,,,0,0,,,,,,,,,,0,0,,,,,,0,0,,,1447,,1447,4,,,,,,,,0,0,,0,0,1447,4
Inch and quarter poplar plank,feet,8.624,,0.0005,166.62,0.002587925,,,,,,,,,0,0,,,,,,,,,,0,0,,,,,,0,0,,,112,,112,0,,,,,,,,0,0,,0,0,112,0
Inch oak plank,feet,8.624,,0.0005,166.62,0.002587925,6000,,,,,,,,6000,16,,,,,,,,,,0,0,,,,,,0,0,,,47808,,47808,124,,,,,,,,0,0,,0,0,53808,140
Inch poplar plank,feet,8.624,,0.0005,166.62,0.002587925,,,,,,,,,0,0,,,,,,,,,,0,0,,,,,,0,0,,,545,,545,1,,,,,,,,0,0,,0,0,545,1
Iron,tons,8.2,,1,166.62,4.921377986,,,,,,,,,0,0,,,,,,,,,,0,0,,,,,,0,0,,,7.5,,7.5,37,,,,,,,,0,0,,0,0,7.5,37
Iron,bars,23.71,,,166.62,0,,,,,,,,,0,0,,,,,,24,29,,,53,0,,,,,,0,0,,,,,0,0,,,,,,,,0,0,,0,0,53,0
Loaf sugar,barrels,0.93,,6.25,166.62,3.488476773,,,,,,,,5,5,17,,,,,,,,,,0,0,,,,,,0,0,,,,,0,0,,,,,,,,0,0,,0,0,5,17
Madeira,gallons,47.73,,,166.62,0,,,,,,,,,0,0,,,,,,,,,,0,0,220,,,,,220,0,,,,,0,0,,,,,,,,0,0,,0,0,220,0
Muscovado sugar,pounds,46.42,,0.000446429,166.62,0.012437411,,,,,,,,,0,0,,,,,,2329,,,,2329,29,,,,,,0,0,,,,,0,0,,,,,,,,0,0,,0,0,2329,29
Oak plank,feet,8.624,,0.0005,166.62,0.002587925,,,,,,,,,0,0,,,,,,,,,,0,0,,,,,,0,0,,,4046,,4046,10,,,,,,,,0,0,,0,0,4046,10
Oak planks,,8.624,,0.005,166.62,0.025879246,,,,,,,,,0,0,,,,,,,,,,0,0,,65,,,,65,2,,,,,0,0,,,,,,,,0,0,,0,0,65,2
Oak timber,feet,8.624,,0.0005,166.62,0.002587925,,,,,,,,,0,0,,,,,,,,,,0,0,1970,,,,,1970,5,,,,,0,0,,,,,,,,0,0,,0,0,1970,5
Peas,bushels,2.57,,0.05,166.62,0.077121594,,,,,80,,,,80,6,,,,,,,,,,0,0,,,,,,0,0,,,,,0,0,15,,,,,,,15,1,,0,0,95,7
Pig iron,tons,8.2,,1,166.62,4.921377986,,,,,,,,,0,0,,,,,,,,,,0,0,174,69,22,4,88,357,1757,39,,,,39,192,,,,,,,,0,0,24,24,118,420,2067
Pimento,pounds,,,,166.62,0,,,,,,,,,0,0,,,,,,,,323,,323,0,,,,,,0,0,,,,,0,0,,,,,,,,0,0,,0,0,323,0
Pine plank,feet,8.624,,0.0005,166.62,0.002587925,,,,5000,20086,,,,25086,65,3000,,,,,,,,,3000,8,4092,,,,,4092,11,26852,,,,26852,69,,,,2629,5260,,,7889,20,,0,0,66919,173
Pine planks,,8.624,,0.005,166.62,0.025879246,,,,,,,,,0,0,,,,,,,,,,0,0,,213,,,,213,6,,,,,0,0,,,,,,,,0,0,,0,0,213,6
Pitch,barrels,14.34,,0.05,166.62,0.43032049,,,,,,,,,0,0,,,,,,,,,,0,0,,,,6,,6,3,,,,,0,0,,,,,,,,0,0,,0,0,6,3
Plank,feet,8.624,,0.0005,166.62,0.002587925,,,1438,,10300,,1000,,12738,33,,,,,,,,,,0,0,9534,,7229,2000,,18763,49,,3646,,,3646,9,,,,,,,,0,0,,0,0,35147,91
Poles (hoop),,,,,166.62,0,,250,,,,,,,250,0,,,,,,,,,,0,0,,,,,,0,0,,,,,0,0,,,,,,,,0,0,,0,0,250,0
Pork,tierces,43.43,,0.0665,166.62,1.733342336,,2,,,,,,,2,3,,,,,,,,,,0,0,,,,,,0,0,,,,,0,0,,,,,,,,0,0,,0,0,2,3
Pork,barrels,73.43,,0.05,166.62,2.203516985,,29,,,,,,10,39,86,,,,,,,,,,0,0,,,,,,0,0,,,,,0,0,,,,,,,,0,0,,0,0,39,86
Rum,gallons,3.34,,0.05,166.62,0.100228064,,,,,,,,,0,0,,,,,,109,,,,109,11,,,,,,0,0,,,,,0,0,,,,,,,,0,0,,0,0,109,11
Rye,bushels,2.57,,0.05,166.62,0.077121594,,,,,,,,,0,0,,,,,,,,,30,30,2,,,,,,0,0,,,,,0,0,,,,,,,,0,0,,0,0,30,2
Salt,bushels,1.57,,0.05,166.62,0.047113192,,,,,,,,,0,0,,,,,,335,,,,335,16,,,,,,0,0,,,,,0,0,,,,,,,,0,0,,0,0,335,16
Shingles,,,,,166.62,0,,23640,1220,20000,19200,1700,57000,5200,127960,0,10000,,,,,,,,,10000,0,,,,,,0,0,,,,,0,0,,,,,,,,0,0,,0,0,137960,0
Spokes,,,,,166.62,0,,,,,,,,,0,0,,,,,,,,,,0,0,,496,,,,496,0,,,,,0,0,,,,,,,,0,0,,0,0,496,0
Squared timber,feet,,,,166.62,0,,,,,,,,,0,0,,,,,,,,,,0,0,6443,,,,,6443,0,,,,,0,0,,,,,,,,0,0,,0,0,6443,0
Staves and heading,,5.39,,0.001,166.62,0.003234906,23230,33630,26021,24000,26248,1500,14000,1000,149629,484,,,3000,,9000,,,,2000,14000,45,136800,49118,17360,7600,39950,250828,811,44441,15500,23855,8600,92396,299,152359,,4400,55872,8000,77700,,298331,965,19000,19000,61,824184,2665
Sugar,hhds,46.42,,0.646875,166.62,18.02180861,,,,,,,,,0,0,,,,,,,,,,0,0,,4,,,,4,72,,,,,0,0,,,,,,,,0,0,,0,0,4,72
