Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Jamaica,St. Christophers,St. Eustatia,WI,,Bermuda,Boston,Halifax,New London,New York,North Carolina,Philadelphia,Rhode Island,NA,,Bideford,Bristol,Falmouth,Glasgow,London,GB,,Cork,Newry,IRE,,Lisbon,SEU,,TOTAL,
,,1754,,,,Sterling,,,,,,Quantity,Value,,,,,,,,,Quantity,Value,,,,,,Quantity,Value,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacon and ham,hhds,61.19,,0.1,168.35,3.634689635,,1,,,,1,4,,,,,,,,,0,0,,,,,,0,0,,,0,0,,0,0,1,4
Bar iron,tons,23,,1,168.35,13.66201366,,,,,,0,0,,,,,,,,,0,0,,,,,11.5,11.5,157,,,0,0,,0,0,11.5,157
Bar iron,pounds,23,,0.000446429,168.35,0.006099113,,,4098,,,4098,25,,,,,,,,,0,0,,,,,,0,0,,,0,0,,0,0,4098,25
Beans,bushels,2.34,,0.05,168.35,0.069498069,,,,,300,300,21,,90,,,,,30,20,140,10,,,,,,0,0,,,0,0,,0,0,440,31
Beans,barrels,2.34,,0.175,168.35,0.243243243,,19,,,,19,5,,,,,,,,,0,0,,,,,,0,0,,,0,0,,0,0,19,5
Boards,M feet,7.872,,0.5,168.35,2.337986338,,,,,,0,0,,,,,,,,,0,0,,,,,,0,0,,2,2,5,,0,0,2,5
Bread,barrels,21.64,,0.089285714,168.35,1.147694005,,454,30,49,,533,612,20,,,,,,,,20,23,,,,,,0,0,20,,20,23,,0,0,573,658
Corn,bushels,2.34,,0.05,168.35,0.069498069,4310,24910,2240,1000,1400,33860,2353,1000,740,843,,,,1842.5,30,4455.5,310,,,,,,0,0,32,,32,2,,0,0,38347.5,2665
Corn,barrels,2.34,,0.175,168.35,0.243243243,,,,,,0,0,,,,,,,1539,,1539,374,,,,,,0,0,,,0,0,,0,0,1539,374
Deer Skins,hhds,,,,168.35,0,,,,,,0,0,,,,,,,,,0,0,,,,,1,1,0,,,0,0,,0,0,1,0
Flaxseed,hhds,4.42,,,168.35,0,,,,,,0,0,,,,,,,,,0,0,,,,,,0,0,33,826,859,0,,0,0,859,0
Flaxseed,casks,4.42,,,168.35,0,,,,,,0,0,,,,,,,58,,58,0,,,,,,0,0,,,0,0,,0,0,58,0
