Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Jamaica,Montserrat,St. Christophers,WI,,Boston,Halifax,New Jersey,New York,North Carolina,Perth Amboy,Philadelphia,Rhode Island,Salem,NA,,Bideford,Bristol,Glasgow,London,GB,,Cork,Newry/Cork,IRE,,Madeira,SEU,,TOTAL,
,,1755,,,,Sterling,,,,,,Quantity,Value,,,,,,,,,,Quantity,Value,,,,,Quantity,Value,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacon and ham,barrels,65.94,,0.05,168.79,1.95331477,,3,,,,3,6,,,,,,,,,,0,0,,,,,0,0,,,0,0,,0,0,3,6
Beans,barrels,2.16,,0.175,168.79,0.223946916,,23,,,,23,5,,,,,,,,,,0,0,,,,,0,0,,,0,0,,0,0,23,5
Beans,hhds,2.16,,0.35,168.79,0.447893833,,,,,,0,0,,17,,,,,,,,17,8,,,,,0,0,,,0,0,,0,0,17,8
Beans,bushels,2.16,,0.05,168.79,0.063984833,,140,,,,140,9,,,,,,,,,50,50,3,,,,,0,0,,,0,0,176,176,11,366,23
Beans,bags,2.16,,0.025,168.79,0.031992417,,,,,,0,0,,7,,,,,,,,7,0,,,,,0,0,,,0,0,,0,0,7,0
Beeswax,barrels,,,,168.79,0,,,,,,0,0,,,,,,,,,,0,0,,,,,0,0,,,0,0,8,8,0,8,0
Biscuits,pounds,14.5,,0.000446429,168.79,0.00383507,,,,,,0,0,,30000,,,,,,,,30000,115,,,,,0,0,,,0,0,,0,0,30000,115
Boat boards,feet,7.312,,0.0005,168.79,0.002166005,,,,,,0,0,,,,,,,,,,0,0,,,,,0,0,1900,,1900,4,,0,0,1900,4
Bread,barrels,21.42,,0.089285714,168.79,1.133064755,,593,,15,30,638,723,,,,,,,,56,,56,63,,,,,0,0,,,0,0,,0,0,694,786
Corn,bushels,2.16,,0.05,168.79,0.063984833,,20646,,1800,,22446,1436,6000,1500,,,,1212,75,1500,5520,15807,1011,,,,,0,0,,,0,0,316,316,20,38569,2467
Corn,barrels,2.16,,0.175,168.79,0.223946916,,2630,,,,2630,589,,,,,,,,,,0,0,,,,,0,0,,,0,0,,0,0,2630,589
Flaxseed,casks,4.34,,,168.79,0,,,,,,0,0,,,,,,,,,,0,0,,,10,,10,0,,,0,0,,0,0,10,0
Flaxseed,bushels,4.34,,0.05,168.79,0.128562119,,,,,,0,0,,,,,,,8,,,8,1,,,,,0,0,,,0,0,,0,0,8,1
Flaxseed,hhds,4.34,,,168.79,0,,,,,,0,0,,,,,,,,,,0,0,,,,,0,0,,185,185,0,,0,0,185,0
Flour,barrels,13.76,,0.089285714,168.79,0.727869796,348,1246,,50,350,1994,1451,6,340,,,,,,158,100,604,440,,,,,0,0,80,11,91,66,,0,0,2689,1957
Ham,barrels,65.94,,0.05,168.79,1.95331477,,10,,,,10,20,,,,,,,,,,0,0,,,,,0,0,,,0,0,1,1,2,11,22
Handspikes,,,,,168.79,0,,,,,,0,0,,,,,,,,,,0,0,,,,105,105,0,,,0,0,,0,0,105,0
Inch plank,feet,7.312,,0.0005,168.79,0.002166005,,,1000,,,1000,2,,,,,,,,,,0,0,,,,,0,0,,,0,0,,0,0,1000,2
Indian corn,bushels,2.16,,0.05,168.79,0.063984833,,11531,,,,11531,738,,,,,,,,,,0,0,,,,,0,0,,,0,0,,0,0,11531,738
Iron,tons,7.38,,1,168.79,4.372296937,,7,,,,7,31,,,,,,,,,,0,0,70,106,,522.5,698.5,3054,2,,2,9,,0,0,707.5,3094
Logs,feet,,,,168.79,0,,,,,,0,0,,,,,,,,,,0,0,,,,2659,2659,0,,,0,0,,0,0,2659,0
Molasses,barrels,1.89,,1.45,168.79,1.623615143,,,,,,0,0,,,,,1,,,,,1,2,,,,,0,0,,,0,0,,0,0,1,2
Oak logs,,,,,168.79,0,,,,,,0,0,,,,,,,,,,0,0,,,,,0,0,30,,30,0,,0,0,30,0
Oak logs,tons,,,,168.79,0,,,,,,0,0,,,,,,,,,,0,0,,,,,0,0,,7,7,0,,0,0,7,0
Oak plank,feet,7.312,,0.0005,168.79,0.002166005,,,,,,0,0,,,,,,,,,,0,0,,,,,0,0,60,,60,0,,0,0,60,0
Peas,barrels,2.16,,0.175,168.79,0.223946916,,5,,,,5,1,,,,,,,,,,0,0,,,,,0,0,,,0,0,,0,0,5,1
Peas,bushels,2.16,,0.05,168.79,0.063984833,,158,,,,158,10,,,,,,,,,,0,0,,,,,0,0,,,0,0,24,24,2,182,12
Peas/beans,bushels,2.16,,0.05,168.79,0.063984833,,50,,,,50,3,,,,,,,,,,0,0,,,,,0,0,,,0,0,,0,0,50,3
Pine plank,feet,7.312,,0.0005,168.79,0.002166005,,8046,,,,8046,17,,,,,,,,,,0,0,,,,,0,0,,,0,0,350,350,1,8396,18
Plank,feet,7.312,,0.0005,168.79,0.002166005,,500,,600,,1100,2,,,,,,,,,,0,0,,,,20808,20808,45,,,0,0,,0,0,21908,47
Pork,barrels,65.94,,0.05,168.79,1.95331477,3,70,,,,73,143,,,,,,,,,4,4,8,,,,,0,0,,,0,0,,0,0,77,151
Rum,barrels,2.84,,1.45,168.79,2.439717993,,,,,,0,0,,,,,1,,,,,1,2,,,,,0,0,,,0,0,,0,0,1,2
Rum,casks,2.84,,3.05,168.79,5.131820605,,,,,,0,0,,,,,,,,,,0,0,,,,1,1,5,,,0,0,,0,0,1,5
Shingles,,,,,168.79,0,,29000,4000,,,33000,0,,,,,,,,,,0,0,,,,,0,0,,,0,0,,0,0,33000,0
Skins,boxes,,,,168.79,0,,,,,,0,0,,,,,,,,,,0,0,,,,1,1,0,,,0,0,,0,0,1,0
Staves,,4.57,,0.001,168.79,0.002707506,3021,15250,,,,18271,49,,,,,,,,1100,,1100,3,,16476,,10000,26476,72,,38000,38000,103,,0,0,83847,227
Staves and heading,,4.57,,0.001,168.79,0.002707506,,67100,5000,,4000,76100,206,,,,,,,,2300,,2300,6,14000,34000,35000,239183,322183,872,161100,,161100,436,,0,0,561683,1520
Sugar,barrels,48.39,,0.15,168.79,4.300314,,,,,,0,0,,,,,1,,,,,1,4,,,,,0,0,,,0,0,,0,0,1,4
Tobacco,pounds,15.8,,0.0005,168.79,0.004680372,,1413,,,,1413,7,,,,,,,,831,,831,4,,,,,0,0,,,0,0,,0,0,2244,11
Tobacco,hhds,15.08,,0.5085,168.79,4.5430298,,,,,,0,0,,,,,,,,,,0,0,422,1013,573,4122,6130,27849,,,0,0,,0,0,6130,27849
Walnut logs,feet,,,,168.79,0,,,,,,0,0,,,,,,,,,,0,0,,,,50,50,0,,,0,0,,0,0,50,0
Walnut logs,tons,,,,168.79,0,,,,,,0,0,,,,,,,,,,0,0,,12,,50,62,0,,,0,0,,0,0,62,0
Walnut logs,,,,,168.79,0,,,,,,0,0,,,,,,,,,,0,0,,,,13,13,0,22,,22,0,,0,0,35,0
Walnut plank,feet,7.312,,0.0005,168.79,0.002166005,,,,,,0,0,,,,,,,,,,0,0,1200,2139,,13502,16841,36,1126,,1126,2,,0,0,17967,38
Wheat,bushels,4.49,,0.05,168.79,0.13300551,,,,,,0,0,6417,,1109,1500,,,8555,,2470,20051,2667,,,,,0,0,,,0,0,3737,3737,497,23788,3164
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,,5448,,,,,,,,,,,4337,,,,,,31933,,,,620,,,533,,42871
