Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Dominica,Grenada,Grenadoes,Hispaniola,Jamaica,St. Croix,St. Eustatia,St. Kitts,St. VIncents,Tortola,WI,,New Providence,Boston,Falmouth,Marblehead,New York,Newfoundland,North Carolina,Philadelphia,Plymouth NE,Rhode Island,Salem,South Carolina,NA,,London,Bristol,Liverpool,Glasgow,GB,,Milford,Newry,Belfast,Cork,Dublin,Londonderry,Sligo,IRE,,Alicant,Bilboa,Cadiz,Leghorn,Lisbon,Madeira,SEU,,Unknown,UNK,,TOTAL,
,,1773,,,,Sterling,,,,,,,,,,,,,Quantity,Value,,,,,,,,,,,,,Quantity,Value,,,,,Quantity,Value,,,,,,,,Quantity,Value,,,,,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beeswax,hhds,,,,166.27,0,,,,,,,,,,,,,0,0,,,,,,,,,,,,,0,0,,,,,0,0,,3.5,,,,,,3.5,0,,,,,,,0,0,,0,0,3.5,0
Biscuits,kegs,17.3,,0.044642857,166.27,0.464498363,,22,,,,,50,60,,,,,132,61,,,,,,,,,,,,,0,0,,,,,0,0,,,,,,,,0,0,,,,,,,0,0,,0,0,132,61
Boards,feet,9.552,,0.0005,166.27,0.002872436,,,,,30000,18000,,,,,,,48000,138,,,,,,,,,,,,,0,0,,,3000,,3000,9,,,,,,,,0,0,,,,,,,0,0,,0,0,51000,147
Boat boards,,9.552,,0.005,166.27,0.028724364,,,,,,,,,,,,,0,0,,,,,,,,,,,,,0,0,,,,,0,0,,1500,,,170,,,1670,0,,,,,,,0,0,,0,0,1670,0
Boat boards,feet,9.552,,0.0005,166.27,0.002872436,,,,,,,,,,,,510,510,1,,,,,,,,,,,,,0,0,,,,,0,0,,4500,2100,,6000,500,,13100,0,,,,,,,0,0,,0,0,13610,1
Bread,tierces,30.93,,0.11875,166.27,2.209019968,,,,,7,,,,,,,,7,15,,,,,,,,,,,,30,30,66,,,,,0,0,,,,,,,,0,0,,,,,,,0,0,,0,0,37,81
Bread,barrels,30.93,,0.089285714,166.27,1.660917269,856,723,130,158,506,10,162,264,98,126,150,185,3368,5594,63,378,89,,100,,26,,9,100,,102,867,1440,,,2200,,2200,3654,,30,30,41,,,,101,0,,,,,,40,40,66,,0,0,6576,10754
Bread,kegs,30.93,,0.044642857,166.27,0.830458634,80,,,100,,,60,,,,,250,490,407,8,,,,,50,,,,,,62,120,100,,,,,0,0,,,,,,,,0,0,,,,,,,0,0,,0,0,610,507
Bread,pounds,30.93,,0.000446429,166.27,0.008304586,,,,,,,,,,,,,0,0,,,,,,15259,,,,4000,,,19259,160,,,,,0,0,,,,,,,,0,0,,,,,,,0,0,,0,0,19259,160
Bread and flour,barrels,18.92,,0.089285714,166.27,1.015989484,,790,,,,,,,,,,,790,803,,,,,,,,,,,,,0,0,,378,,,378,384,,,,,,,,0,0,,,,,,,0,0,,0,0,1168,1187
Brown sugar,tierces,50.02,,0.495089286,166.27,14.89406752,,,,,,,,,,,,,0,0,,,,,,,,,,,,6,6,89,,,,,0,0,,,,,,,,0,0,,,,,,,0,0,,0,0,6,89
Brown sugar,pounds,50.02,,0.000446429,166.27,0.013430178,,,,,,,,,,,,,0,0,,,,,,,,,,300,1425,,1725,23,,,,,0,0,,,,,,,,0,0,,,,,,,0,0,,0,0,1725,23
Cheese,pounds,,,,166.27,0,,,,,,,,,,,,,0,0,,,,,,,,,,,,800,800,0,,,,,0,0,,,,,,,,0,0,,,,,,,0,0,,0,0,800,0
Chocolate,boxes,,,,166.27,0,,,,,,,,,,,,,0,0,,9,,,,4,1,,,,,,14,0,,,,,0,0,,,,,,,,0,0,,,,,,,0,0,,0,0,14,0
Coffee,barrels,,,,166.27,0,,,,,,,,,,,,,0,0,,,,,,,1,,,,,,1,0,,,,,0,0,,,,,,,,0,0,,,,,,,0,0,,0,0,1,0
Corn,bushels,3.14,,0.05,166.27,0.094424731,100,4470,1000,,5144,,2257,,,1000,,503,14474,1367,,1232,,120,2132,561,,,1500,4500,2200,1147,13392,1265,2150,9207,15440,,26797,2530,200,176,,,,,,376,0,,,,,11000,6803,17803,1681,,0,0,72842,6843
Cotton,pounds,,,,166.27,0,,,,,,,,,,,,,0,0,,,,,,,,,,,150,,150,0,,,,,0,0,,,,,,,,0,0,,,,,,,0,0,,0,0,150,0
Deer Skin,pounds,,,,166.27,0,,,,,,,,,,,,,0,0,,,,,,,,,,,,,0,0,15431,5792,,,21223,0,,,,,,,,0,0,,,,,3900,,3900,0,,0,0,25123,0
Deer Skins,bundles,,,,166.27,0,,,,,,,,,,,,,0,0,,,,,,,,,,,,,0,0,,13,,,13,0,,,,,,,,0,0,,,,,,,0,0,,0,0,13,0
Flaxseed,hhds,9.1,,,166.27,0,,,,,,,,,,,,,0,0,,,,,,,,,,,,,0,0,,,,,0,0,,879.5,445,,,,543,1867.5,0,,,,,,,0,0,,0,0,1867.5,0
Flour,barrels,18.92,,0.089285714,166.27,1.015989484,1180,2292,382,454,900,425,1608,624,226,263,350,796,9500,9652,239,14751,544,382,456,539,15,140,15,870,390,404,18745,19045,2048,1795,1204,,5047,5128,1000,1792,1865,3004,2466,1771,72,11970,73,880,3800,1050,,10016,1160,16906,17176,,0,0,62168,51074
Furs and skins,chests,,,,166.27,0,,,,,,,,,,,,,0,0,,,,,,,,,,,,,0,0,1,,,,1,0,,,,,,,,0,0,,,,,,,0,0,,0,0,1,0
Half Johannes,,0.9,,1,100,0.9,,382,,,,,,,,,,,382,344,,,,,,,,,,,,,0,0,,,,,0,0,,,,,,,,0,0,,,,,,,0,0,,0,0,382,344
Handspikes,,,,,166.27,0,,,,,,,,,,,,,0,0,,,,,,,,,,,,,0,0,480,,,,480,0,,,,,,,,0,0,,,,,,,0,0,,0,0,480,0
Hoops,,,,,166.27,0,1000,2000,,4000,2000,1000,3100,300,,,6000,,19400,0,,,,,,,,,,,,,0,0,,,,720,720,0,,,,,,,,0,0,,,,,,,0,0,,0,0,20120,0
