Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Guadaloupe,St. Christopher,WI,,Boston,Halifax,New England,New Providence,New York,Philadelphia,Rhode Island,Salem,South Carolina,NA,,London,Bideford,Bristol,Liverpool,Whitehaven,Glasgow,GB,,Londonderry,IRE,,TOTAL,
,,1760,,,,Sterling,,,,,Quantity,Value,,,,,,,,,,Quantity,Value,,,,,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacon,casks,69.3,,0.05,158.61,2.184603745,,,,,0,0,,,1,,,,,,,1,2,,,,,,,0,0,,0,0,1,2
Beans,bushels,2.96,,0.05,158.61,0.093310636,,,,20.5,20.5,2,37,,,,51,,,,,88,8,,,,,,,0,0,,0,0,108.5,10
Bread,pounds,24.36,,0.000446429,158.61,0.00685644,,,,,0,0,,,,,,,6000,,,6000,41,,,,,,,0,0,,0,0,6000,41
Bread,barrels,24.36,,0.089285714,158.61,1.371288065,615,550,,177,1342,1840,102,3,,140,202,,,,126,573,786,,,,,,,0,0,,0,0,1915,2626
Coffee,tierces,,,,158.61,0,,,,,0,0,,,,,,9,,,,9,0,,,,,,,0,0,,0,0,9,0
Corn,bushels,2.96,,0.05,158.61,0.093310636,,450,,,450,42,,,,,,,,,,0,0,,,,,,,0,0,,0,0,450,42
Flaxseed,casks,5.54,,,158.61,0,,,,,0,0,,,3,,,,,,,3,0,,,,,,,0,0,,0,0,3,0
Flaxseed,hhds,5.54,,,158.61,0,,,,,0,0,,,,,15,26,,,,41,0,,,,,,1700,1700,0,369,369,0,2110,0
Flaxseed,barrels,5.54,,,158.61,0,,,,,0,0,,,,,,1,,,,1,0,,,,,,,0,0,,0,0,1,0
Flaxseed,bushels,5.54,,0.05,158.61,0.174642204,,,,,0,0,,,,,1200,,,175,,1375,240,,,,,,,0,0,,0,0,1375,240
Flour,bags,14.96,,0.044642857,158.61,0.421068749,,,,,0,0,,,,,,,,,11,11,5,,,,,,,0,0,,0,0,11,5
Flour,barrels,14.96,,0.089285714,158.61,0.842137498,2562,2692,,2811,8065,6792,630,1,284,165,2034,10,16,,675,3815,3213,,,,,,,0,0,24,24,20,11904,10025
Ham,barrels,69.3,,0.05,158.61,2.184603745,,,,5,5,11,,,,,,,,,,0,0,,,,,,,0,0,,0,0,5,11
Hemp,tons,4.9,,9.333333333,158.61,28.83382721,,,,,0,0,,,,,2,,,,,2,58,,,,,,,0,0,,0,0,2,58
Hoops,,,,,158.61,0,,1000,3000,,4000,0,,,,,,,,,,0,0,,,,,,,0,0,,0,0,4000,0
Inch oak plank,feet,8.56,,0.0005,158.61,0.002698443,,,5000,,5000,13,,,,,,,,,,0,0,,,,,,,0,0,,0,0,5000,13
Inch plank,feet,8.56,,0.0005,158.61,0.002698443,,,,,0,0,,,,,,,,,,0,0,700,,,,,,700,2,,0,0,700,2
Indian corn,bushels,2.96,,0.05,158.61,0.093310636,5625,6597,,33055,45277,4225,1963,1000,,874,3622,,2800,60,967,11286,1053,,,,,,,0,0,,0,0,56563,5278
Iron,bars,10.87,,,158.61,0,,,,,0,0,,,,,,,,,,0,0,1787,,,,,,1787,0,,0,0,1787,0
Iron,tons,10.87,,1,158.61,6.853287939,,,,1,1,7,0.5,,,,,,,,,0.5,3,594,43,74,30,15.5,36,792.5,5431,6,6,41,800,5482
Madeira,casks,50.31,,0.25,158.61,7.92982788,,,,,0,0,,,,,,,,,,0,0,0.5,,,,,,0.5,4,,0,0,0.5,4
Madeira,pipes,50.31,,1,158.61,31.71931152,,,,,0,0,,,,,,,,,5,5,159,1,,,,,,1,32,,0,0,6,191
Molasses,hhds,2.7,,5.05,158.61,8.596557594,,,,,0,0,,,,,24,20,,,,44,378,,,,,,,0,0,,0,0,44,378
Peas,bushels,2.96,,0.05,158.61,0.093310636,,,,,0,0,,,,,279,,,,,279,26,,,,,,,0,0,,0,0,279,26
Pine board,feet,8.56,,0.0005,158.61,0.002698443,,,,4000,4000,11,,,,,,,,,,0,0,,,,,,,0,0,,0,0,4000,11
Pine plank,feet,8.56,,0.0005,158.61,0.002698443,,,2000,,2000,5,,,,3000,,,,,,3000,8,,,,,,,0,0,,0,0,5000,13
Plank,feet,8.56,,0.0005,158.61,0.002698443,2000,,,,2000,5,,,,,,,,,,0,0,,,,,,200,200,1,,0,0,2200,6
Poles (hoop),,,,,158.61,0,400,,,,400,0,,,,,,,,,,0,0,,,,,,,0,0,,0,0,400,0
Pork,barrels,69.3,,0.05,158.61,2.184603745,16,,,28,44,96,,,,10,40,,,,,50,109,,,,,,,0,0,,0,0,94,205
Shingles,,,,,158.61,0,,34500,10000,16000,60500,0,,,,,,,,,,0,0,,,,,,,0,0,,0,0,60500,0
Ship bread,pounds,13.4,,0.000446429,158.61,0.003771605,,,,,0,0,,,,,100000,,,,,100000,377,,,,,,,0,0,,0,0,100000,377
Staves and heading,,5.35,,0.001,158.61,0.003373053,14820,16275,30000,4680,65775,222,600,,,,18000,,1800,,300,20700,70,202535,10376,13492,7684,77860,27200,339147,1144,6600,6600,22,432222,1458
Sugar,hhds,47.85,,0.632142857,158.61,19.07069902,,,,,0,0,,,,,,10,,,,10,191,,,,,,,0,0,,0,0,10,191
Sugar,tierces,47.85,,0.489285714,158.61,14.76093653,,,,,0,0,,,,,,3,,,,3,44,,,,,,,0,0,,0,0,3,44
Tar,barrels,10.82,,0.05,158.61,0.341088204,,9,,,9,3,,,,,,,,,,0,0,,,,,,,0,0,,0,0,9,3
Tobacco,hhds,20.43,,0.507,158.61,6.530489881,12,7,,9,28,183,,,,,1,,,,1,2,13,8419,416,835,156,252,806,10884,71078,,0,0,10914,71274
Turpentine,barrels,14.29,,0.05,158.61,0.45047601,,11,,,11,5,,,,,,72,,,,72,32,,,,,,,0,0,,0,0,83,37
Walnut plank,feet,8.56,,0.0005,158.61,0.002698443,,,,,0,0,,,,,,,,,,0,0,322,,,,,200,522,1,,0,0,522,1
Wheat,bushels,5.11,,0.05,158.61,0.161086943,,,,,0,0,4837,,2000,,34930,2616,1000,1700,,47083,7584,,,,,,,0,0,,0,0,47083,7584
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
