Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Jamaica,St. Christophers,Surinam,WI,,Bermuda,Boston,New England,North Carolina,Philadelphia,Providence,Rhode Island,Salem,NA,,Bideford,Bristol,Cowes,Falmouth,Liverpool,London,GB,,Cork,Newry,IRE,,Lisbon,Madeira,SEU,,Bordeaux,NEU,,TOTAL,
,,1751,,,,Sterling,,,,,,Quantity,Value,,,,,,,,,Quantity,Value,,,,,,,Quantity,Value,,,Quantity,Value,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pine plank,feet,6.816,,0.0005,166.85,0.002042553,,1063,,,,1063,2,,,,,,,,,0,0,,,,,,,0,0,,,0,0,,,0,0,,0,0,1063,2
Pine plank,pieces,6.816,,0.005,166.85,0.020425532,,536,,,,536,11,,,,,,,,,0,0,,,,,,,0,0,,,0,0,,,0,0,,0,0,536,11
Plank,feet,6.816,,0.0005,166.85,0.002042553,850,300,,,,1150,2,,,,,,,,,0,0,,,,,,200,200,0,,,0,0,,,0,0,,0,0,1350,2
Pork,barrels,72.35,,0.05,166.85,2.168115073,16,,,,,16,35,,,,,,,,,0,0,,,,,,,0,0,,,0,0,,,0,0,,0,0,16,35
Rum,hhds,3.22,,5.25,166.85,10.13185496,,,,,,0,0,,,,5,,,9,,14,142,,,,,,,0,0,,,0,0,,,0,0,,0,0,14,142
Salt,bushels,1.395,,0.05,166.85,0.041804016,,,,,,0,0,,,,500,,,,,500,21,,,,,,,0,0,,,0,0,,,0,0,,0,0,500,21
Shingles,,,,,166.85,0,,14740,,,,14740,0,,,,,,,,,0,0,,,,,,,0,0,,,0,0,,,0,0,,0,0,14740,0
Ship bread,pounds,13.17,,0.000446429,166.85,0.003523802,,,,,,0,0,,,39618,,,1200,,,40818,144,,,,,,,0,0,,,0,0,,,0,0,,0,0,40818,144
Ship bread,M pounds,13.17,,0.446428571,166.85,3.523802389,,,,,,0,0,,,,,,,,,0,0,,,,,,,0,0,,,0,0,,,0,0,,0,0,0,0
Skins,cases,,,,166.85,0,,,,,,0,0,,,,,,,,,0,0,,,,,,1,1,0,,,0,0,,,0,0,,0,0,1,0
Staves,,4.26,,0.001,166.85,0.002553191,6809,60600,10218,10000,,87627,224,,1000,,,,,,,1000,3,5200,14236,2380,5175,8630,78578,114199,292,,5000,5000,13,13000,,13000,33,,0,0,220826,565
Staves,M,4.26,,1,166.85,2.553191489,,5,,,,5,13,,,,,,,,,0,0,,4,,,,15,19,49,8,,8,20,,,0,0,,0,0,32,82
Staves (hhds),,4.26,,0.001,166.85,0.002553191,,6604,,22000,2400,31004,79,1000,,,,,,,,1000,3,4400,11500,,,,47260,63160,161,,,0,0,,,0,0,,0,0,95164,243
Sugar,barrels,48,,0.15,166.85,4.315253221,,,,,,0,0,,,,3,,,,,3,13,,,,,,,0,0,,,0,0,,,0,0,,0,0,3,13
Tobacco,casks,19.9,,0.2605,166.85,3.106952352,,,,,,0,0,,,,,,,,,0,0,,,,,,449,449,1395,,,0,0,,,0,0,,0,0,449,1395
Tobacco,hhds,19.9,,0.521,166.85,6.213904705,100,,,,,100,621,,,,,,,,,0,0,492,1100,171,129,104,5850,7846,48754,,,0,0,,,0,0,,0,0,7946,49375
Tobacco,pounds,19.9,,0.0005,166.85,0.00596344,,12903,,,,12903,77,,1126,,,,,,,1126,7,,,,,,,0,0,,,0,0,,,0,0,,0,0,14029,84
Walnut logs,tons,,,,166.85,0,,,,,,0,0,,,,,,,,,0,0,,,,,,,0,0,,4.5,4.5,0,,,0,0,,0,0,4.5,0
Walnut plank,feet,6.816,,0.0005,166.85,0.002042553,,,,,,0,0,,,,,,,,,0,0,200,100,,,,700,1000,2,,,0,0,,,0,0,,0,0,1000,2
Walnut plank,pieces,6.816,,0.005,166.85,0.020425532,,,,,,0,0,,,,,,,,,0,0,,,,,,16,16,0,,,0,0,,,0,0,,0,0,16,0
Wheat,bushels,4.38,,0.05,166.85,0.131255619,,,,,,0,0,,800,,,4550,,160,1552,7062,927,,,,,,,0,0,1000,,1000,131,3000,5009.75,8009.75,1051,5500,5500,722,21571.75,2831
White oak board,feet,6.816,,0.0005,166.85,0.002042553,,,,,700,700,1,,,,,,,,,0,0,,,,,,,0,0,,,0,0,,,0,0,,0,0,700,1
Wine,pipes,30.1,,1,166.85,18.04015583,,,,,,0,0,,,,,,,,,0,0,,1,,,,,1,18,,,0,0,,,0,0,,0,0,1,18
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,,8161,,,,,,,,,,2465,,,,,,,,53996,,,,184,,,,1260,,,750,,66816
