Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Nevis,St. Christopher,WI,,Bermuda,Boston,Marblehead,New York,North Carolina,Philadelphia,Piscataqua,Rhode Island,Salem,NA,,Aberdeen,Bideford,Bristol,London,Glasgow,Whitehaven,GB,,Dublin,IRE,,Madeira,SEU,,TOTAL,
,,1749,,,,Sterling,,,,,Quantity,Value,,,,,,,,,,Quantity,Value,,,,,,,Quantity,Value,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tobacco,hhds,17.1,,0.5245,171.39,5.23306494,,,,,0,0,,,,,,,,,,0,0,126,636,104,3982,425,205,5478,28667,,0.5245,3,,0,0,5478.5245,28670
Walnut,pieces,,,,171.39,0,,,,,0,0,,50,,,,,,,,50,0,,,,,,,0,0,,0,0,,0,0,50,0
Walnut board,feet,8.4,,0.0005,171.39,0.002450551,,,,,0,0,,300,,,,,,,,300,1,,,,,,,0,0,,0.0005,0,,0,0,300.0005,1
Walnut logs,,,,,171.39,0,,,,,0,0,,,,,,,,,7,7,0,3,,,,,,3,0,,0,0,,0,0,10,0
Walnut plank,tons,,,,171.39,0,,,,,0,0,,,,,,,,,,0,0,,,,,,,0,0,12,0,0,,0,0,0,0
Walnut plank,feet,8.4,,0.0005,171.39,0.002450551,,,,,0,0,,,2000,,,,,,,2000,5,,,,1850,,,1850,5,,0.0005,0,,0,0,3850.0005,10
Walnut plank,,8.4,,0.005,171.39,0.024505514,,,,,0,0,,,,,,,,,,0,0,92,,,,,,92,2,,0.005,0,,0,0,92.005,2
Walnut plank/stock,tons,,,,171.39,0,,,,,0,0,,,,,,,,,,0,0,,3,,,,,3,0,,0,0,,0,0,3,0
Walnut timber,pieces,8.4,,0.005,171.39,0.024505514,,,,,0,0,,6,,,,,,,,6,0,,,,,,,0,0,,0.005,0,,0,0,6.005,0
Wheat,bushels,5.66,,0.05,171.39,0.165120485,,,,,0,0,,14773.5,,,,,,,230,15003.5,2477,,,,,,,0,0,,0.05,0,4204.5,4204.5,694,19208.05,3171
Wine,quarter casks,28.77,,0.25,171.39,4.196569228,,,,,0,0,,9,,,,,,,,9,38,,,,,,,0,0,,0.25,1,,0,0,9.25,39
Wine,pipes,28.77,,1,171.39,16.78627691,,,,,0,0,,2,,,,,,,,2,34,,,,,,,0,0,,1,17,,0,0,3,51
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOAL PER REGION,,,,,,,,,,,,1947,,,,,,,,,,,6333,,,,,,,,31869,,,68,,,1493,,41710
