Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Dominica,Grenada,Grenadoes,Hispaniola,Jamaica,Nevis,St. Croix,St. Eustatia,St. Kitts,St. Lucia,St. Martins,St. Vincent,Wi,,New Providence,Boston,Falmouth NE,New  York,Newfoundland,North Carolina,Philadelphia,Rhode Island,Salem,Sinepuxent DE,NA,,London,Bristol,Cowes,Liverpool,Glasgow,GB,,Milford,Newry,Ballyshannon,Belfast,Cork,Dublin,Galway,Londonderry,Waterford,IRE,,Barcelona,Cadiz,Lisbon,Madeira,SEU,,TOTAL,
,,1772,,,,Sterling,,,,,,,,,,,,,,,Quantity,Value,,,,,,,,,,,Quantity,Value,,,,,,Quantity,Value,,,,,,,,,,Quantity,Value,,,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bar iron,tons,27.07,,1,160.83,16.83143692,,5,,,,,,,,,,,,2,7,118,,75.1,13,,,2,42,,4,,136.1,2291,177.5,10,,8,5.75,201.25,3387,,,,,1,16,,,,17,286,,,,,0,0,361.35,6082
Bar iron,pounds,27.07,,0.000446429,160.83,0.007514034,,,,,,,,,,,,,,,0,0,,,,,,,,,,750,750,6,,,,,,0,0,,,,,,,,,,0,0,,,,,0,0,750,6
Beans,bushels,3.69,,0.05,160.83,0.114717403,,53,,,,50,,,,,,,,,103,12,,,,,,,,,,,0,0,,,,,,0,0,,,,,,,,,,0,0,,,,250,250,29,353,41
Beans,hhds,3.69,,0.35,160.83,0.803021824,,,,,,,,,1,,,,,,1,1,,,,,,,,,,,0,0,,,,,,0,0,,,,,,,,,,0,0,,,,,0,0,1,1
Beeswax,pounds,,,,160.83,0,,,,,,,,,,,,,,,0,0,,3300,,,,,,,10000,,13300,0,,,,,,0,0,,,,,,280,,,,280,0,,,,,0,0,13580,0
Boat boards,feet,10.752,,0.0005,160.83,0.00334266,,,,,,,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,830,,830,3,,,,4000,17861,,,,,21861,73,,,,,0,0,22691,76
Boat boards,,10.752,,0.005,160.83,0.0334266,,,,,,,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,0,0,,,,,,,59,,,59,2,,,,,0,0,59,2
Bread,kegs,31.23,,0.044642857,160.83,0.866875849,,50,,87,,,,,100,,,,,50,287,249,20,,,,45,,,,,,65,56,,,,,,0,0,,,,,,,,,,0,0,,,,,0,0,352,305
Bread,pounds,31.23,,0.000446429,160.83,0.008668758,,,,,,,,,,,,,,,0,0,,,,,31588,,,,,,31588,274,,,,,,0,0,,,,,,,,,,0,0,,,,,0,0,31588,274
Bread,barrels,31.23,,0.089285714,160.83,1.733751699,66,622,58,372,360,,66,,552,,200,133,163,,2592,4494,189,292,112,100,492,,,8,,,1193,2068,,,,,,0,0,,,,50,80,,,,,130,225,100,,320,95,515,893,4430,7680
Bread,tierces,31.23,,0.11875,160.83,2.305889759,,,,,,,,,,,,,,,0,0,109,,,,,,,,43,,152,350,,,,,,0,0,,,,,,,,,,0,0,,,,,0,0,152,350
Chocolate,boxes,,,,160.83,0,,,,,,,,,,,,,,,0,0,,13,,,,,,,,,13,0,,,,,,0,0,,,,,,,,,,0,0,,,,,0,0,13,0
Corn,bushels,3.69,,0.05,160.83,0.114717403,5530,2460,,,,,337,1000,350,,1200,426,34.5,,11337.5,1301,600,325.5,,,99,,,,1626,,2650.5,304,,,,,,0,0,,,,,,,,,,0,0,,,25192,8100,33292,3819,47280,5424
