Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Dominica,Grenades,Jamaica,St. Croix,WI,,Bermuda,New Providence,Boston,Halifax,New York,North Carolina,Philadelphia,Rhode Island,Salem DE,South Carolina,NA,,London,Bideford,Bristol,Liverpool,Whitehaven,Glasgow,GB,,Cork,Dublin,IRE,,Cadiz,Leghorn,Lisbon,Madeira,SEU,,TOTAL,
,,1764,,,,,,,,,,,Quantity,Value,,,,,,,,,,,Quantity,Value,,,,,,,Quantity,Value,,,Quantity,Value,,,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Handspikes,,,,,172.86,0,,,,,,,0,0,,,,,,,,,,,0,0,117,,48,,,,165,0,,,0,0,,,,,0,0,165,0
Hoops,,,,,172.86,0,5500,8000,,,4000,,17500,0,,,,,,,,,,,0,0,,,,,,,0,0,,,0,0,,,,,0,0,17500,0
Hoops,bundles,,,,172.86,0,,34,,,,,34,0,,,,,,,,,,,0,0,,,,,,,0,0,,,0,0,,,,,0,0,34,0
Indian corn,bushels,2.74,,0.05,172.86,0.079254888,,,,,,,0,0,,,,,,,,5,,,5,0,,,,,,,0,0,,,0,0,298,,,,298,24,303,24
Iron,tons,8.5,,1,172.86,4.917274095,5,3.5,,,4,,12.5,61,,,,,,21,,,,,21,103,292.5,20,91.75,,17.5,21,442.75,2177,,12,12,59,,,,2,2,10,490.25,2410
Iron,pounds,8.5,,0.000446429,172.86,0.002195212,,,,,,,0,0,,,,756,,,,,,,756,2,,,,,,,0,0,,,0,0,,,,,0,0,756,2
Iron,bars,8.5,,,172.86,0,,,,,165,,165,0,,,,,,,,,,,0,0,,,,,,,0,0,,,0,0,,,,,0,0,165,0
Lumber,feet,8.64,,0.0005,172.86,0.002499132,,2000,,,,,2000,5,,,,,,,,,,,0,0,,,,,,,0,0,,,0,0,,,,,0,0,2000,5
Madeira,casks,50.56,,0.25,172.86,7.31227583,,,,,,,0,0,,,,,,0.25,,,,,0.25,2,,,,,,,0,0,,,0,0,,,,,0,0,0.25,2
Mahogany planks,,8.64,,0.005,172.86,0.024991322,,,,,,,0,0,,,,,,,,,,,0,0,27,,,,,,27,1,,,0,0,,,,,0,0,27,1
Mahogany posts,,,,,172.86,0,,,,,,,0,0,,,,,,,,,,,0,0,16,,,,,,16,0,,,0,0,,,,,0,0,16,0
Molasses,hhds,1.63,,5.05,172.86,4.761946084,,,,,,,0,0,,,,,,3,,1,,,4,19,,,,,,,0,0,,,0,0,,,,,0,0,4,19
Muscovado sugar,pounds,48.73,,0.000446429,172.86,0.012585019,,,,,,,0,0,,,,,,1046,,,,,1046,13,,,,,,,0,0,,,0,0,,,,,0,0,1046,13
Oak,pieces,8.64,,0.005,172.86,0.024991322,,6,,,,,6,0,,,,,,,,,,,0,0,,,,,,,0,0,,,0,0,,,,,0,0,6,0
Oak plank,feet,8.64,,0.0005,172.86,0.002499132,,,,,,,0,0,6000,,,,,,,,,,6000,15,400,,,,,,400,1,,,0,0,,,,,0,0,6400,16
Peas,bushels,2.74,,0.05,172.86,0.079254888,,30,,,,,30,2,,,,,,,,10,,,10,1,,,,,,,0,0,,,0,0,,,,,0,0,40,3
Pine plank,feet,8.64,,0.0005,172.86,0.002499132,,,,4000,,,4000,10,,,,,,,,,,,0,0,,,600,,800,,1400,3,,,0,0,,,,,0,0,5400,13
Plank,feet,8.64,,0.0005,172.86,0.002499132,,8150,,,2000,,10150,25,,,,,,,,,,,0,0,1600,,,,,,1600,4,,,0,0,4000,,7624,,11624,29,23374,58
Poplar plank,feet,8.64,,0.0005,172.86,0.002499132,,2000,,,,,2000,5,,,,,,,,,,,0,0,,,,,,,0,0,,,0,0,,,,,0,0,2000,5
Pork,barrels,98.26,,0.05,172.86,2.842184427,12,48,,,,,60,171,,,,,,,,5.75,,,5.75,16,,,,,,,0,0,,,0,0,,,,,0,0,65.75,187
Rice,casks,14.52,,,172.86,0,,,,,,,0,0,,,,,,,,1,,,1,0,,,,,,,0,0,,,0,0,,,,,0,0,1,0
Rum,gallons,3.26,,0.05,172.86,0.094295962,,,,,,,0,0,,,,,,,,,,,0,0,,630,,,,,630,59,,,0,0,,,,,0,0,630,59
Rum,hhds,3.26,,5.25,172.86,9.901076015,,,,,,,0,0,,,,,,10,,,,,10,99,,,,,,,0,0,,,0,0,,,,,0,0,10,99
Salt,bushels,1.92,,0.05,172.86,0.055536272,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,0,0,,,0,0,,,,,0,0,0,0
Shingles,,,,,172.86,0,,20470,,,123550,,144020,0,,,,,,,,,,,0,0,,,,,,,0,0,,,0,0,,,,,0,0,144020,0
Skins,bundles,,,,172.86,0,,,,,,,0,0,,,,,,,,,,,0,0,1,,,,,,1,0,,,0,0,,,,,0,0,1,0
Skins,chests,,,,172.86,0,,,,,,,0,0,,,,,,,,,,,0,0,3,,,,,,3,0,,,0,0,,,,,0,0,3,0
Spanish Dollars,,0.23,,1,100,0.23,,,,,,,0,0,,,,,,,,,,,0,0,7000,,,,,,7000,1610,,,0,0,,,,,0,0,7000,1610
Spanish Pistoles,,0.83,,1,100,0.83,,,,,,,0,0,,,,,,,,,,,0,0,55,,,,,,55,46,,,0,0,,,,,0,0,55,46
Staves and heading,,5.4,,0.001,172.86,0.003123915,20100,62300,1050,750,23400,1500,109100,341,,,35600,,,,,2500,,,38100,119,185425,7000,22790,29700,48000,9700,302615,945,,43000,43000,134,7000,8000,34990,46700,96690,302,589505,1841
Sugar,pounds,48.73,,0.000446429,172.86,0.012585019,,,,,,,0,0,,,,,,,,,,,0,0,39536,,,,,,39536,498,,,0,0,,,,,0,0,39536,498
Sugar,barrels,48.73,,0.15,172.86,4.22856647,,,,,,,0,0,,,,,,2,,,,,2,8,,,,,,,0,0,,,0,0,,,,,0,0,2,8
Tar,barrels,12.36,,0.05,172.86,0.357514752,,6,,,20,,26,9,,,,,,,,,,,0,0,,,,,,,0,0,,,0,0,,,,,0,0,26,9
Tobacco,hhds,17.71,,0.55,172.86,5.634906861,,11,,,,,11,62,,,,,,,,,,,0,0,4540,164,948,,,322,5974,33663,,,0,0,,,,,0,0,5985,33725
Walnut,feet,8.64,,0.0005,172.86,0.002499132,,,,,,,0,0,,,,,,,,,,,0,0,,,60,,,,60,0,,,0,0,,,,,0,0,60,0
Walnut logs,feet,8.64,,0.0005,172.86,0.002499132,,,,,,,0,0,,,,,,,,388,,,388,1,,,,,,,0,0,,,0,0,,,,,0,0,388,1
Walnut logs,,,,,172.86,0,,,,,,,0,0,,,,,,,,,,,0,0,45,,,94,,,139,0,,,0,0,,,,,0,0,139,0
Walnut plank,slabs,,,,172.86,0,,,,,,,0,0,,,,,,,,,,,0,0,111,,,,,,111,0,,,0,0,,,,,0,0,111,0
Walnut plank,feet,8.64,,0.0005,172.86,0.002499132,,,,,,,0,0,,,4000,,,,,,,,4000,10,2000,,,,,,2000,5,,,0,0,,,,,0,0,6000,15
Wheat,bushels,4.6,,0.05,172.86,0.133055652,,1700,,,,,1700,226,,,,,3000,,1478,400,,,4878,649,,,,,,,0,0,,,0,0,10153,4339,16177,6747,37416,4978,43994,5853
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,,,14009,,,,,,,,,,,,3533,,,,,,,,39224,,,,536,,,,,,9968,,67270
