Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Montserrat,St. Christophers,WI,,Bermuda,Boston,Charlestown SC,New York,North Carolina,Providence,Salem,NA,,London,Bideford,Bristol,Liverpool,GB,,Cork,Dublin,IRE,,TOTAL,
,,1759,,,,Sterling,,,,,Quantity,Value,,,,,,,,Quantity,Value,,,,,Quantity,Value,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beans,hhds,2.99,,0.35,153.52,0.681670141,6,,,,6,4,,,,,,,,0,0,,,,,0,0,,,0,0,6,4
Beans,bushels,2.99,,0.05,153.52,0.097381449,,40,,30,70,7,,80,,7,,,,87,8,,,,,0,0,,,0,0,157,15
Beans,casks,2.99,,0.175,153.52,0.34083507,,,,,0,0,,1,,,,,,1,0,,,,,0,0,,,0,0,1,0
Beef,barrels,48.66,,0.05,153.52,1.584809797,,,12,,12,19,,,,,,,,0,0,,,,,0,0,,,0,0,12,19
Beeswax,pounds,,,,153.52,0,,,,,0,0,,,,,,,,0,0,,,,,0,0,,100,100,0,100,0
Bread,barrels,22.14,,0.089285714,153.52,1.287640512,62,1186,21,397,1666,2145,56,62,10,142,,70,,340,438,,,,,0,0,40,6,46,59,2052,2642
Flaxseed,barrels,6.51,,,153.52,0,,,,,0,0,,,,100,,,,100,0,,,,,0,0,,,0,0,100,0
Flaxseed,hhds,6.51,,,153.52,0,,,,,0,0,,,,,152,,,152,0,,,,,0,0,,,0,0,152,0
Flour,barrels,14.59,,0.089285714,153.52,0.848539976,317,2404,307,941,3969,3368,249,294,30,434,,261,,1268,1076,,,,,0,0,237,10,247,210,5484,4654
Gammons,hhds,69.19,,0.1,153.52,4.506904638,,,,1,1,5,,,,,,,,0,0,,,,,0,0,,,0,0,1,5
Gammons,barrels,69.19,,0.05,153.52,2.253452319,,,,1,1,2,,,,,,,,0,0,,,,,0,0,,,0,0,1,2
Ham,barrels,69.19,,0.05,153.52,2.253452319,1,,,,1,2,,,,,,,,0,0,,,,,0,0,,,0,0,1,2
Ham,casks,69.19,,0.05,153.52,2.253452319,4,8,,,12,27,,,,,,,,0,0,,,,,0,0,,,0,0,12,27
Hoops,,,,,153.52,0,,,1560,,1560,0,,,,,,,,0,0,,,,,0,0,,,0,0,1560,0
Indian corn,bushels,2.99,,0.05,153.52,0.097381449,700,3950,867.5,2400,7917.5,771,2171,100,3022,800,,450,1025,7568,737,,,,,0,0,,1700,1700,166,17185.5,1674
Iron,tons,8.84,,1,153.52,5.7582074,,3,,,3,17,,,,,1.25,,,1.25,7,315.5,40,50,8,413.5,2381,,,0,0,417.75,2405
Iron,bars,8.84,,,153.52,0,,,,,0,0,,,,,,,,0,0,1906,,,,1906,0,,,0,0,1906,0
Oak plank,feet,7.872,,0.0005,153.52,0.002563835,,,,,0,0,,,,,,,,0,0,,200,,,200,1,,,0,0,200,1
Peas,barrels,2.99,,0.175,153.52,0.34083507,1,,,,1,0,,,,,,,,0,0,,,,,0,0,,,0,0,1,0
Peas,bushels,2.99,,0.05,153.52,0.097381449,,150,,,150,15,,,,,,,,0,0,,,,,0,0,,,0,0,150,15
Pine boards,,7.872,,0.0005,153.52,0.002563835,,,,,0,0,,,,,,,,0,0,,,80,,80,0,,,0,0,80,0
Pitch,barrels,16.07,,0.05,153.52,0.523384575,,,,,0,0,,,,,,,,0,0,,,,,0,0,,,0,0,0,0
Plank,feet,7.872,,0.0005,153.52,0.002563835,,,,12000,12000,31,500,,,,,,,500,1,,,,,0,0,,,0,0,12500,32
Pork,barrels,69.19,,0.05,153.52,2.253452319,98,20,,15,133,300,6,,,29,,,,35,79,,,,,0,0,,3,3,7,171,386
Racoon skins,cases,,,,153.52,0,,,,,0,0,,,,1,,,,1,0,,,,,0,0,,,0,0,1,0
Rye,bushels,2.99,,0.05,153.52,0.097381449,,,,,0,0,,200,,,,,,200,19,,,,,0,0,,,0,0,200,19
Shingles,,,,,153.52,0,,12000,,1000,13000,0,,,,,,,,0,0,,,,,0,0,,,0,0,13000,0
Shingles (cypress),,,,,153.52,0,,18350,,,18350,0,,,,,,,,0,0,,,,,0,0,,,0,0,18350,0
Staves and heading,,4.92,,0.001,153.52,0.003204794,600,24000,12092,500,37192,119,,8000,,500,,,,8500,27,98500,15500,5000,11000,130000,417,2871,,2871,9,178563,572
Staves and shingles,,4.92,,0.001,153.52,0.003204794,,,,8000,8000,26,,,,,,,,0,0,,,,,0,0,,,0,0,8000,26
Tar,barrels,10.68,,0.05,153.52,0.347837415,,,,,0,0,,,,,,,,0,0,,,,,0,0,,,0,0,0,0
Tobacco,hhds,20.42,,0.4965,153.52,6.604045076,6,,,,6,40,,,,1,,,,1,7,3764,325,614,383,5086,33588,,,0,0,5093,33635
Turpentine,barrels,16.75,,0.05,153.52,0.545531527,,,,,0,0,,,,,,,,0,0,6,,,,6,3,,,0,0,6,3
Wheat,bushels,4.96,,0.05,153.52,0.16154247,,,,,0,0,200,16634,,16230,,,100,33164,5357,,,,,0,0,2886,,2886,466,36050,5823
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,6898,,,,,,,,,7756,,,,,,36390,,,,917,,51961
