Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Hispaniola,Jamaica,St. Croix,St. Eustatia,St. Kitts,St. VIncents,Surinam,Tortola,WI,,New Providence,Turks Island,Boston,Casco Bay,Falmouth,Marblehead,New England,New York,Newfoundland,North Carolina,Philadelphia,Piscataqua,Plymouth,Rhode Island,Salem,St. Augustine,NA,,London,Bristol,Liverpool,Glasgow,GB,,Milford,Newry,Belfast,Cork,Dublin,Galway,Londonderry,Waterford,Younghall,IRE,,Alicant,Barcelona,BIlboa,Cadiz,Genoa,Gibraltar,Leghorn,Lisbon,Madeira,Malaga,Nice,Port Mahon,Teneriffe,Vigo,SEU,,Unknown,UNK,,TOTAL,
,,1774,,,,Sterling,,,,,,,,,,,Quantity,Value,,,,,,,,,,,,,,,,,Quantity,Value,,,,,Quantity,Value,,,,,,,,,,Quantity,Value,,,,,,,,,,,,,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacon,barrels,69.5,,0.05,169.46,2.050631417,1,,,,,,,,,,1,2,,,,,,,,,,,,,,,,5,5,10,,,,,0,0,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,,0,0,6,12
Bacon,pounds,69.5,,0.00025,169.46,0.010253157,,,,300,,,,,,,300,3,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,,0,0,300,3
Bacon hams,,69.5,,,169.46,0,,,,,,,,,,,0,0,6,,,,,,,,,,,,,,,,6,0,,,,,0,0,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,,0,0,6,0
Bar iron,tons,26.12,,1,169.46,15.41366694,4,1,,10,2,,,,,,17,262,1,,8,5,,0.5,,,1.25,20,,,0.5,2.5,9,,47.75,736,35,,,,35,539,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,,0,0,99.75,1537
Beans,hhds,2.83,,0.35,169.46,0.584503718,,,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,,0,0,1,1
Beans,barrels,2.83,,0.175,169.46,0.292251859,,,,,15,,,,,,15,4,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,,0,0,15,4
Beans,bushels,2.83,,0.05,169.46,0.083500531,24,,,,,,,,,,24,2,,,,,,39,30,,,,,20,,,13,,102,9,,,,,0,0,,,,,,,,,,0,0,2270,1127,,810,522,100,,60,227.5,1350,,,177,,6643.5,555,,0,0,6769.5,566
