Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,WI,,Bermuda,Boston,Marblehead,Providence,Rhode Island,Salem,South Carolina,NA,,Aberdeen,Barnstaple,Bideford,Bristol,Glasgow,London,Whitehaven,GB,,Cork,IRE,,Lisbon,Madeira,SEU,,TOTAL,
,,1750,,,,Sterling,,,Quantity,Value,,,,,,,,Quantity,Value,,,,,,,,Quantity,Value,,Quantity,Value,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bar iron,pounds,25.67,,0.000446429,170.6,0.006717363,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,0,0,,11,11,0,11,0
Bar iron,tons,25.67,,1,170.6,15.04689332,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,0,0,,5.0125,5.0125,75,5.0125,75
Beans,barrels,2.56,,0.175,170.6,0.262602579,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,0,0,,1,1,0,1,0
Beans,bushels,2.56,,0.05,170.6,0.075029308,30,,30,2,,307,,,215,,,522,39,,,,,,,,0,0,,0,0,600,330,930,70,1482,111
Bread,barrels,23.82,,0.089285714,170.6,1.246650477,,538,538,671,,45,,,,,,45,56,,,,,,,,0,0,,0,0,,,0,0,583,727
Bread,casks,23.82,,0.089285714,170.6,1.246650477,,14,14,17,,,,,,,,0,0,,,,,,,,0,0,,0,0,,,0,0,14,17
Corn,bushels,2.56,,0.05,170.6,0.075029308,6465.5,11000,17465.5,1310,4300,6600,1220,400,8300,1600,2500,24920,1870,,,,,,,,0,0,,0,0,1050,9265.5,10315.5,774,52701,3954
Corn,M bushels,2.56,,50,170.6,75.02930832,2,,2,150,,2,,,,,,2,150,,,,,,,,0,0,,0,0,,,0,0,4,300
Deer Skins,,,,,170.6,0,,,0,0,,,,,,,,0,0,,,,,,35,,35,0,,0,0,,,0,0,35,0
Deer Skins,hhds,13.1,,0.178571429,170.6,1.371210852,,,0,0,,,,,,,,0,0,,,,,,1,,1,1,,0,0,,,0,0,1,1
Flour,barrels,13.1,,0.089285714,170.6,0.685605426,84,487,571,391,,32,24,,,,,56,38,,,,,,,,0,0,,0,0,,41,41,28,668,457
Flour,bushels,13.1,,0.089285714,170.6,0.685605426,177,256,433,297,104,,,,,,50,154,106,,,,,,,,0,0,,0,0,,,0,0,587,403
Furs,casks,,,,170.6,0,,1,1,0,,,,,,,,0,0,,,,,,,,0,0,,0,0,,,0,0,1,0
Furs,small box,,,,170.6,0,,,0,0,,,,,,,,0,0,,,,,,1,,1,0,,0,0,,,0,0,1,0
Fyall wine,pipes,29.74,,1,170.6,17.43259086,,,0,0,,,,9,,,,9,157,,,,,,,,0,0,,0,0,,,0,0,9,157
Ham,casks,63.99,,0.05,170.6,1.875439625,,,0,0,,,,,,,,0,0,,,,,,2,,2,4,,0,0,,,0,0,2,4
Heading,,5.98,,0.001,170.6,0.003505275,,2300,2300,8,,,,,,,,0,0,,,,,,,,0,0,,0,0,,2400,2400,8,4700,16
Heading and staves,,5.98,,0.001,170.6,0.003505275,,7000,7000,25,,,,,,,,0,0,,,,,,,,0,0,,0,0,,,0,0,7000,25
Hoops,,,,,170.6,0,2400,11380,13780,0,,,,,,,,0,0,,,,,,,,0,0,,0,0,,,0,0,13780,0
Inch plank,feet,9.568,,0.0005,170.6,0.00280422,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,0,0,,5000,5000,14,5000,14
Indigo,kegs,7.78,,,170.6,0,,,0,0,,,,,,,,0,0,,,,,,1,,1,0,,0,0,,,0,0,1,0
Iron,tons,8.8,,1,170.6,5.158264947,,1,1,5,,3,,,3,,,6,31,,20,80,47,30,520,,697,3595,,0,0,,,0,0,704,3631
Oak,feet,9.568,,0.0005,170.6,0.00280422,,,0,0,,,,,,,,0,0,,,,500,,,,500,1,,0,0,,,0,0,500,1
Oak plank,,9.568,,0.005,170.6,0.028042204,,,0,0,,,,,,,,0,0,,,,,,,,0,0,221,221,6,,,0,0,221,6
Peas,bags,2.56,,0.175,170.6,0.262602579,,8,8,2,,,,,,,,0,0,,,,,,,,0,0,,0,0,,,0,0,8,2
Peas,bushels,2.56,,0.05,170.6,0.075029308,50,105,155,12,,50,,,,,,50,4,,,,,,,,0,0,,0,0,,350,350,26,555,42
Peas/beans,bushels,2.56,,0.05,170.6,0.075029308,,,0,0,,,46,,,,,46,3,,,,,,,,0,0,,0,0,,,0,0,46,3
Pig iron,tons,8.8,,1,170.6,5.158264947,,,0,0,,,,,,,,0,0,,1.0125,13,,,,,14.0125,72,,0,0,,,0,0,14.0125,72
Pine board,feet,9.568,,0.0005,170.6,0.00280422,,1014,1014,3,,,,,,,,0,0,,,,,,,,0,0,,0,0,,,0,0,1014,3
Pine plank,M feet,9.568,,0.5,170.6,2.804220399,,,0,0,,,,,,,,0,0,,4,,,,4,,8,22,,0,0,,,0,0,8,22
Plank,feet,9.568,,0.0005,170.6,0.00280422,,,0,0,,140,,,,,,140,0,,,300,305,,6500,,7105,20,,0,0,,,0,0,7245,20
