Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Cape Francois,Grenada,St. Martins,WI,,Boston,Nantucket,New York,Newport,Philadelphia,Piscataway,Rhode Island,Salem,NA,,London,GB,,Madeira,SEU,,TOTAL,
,,1771,,,,Sterling,,,,,,Quantity,Value,,,,,,,,,Quantity,Value,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rum,kegs,3.35,,0.725,165.69,1.465839821,,,,,,0,0,,,,,,,2,,2,3,,0,0,,0,0,2,3
Salt,hhds,1.6,,0.35,165.69,0.337980566,,,,,,0,0,80,,,,,,,55,135,46,,0,0,,0,0,135,46
Salt,bushels,1.6,,0.05,165.69,0.048282938,,,,,1140,1140,55,,,600,,2000,,,80,2680,129,,0,0,,0,0,3820,184
Shingles,,,,,165.69,0,,,,,,0,0,,,,,,,,8500,8500,0,,0,0,,0,0,8500,0
Spirits,hhds,3.35,,5.25,165.69,10.61470215,,,,,,0,0,,,,,1,,,,1,11,,0,0,,0,0,1,11
Spirits,barrels,3.35,,1.45,165.69,2.931679643,,,,,,0,0,,,,,,5,,,5,15,,0,0,,0,0,5,15
Staves,,6.77,,0.001,165.69,0.004085944,,,,,,0,0,,,,,9000,,,,9000,37,,0,0,,0,0,9000,37
Sugar,hhds,50.86,,0.646875,165.69,19.85639598,18,19,,24,,61,1211,,2,,,,,,,2,40,,0,0,,0,0,63,1251
Sugar,barrels,50.86,,0.15,165.69,4.604381677,27,211,,26,,264,1216,7,3,,,10,,,37,57,262,,0,0,,0,0,321,1478
Sugar,tierces,50.86,,0.049508929,165.69,1.519720024,2,3,,,,5,8,1,,,,2,,,,3,5,,0,0,,0,0,8,13
Tea,pounds,4.93,,0.05,165.69,0.148771803,,,,,,0,0,24,,,,,,,,24,4,,0,0,,0,0,24,4
Virginia currency,pounds,1,,1,165.69,0.603536725,,,,,,0,0,28,,654,,,,,11,693,418,,0,0,,0,0,693,418
Virginia currency,shillings,1,,0.05,165.69,0.030176836,,,,,,0,0,,,3,,,,,7,10,0,,0,0,,0,0,10,0
Virginia currency,pence,1,,0.004166667,165.69,0.002514736,,,,,,0,0,,,9,,,,,6,15,0,,0,0,,0,0,15,0
Wine,quarter casks,50,,0.25,165.69,7.544209065,,,,,,0,0,,,2,,,,,,2,15,,0,0,23,23,174,25,189
Wine,tierces,50,,,165.69,0,,,,,,0,0,4,,,,,,,,4,0,,0,0,,0,0,4,0
Wine,pipes,50,,1,165.69,30.17683626,,,,,,0,0,5,,1,,,,,,6,181,,0,0,46.75,46.75,1411,52.75,1592
Wine,barrels,50,,0.25,165.69,7.544209065,,,,,,0,0,,,,,9,,,,9,68,,0,0,,0,0,9,68
Wine,hhds,50,,0.5,165.69,15.08841813,,,,,,0,0,,,,,2,,,,2,30,,0,0,16,16,241,18,271
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,,9725,,,,,,,,,,52247,,,105,,,1826,,63903
