Good,Unit,Price,Price,Conv,Exch,Price,Barbadoes,Jamaica,St. Martins,WI,,Boston,New England,Rhode Island,NA,,TOTAL,
,,1726,,,,Sterling,,,,Quantity,Value,,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Cheese,pounds,,,,144.46,0,,,,0,0,,,1000,1000,0,1000,0
Indigo,pounds,,,,144.46,0,,56,,56,0,,,,0,0,56,0
Molasses,tierces,1.45,,3.05,144.46,3.06140108,2,,,2,6,6,,,6,18,8,24
Molasses,barrels,1.45,,1.45,144.46,1.455420186,2,1,,3,4,,7,,7,10,10,14
Molasses,hhds,1.45,,5.05,144.46,5.068877198,6,12,,18,91,,,15,15,76,33,167
Rum,tierces,3.19,,1.5,144.46,3.312335595,19,,,19,63,9,,,9,30,28,93
Rum,barrels,3.19,,1.45,144.46,3.201924408,83,1,1,85,272,,,3,3,10,88,282
Rum,hhds,3.19,,5.25,144.46,11.59317458,30,1,,31,359,16,9,,25,290,56,649
Salt,bushels,1.85,,0.05,144.46,0.064031566,,,800,800,51,,300,150,450,29,1250,80
Sugar,tierces,36.35,,0.480803571,144.46,12.09830391,1,,,1,12,,5,,5,60,6,72
Sugar,barrels,36.35,,0.175,144.46,4.403468088,86,2,,88,388,,,2,2,9,90,397
Sugar,hhds,36.35,,0.583035714,144.46,14.67073807,,15,,15,220,,8,,8,117,23,337
Wine,barrels,20.5,,0.25,144.46,3.547694864,,,,0,0,8,,,8,28,8,28
,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,1466,,,,,677,,2143
