Good,Unit,Price,Price,Conv,Exch,Price,Anguilla,Antigua,Barbadoes,St. Christophers,Virgin Islands,WI,,Bermuda,Boston,Philadelphia,Salem,NA,,Africa,AFR,,Isle of May,Madeira,SEU,,TOTAL,
,,1754,,,,Sterling,,,,,,Quantity,Value,,,,,Quantity,Value,,Quantity,Value,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bar iron,tons,23,,1,168.35,13.66201366,,,,,,0,0,,,1,,1,14,,0,0,,,0,0,1,14
Cheese,barrels,,,,168.35,0,,,,,,0,0,,,1,,1,0,,0,0,,,0,0,1,0
Cheese,pounds,,,,168.35,0,,,,,,0,0,,500,,1620,2120,0,,0,0,,,0,0,2120,0
Chocolate,boxes,,,,168.35,0,,,,,,0,0,,,2,,2,0,,0,0,,,0,0,2,0
Coffee,pounds,,,,168.35,0,,,,,,0,0,,,,50,50,0,,0,0,,,0,0,50,0
Coffee,bags,,,,168.35,0,,,,,,0,0,,,3,,3,0,,0,0,,,0,0,3,0
Cotton,pockets,1.58,,6,168.35,5.631125631,,,,1,,1,6,,,,,0,0,,0,0,,,0,0,1,6
Flour,barrels,14.11,,0.089285714,168.35,0.748334677,,,,,,0,0,,,18,,18,13,,0,0,,,0,0,18,13
Ginger,pounds,,,,168.35,0,,,,,,0,0,,100,,,100,0,,0,0,,,0,0,100,0
Loaf sugar,barrels,1.06,,6.25,168.35,3.935253935,,,,,,0,0,,2,,,2,8,,0,0,,,0,0,2,8
Molasses,casks,2,,3.05,168.35,3.623403623,,,,,8,8,29,,,,,0,0,,0,0,,,0,0,8,29
Molasses,tierces,2,,3.05,168.35,3.623403623,,,,,,0,0,,2,,,2,7,,0,0,,,0,0,2,7
Molasses,hhds,2,,5.05,168.35,5.999405999,,5,,,,5,30,1,12,,4,17,102,,0,0,,,0,0,22,132
Negroes,,33.1,,1,100,33.1,,,,,,0,0,4,,,,4,132,240,240,7944,,,0,0,244,8076
Rum,hhds,3.22,,5.25,168.35,10.04158004,,44,226,,,270,2711,,12,23,8,43,432,,0,0,,,0,0,313,3143
Rum,gallons,3.22,,0.05,168.35,0.095634096,,,,1440,300,1740,166,,350,,,350,33,,0,0,,,0,0,2090,199
Rum,barrels,3.22,,1.45,168.35,2.773388773,,2,2,,,4,11,,,,18,18,50,,0,0,,,0,0,22,61
Rum,tierces,3.22,,3,168.35,5.738045738,,,1,,,1,6,,,1,,1,6,,0,0,,,0,0,2,12
Salt,bushels,1.55,,0.05,168.35,0.046035046,1500,,8000,,500,10000,460,1200,,,,1200,55,,0,0,9500,,9500,437,20700,952
Salt,hhds,1.55,,0.35,168.35,0.322245322,,,,,,0,0,,31,,162,193,62,,0,0,,,0,0,193,62
Sugar,barrels,50.85,,0.15,168.35,4.530739531,,,305,1,8,314,1423,1,6,11,3,21,95,,0,0,,,0,0,335,1518
Sugar,hhds,50.85,,0.609375,168.35,18.40612934,,1,21,1,,23,423,,,,,0,0,,0,0,,,0,0,23,423
Sugar,tierces,50.85,,0.466964286,168.35,14.10462366,,1,4,,,5,71,,,,,0,0,,0,0,,,0,0,5,71
Virginia currency,pounds,1,,1,127.55,0.784006272,,,80,,140,220,172,100,,,,100,78,,0,0,,,0,0,320,250
Wine,hhds,28.96,,0.5,168.35,8.601128601,,,,,,0,0,,,,,0,0,,0,0,,1,1,9,1,9
Wine,pipes,28.96,,1,168.35,17.2022572,,,3,,,3,52,,,,,0,0,,0,0,,19,19,327,22,379
Wine,quarter casks,28.96,,0.25,168.35,4.300564301,,,,,,0,0,,,4,,4,17,,0,0,,,0,0,4,17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PRE REGION,,,,,,,,,,,,,5560,,,,,,1104,,,7944,,,,773,,15381
