Good,Unit,Price,Price,Conv,Exch,Price,Barbadoes,Jamaica,WI,,Bermuda,Boston,Rhode Island,South Carolina,NA,,Guinea,AFR,,Isle of May,SEU,,TOTAL,
,,1738,,,,Sterling,,,Quantity,Value,,,,,Quantity,Value,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Cash,pounds,1,,1,123.75,0.808080808,,,0,0,,,,,0,0,,0,0,200,200,162,200,162
Cheese,pounds,,,,160.42,0,,,0,0,,,1000,,1000,0,,0,0,,0,0,1000,0
Linen,casks,,,,160.42,0,,,0,0,,1,,,1,0,,0,0,,0,0,1,0
Linen,bales,,,,160.42,0,,,0,0,,1,,,1,0,,0,0,,0,0,1,0
Negroes,,26.64,,1,100,26.64,1,,1,27,,,,7,7,186,180,180,4795,,0,0,188,5008
Rum,puncheons,2.29,,5.25,160.42,7.494389727,,8,8,60,,,,,0,0,,0,0,,0,0,8,60
Rum,tierces,2.29,,3,160.42,4.282508415,6,,6,26,,,,1,1,4,,0,0,,0,0,7,30
Rum,gallons,2.29,,0.05,160.42,0.07137514,,,0,0,300,,,,300,21,,0,0,,0,0,300,21
Rum,hhds,2.29,,5.25,160.42,7.494389727,69,,69,517,,,1,3,4,30,,0,0,,0,0,73,547
Rum,barrels,2.29,,1.45,160.42,2.069879067,8,,8,17,,,,,0,0,,0,0,,0,0,8,17
Salt,bushels,1.77,,0.05,160.42,0.055167685,,,0,0,600,,,,600,33,,0,0,8000,8000,441,8600,474
Salt,hhds,1.77,,,160.42,0,,,0,0,,,2,,2,0,,0,0,,0,0,2,0
Sugar,barrels,38.98,,0.15,160.42,3.644807381,14,,14,51,4,,,,4,15,,0,0,,0,0,18,66
Sugar,hhds,38.98,,0.596428571,160.42,14.49244839,,7,7,101,,,,,0,0,,0,0,,0,0,7,101
,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,799,,,,,,289,,,4795,,,603,,6486
