Good,Unit,Price,Price,Conv,Exch,Price,Anguilla,Antigua,Barbadoes,Jamaica,Montserrat,Spanish Town,St. Christophers,WI,,Turks Island,Bermuda,Boston,New London,North Carolina,Philadelphia,Piscataqua,Rhode Island,NA,,Madeira,SEU,,TOTAL,
,,1737,,,,Sterling,,,,,,,,Quantity,Value,,,,,,,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beef,barrels,36.06,,0.05,170.25,1.059030837,,,,,,,,0,0,,,,30,,,,,30,32,,0,0,30,32
Bread,barrels,15.21,,0.089285714,170.25,0.797671492,,,,,,,,0,0,,,,,,55,,,55,44,,0,0,55,44
Bread,casks,15.21,,0.089285714,170.25,0.797671492,,,,,,,,0,0,,,,,,53,,,53,42,,0,0,53,42
Bread,pounds,15.21,,0.000446429,170.25,0.003988357,,,,,,,,0,0,,1000,,,,,,,1000,4,,0,0,1000,4
Cheese,,,,,170.25,0,,,,,,,,0,0,,,,1000,,,,,1000,0,,0,0,1000,0
Cheese,pounds,,,,170.25,0,,,,,,,,0,0,,,,,,,,300,300,0,,0,0,300,0
Cotton,pounds,1.17,,0.05,170.25,0.034361233,400,1250,1200,848,,1000,375,5073,174,,1000,,,,,,,1000,34,,0,0,6073,208
Flour,casks,36.06,,0.089285714,170.25,1.891126495,,,,,,,,0,0,,,,,,81,,,81,153,,0,0,81,153
Furs,bundles,,,,170.25,0,,,,,,,,0,0,,,,,,,,,0,0,,0,0,0,0
Ginger,bags,,,,170.25,0,,15,,4,,,,19,0,,,,,,,,,0,0,,0,0,19,0
Indigo,pounds,7.77,,0.05,170.25,0.228193833,,,,,,,397,397,91,,100,,,,,,,100,23,,0,0,497,114
Iron,pounds,,,0.000446429,170.25,0,,,,,,,,0,0,,,,,,,500,200,700,0,,0,0,700,0
Molasses,gallons,1.58,,0.05,170.25,0.046402349,1200,1500,1070,27860,400,700,16100,48830,2266,,5670,1646,,,280,315,2920,10831,503,,0,0,59661,2769
Negroes,,18.5,,1,100,18.5,3,8,8,9,2,,38,68,1258,,12,,,,,,,12,222,,0,0,80,1480
Pimento,bags,,,,170.25,0,,,,7,,,,7,0,,,,,,,,,0,0,,0,0,7,0
Pimento,pounds,,,,170.25,0,,,,100,,,,100,0,,100,,,,,,,100,0,,0,0,200,0
Pimento,barrels,,,,170.25,0,,,,1,,,,1,0,,,,,,,,,0,0,,0,0,1,0
Pitch/tar,barrels,9.705,,0.05,170.25,0.285022026,,,,,,,,0,0,,,,,116,,,,116,33,,0,0,116,33
Rum,gallons,2.65,,0.05,170.25,0.077826725,1070,7410,83290,6083,900,180,8280,107213,8344,120,2680,4960,,,,719,740,9219,717,,0,0,116432,9061
Salt,bushels,1.73,,0.05,170.25,0.050807636,6300,2200,1928,,,1400,7100,18928,962,1500,8000,345,,,500,220,,10565,537,,0,0,29493,1499
Sugar,loaves,1.56,,,170.25,0,,,,,,10,,10,0,,,,,,,,,0,0,,0,0,10,0
Sugar,pounds,35.64,,0.000446429,170.25,0.0093455,4500,9500,77270,45600,1800,,14650,153320,1433,,12700,2700,,,4150,500,600,20650,193,,0,0,173970,1626
Wine,pipes,20.88,,1,170.25,12.26431718,,,2,,,,,2,25,,,,,,,,,0,0,90,90,1104,92,1129
Wine,quarter casks,20.88,,0.25,170.25,3.066079295,,,,,,,,0,0,,,,,,,,,0,0,7,7,21,7,21
Wine,gallons,20.88,,0.007936508,170.25,0.097335851,,,,,,32,,32,3,,,,,,,,,0,0,,0,0,32,3
Wine,hhds,20.88,,0.5,170.25,6.13215859,,,,,,,,0,0,,,,,,,,,0,0,4,4,25,4,25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,,,,14556,,,,,,,,,,2537,,,1150,,18243
