Good,Unit,Price,Price,Conv,Exch,Price,Anguilla,Antigua,Barbadoes,Jamaica,Montserrat,WI,,Turks Island,Bermuda,Boston,New Hampshire,Philadelphia,Providence,NA,,Liverpool,GB,,Madeira,SEU,,TOTAL,
,,1730,,,,Sterling,,,,,,Quantity,Value,,,,,,,Quantity,Value,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chocolate,pounds,,,,152.03,0,,,,,,0,0,,,28,,,,28,0,,0,0,,0,0,28,0
Coffee,pounds,,,,152.03,0,,,,,,0,0,,,40,,,,40,0,,0,0,,0,0,40,0
Cotton,bags,,,6,152.03,0,2,8,21,,,31,0,,4,,,1,,5,0,,0,0,,0,0,36,0
Ginger,bags,,,,152.03,0,,7,1,,,8,0,,,,,,,0,0,,0,0,,0,0,8,0
Molasses,casks,1.54,,1.45,152.03,1.468789055,,,,,,0,0,,,7,3,,,10,15,,0,0,,0,0,10,15
Molasses,gallons,1.54,,0.05,152.03,0.050647898,1400,2320,9150,18040,,30910,1566,,2690,4370,,2500,,9560,484,,0,0,,0,0,40470,2050
Molasses,barrels,1.54,,1.45,152.03,1.468789055,,2,,,,2,3,,,,,,,0,0,,0,0,,0,0,2,3
Molasses,tierces,1.54,,3.05,152.03,3.089521805,,25,,,,25,77,,,,,,,0,0,,0,0,,0,0,25,77
Molasses,hhds,1.54,,5.05,152.03,5.115437743,,19,,,,19,97,,,6,,,,6,31,,0,0,,0,0,25,128
Rum,gallons,2.51,,0.05,152.03,0.082549497,350,3977,76464.5,340,109,81240.5,6706,,2472,7934,692,,,11098,916,,0,0,,0,0,92338.5,7622
Salt,bushels,3.09,,0.05,152.03,0.101624679,500,,3150,500,,4150,422,700,2880,1060,400,,1300,6340,644,,0,0,,0,0,10490,1066
Salt,casks,3.09,,0.175,152.03,0.355686378,,,,,,0,0,,,7,,,,7,2,,0,0,,0,0,7,2
Sugar,barrels,32.13,,0.175,152.03,3.698447675,18,89,729,,,836,3092,,19,14,1,3,,37,137,,0,0,,0,0,873,3229
Sugar,hhds,32.13,,0.583035714,152.03,12.32186904,,1,1,4,,6,74,,,,,3,,3,37,,0,0,,0,0,9,111
Wine,pipes,20.5,,1,152.03,13.48418075,,,,,,0,0,,,,,,,0,0,25,25,337,38,38,512,63,849
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,,12037,,,,,,,,2266,,,337,,,512,,15152
