Good,Unit,Price,Price,Conv,Exch,Price,Anguilla,Antigua,Barbadoes,Jamaica,Montserrat,Spanish Town,St. Kitts,St. Martins,WI,,Turks Island,Bermuda,Boston,New England,New York,North Carolina,Philadelphia,Providence,Rhode Island,South Carolina,NA,,Whitehaven,GB,,Isle of May,Madeira,SEU,,TOTAL,
,,1750,,,,Sterling,,,,,,,,,Quantity,Value,,,,,,,,,,,Quantity,Value,,Quantity,Value,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biscuit,pounds,15.23,,0.000446429,170.6,0.003985409,,,,,,,,,0,0,,,,,500,,,,,,500,2,,0,0,,,0,0,500,2
Biscuit,kegs,15.23,,0.044642857,170.6,0.398540864,,,,,,,,,0,0,,,,,,,44,,,,44,18,,0,0,,,0,0,44,18
Bread,kegs,23.82,,0.044642857,170.6,0.623325239,,,,,,,,,0,0,,,,,,,30,,,,30,19,,0,0,,,0,0,30,19
Bread,barrels,23.82,,0.089285714,170.6,1.246650477,,,,,,,,,0,0,,,,,,,29,,,,29,36,,0,0,,,0,0,29,36
Cheese,pounds,,,,170.6,0,,,,,,,,,0,0,,,,,,,,,3000,,3000,0,,0,0,,,0,0,3000,0
Chocolate,boxes,,,,170.6,0,,,,,,,,,0,0,,,,,9,,4,,,,13,0,,0,0,,,0,0,13,0
Coffee,barrels,,,,170.6,0,,,,,,,,,0,0,,,,,,,4,,,,4,0,,0,0,,,0,0,4,0
Cotton,bags,1.89,,6,170.6,6.647127784,,,,,,,1,,1,7,,,,,,,,,,,0,0,,0,0,,,0,0,1,7
Cotton,pounds,1.89,,0.05,170.6,0.055392732,,,91,,,,,,91,5,,,,,,,,,,,0,0,,0,0,,,0,0,91,5
Flour,barrels,13.1,,0.089285714,170.6,0.685605426,,,,,,,,,0,0,,,,,,,111,,,,111,76,,0,0,,,0,0,111,76
Flour and biscuit,tons,14.165,,1,170.6,8.303048066,,,,,,,,,0,0,,,,,13,,,,,,13,108,,0,0,,,0,0,13,108
Ginger,barrels,,,,170.6,0,,,2,,,,,,2,0,,,,,,,,,,,0,0,,0,0,,,0,0,2,0
Ginger,boxes,,,,170.6,0,,,3,,,,,,3,0,,,,,,,,,,,0,0,,0,0,,,0,0,3,0
Indigo,pounds,7.78,,0.05,170.6,0.228018757,,,,,,,,,0,0,,63,,,,,,,,,63,14,,0,0,,,0,0,63,14
