Good,Unit,Price,Price,Conv,Exch,Price,Antigua,WI,,Bermuda,Philadelphia,NA,,London,Whitehaven,Ayr,Glasgow,Leith,GB,,TOTAL,
,,1756,,,,Sterling,,Quantity,Value,,,Quantity,Value,,,,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Beef,barrels,48.96,,0.05,172.57,1.418554789,46,46,65,,,0,0,,,,,,0,0,46,65
Corn,bushels,2.5,,0.05,172.57,0.072434374,2700,2700,196,1000,,1000,72,,,,,,0,0,3700,268
Flour,barrels,12.76,,0.089285714,172.57,0.660187584,44,44,29,,,0,0,,,,,,0,0,44,29
Heading,,3.54,,0.001,172.57,0.002051341,,0,0,,,0,0,,300,,,,300,1,300,1
Hoops,,,,,172.57,0,1992,1992,0,,,0,0,,,,,,0,0,1992,0
Iron,bars,7.58,,,172.57,0,,0,0,,,0,0,,150,,,,150,0,150,0
Logs (walnut),,,,,172.57,0,,0,0,,,0,0,,246,,,,246,0,246,0
Pig iron,tons,7.58,,1,172.57,4.392420467,,0,0,,,0,0,30,30,,,,60,264,60,264
Plank,feet,0.088888889,,0.0005,172.57,2.57544E-05,,0,0,,,0,0,500,529,225,,,1254,0,1254,0
Pork,barrels,61.42,,0.05,172.57,1.779567712,75,75,133,,,0,0,,,,,,0,0,75,133
Rum,hhds,2.84,,5.25,172.57,8.639972185,,0,0,,2,2,17,,,,,,0,0,2,17
Shingles,,,,,172.57,0,2800,2800,0,,,0,0,,,,,,0,0,2800,0
Staves,,3.54,,0.001,172.57,0.002051341,2600,2600,5,,,0,0,2000,5800,3000,,13400,24200,50,26800,55
Tobacco,hhds,15.88,,0.5525,172.57,5.084139769,,0,0,,,0,0,454,778,508,100,274,2114,10748,2114,10748
Wax,pounds,,,,172.57,0,,0,0,,100,100,0,,,,,,0,0,100,0
Wheat,bushels,4.34,,0.05,172.57,0.125746074,,0,0,,900,900,113,,,,,,0,0,900,113
Wine,quarter casks,29.56,,0.25,172.57,4.282320218,,0,0,,2,2,9,,,,,,0,0,2,9
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,428,,,,211,,,,,,,11063,,11702
