Good,Unit,Price,Price,Conv,Exch,Price,Barbadoes,WI,,Boston,New England,New York,NA,,London,Bristol,Liverpool,Whitehaven,Ayr,Dumfries,Glasgow,Leith,GB,,TOTAL,
,,1762,,,,Sterling,,Quantity,Value,,,,Quantity,Value,,,,,,,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Corn,bushels,3.48,,0.05,176.26,0.098717803,,0,0,5062,4800,,9862,974,,,,,,,,,0,0,9862,974
Heading,,8.89,,0.001,176.26,0.005043685,1350,1350,7,,,,0,0,,,,,200,,500,,700,4,2050,11
Hoops,,,,,176.26,0,5340,5340,0,,,,0,0,,,,,1560,,986,,2546,0,7886,0
Pig iron,tons,11.46,,1,176.26,6.501758765,,0,0,,,,0,0,55,,,52,,,,25,132,858,132,858
Plank,feet,14.224,,0.0005,176.26,0.004034948,,0,0,,500,,500,2,,,2000,,,,,,2000,8,2500,10
Planks,,14.224,,0.005,176.26,0.040349484,,0,0,,,,0,0,,,,,80,,,,80,3,80,3
Pork,pounds,85.63,,0.00025,176.26,0.01214541,,0,0,,300,,300,4,,,,,,,,,0,0,300,4
Staves,,8.89,,0.001,176.26,0.005043685,25510,25510,129,,,,0,0,16000,9000,,35100,8470,11000,115124,6000,200694,1012,226204,1141
Tar,barrels,10.04,,0.05,176.26,0.284806536,,0,0,,,,0,0,,,,,,319,,,319,91,319,91
Tobacco,hhds,21.42,,0.5635,176.26,6.847934869,6,6,41,,,,0,0,571,396,143,1950,1498,211,2865,128,7762,53154,7768,53195
Wheat,bushels,5.66,,0.05,176.26,0.160558266,,0,0,,140,465,605,97,,,,,,,,,0,0,605,97
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,177,,,,,1077,,,,,,,,,,55130,,56384
