Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,St. Christophers,WI,,Bermuda,New England,Philadelphia,NA,,London,Liverpool,Whitehaven,Ayr,Glasgow,GB,,Cork,IRE,,Lisbon,SEU,,TOTAL,
,,1766,,,,Sterling,,,,Quantity,Price,,,,Quantity,Price,,,,,,Quantity,Value,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bar iron,tons,25.75,,1,162.96,15.80142366,,2.5,,2.5,40,,,,0,0,,,,8,26,34,537,,0,0,,0,0,36.5,577
Bar iron,pounds,25.75,,0.000446429,162.96,0.007054207,,,,0,0,,,,0,0,,,,,46,46,0,,0,0,,0,0,46,0
Bar iron,quarters,25.75,,0.0125,162.96,0.197517796,,,,0,0,,,,0,0,,,,,2,2,0,,0,0,,0,0,2,0
Beans,bushels,3.29,,0.05,162.96,0.100945017,,24,14,38,4,,101,,101,10,,,,,,0,0,,0,0,,0,0,139,14
Bread,barrels,24.54,,0.089285714,162.96,1.34454555,48,155,127,330,444,,,,0,0,,,,,,0,0,,0,0,,0,0,330,444
Corn,bushels,3.29,,0.05,162.96,0.100945017,,4051,1586,5637,569,1500,3570,436.5,5506.5,556,,,,,,0,0,,0,0,2862,2862,289,14005.5,1414
Flaxseed,barrels,5.17,,,162.96,0,,,,0,0,,,,0,0,,,,,,0,0,1,1,0,,0,0,1,0
Flaxseed,tierces,5.17,,,162.96,0,,,,0,0,,,,0,0,,,,,,0,0,2,2,0,,0,0,2,0
Flaxseed,hhds,5.17,,,162.96,0,,,,0,0,,,,0,0,,,,,,0,0,54,54,0,,0,0,54,0
Flour,barrels,14.81,,0.089285714,162.96,0.811439266,490,288,776,1554,1261,,,97,97,79,,54,,56,409,519,421,138,138,112,1437,1437,1166,3745,3039
Handspikes,,,,,162.96,0,,,,0,0,,,,0,0,84,,,,,84,0,,0,0,,0,0,84,0
Heading,,,,,162.96,0,,,1800,1800,0,,,,0,0,,,,580,540,1120,0,,0,0,400,400,0,3320,0
Hemp,hhds,5.71,,,162.96,0,,,,0,0,,,,0,0,,1,,,,1,0,,0,0,,0,0,1,0
Hoops,,,,,162.96,0,,8866,6000,14866,0,,,,0,0,,,,648,2064,2712,0,,0,0,,0,0,17578,0
Logs (walnut),feet,,,,162.96,0,,,,0,0,,,,0,0,,608,100,,,708,0,,0,0,,0,0,708,0
Logs (walnut),,,,,162.96,0,,,,0,0,,,,0,0,,10,,,,10,0,,0,0,,0,0,10,0
Peas,bushels,3.29,,0.05,162.96,0.100945017,14,,72,86,9,,,72,72,7,,,,,,0,0,,0,0,,0,0,158,16
Pig iron,tons,8.59,,1,162.96,5.271232204,,,,0,0,,,,0,0,63,64,8,,184,319,1682,,0,0,,0,0,319,1682
Plank,feet,10.496,,0.0005,162.96,0.003220422,,7992,1928,9920,32,,,,0,0,,3306,200,,7237,10743,35,,0,0,,0,0,20663,67
Planks,,10.496,,0.005,162.96,0.032204222,,,,0,0,,,,0,0,26,90,,,,116,4,,0,0,,0,0,116,4
Pork,pounds,76.88,,0.00025,162.96,0.011794305,,,,0,0,3000,2500,,5500,65,,,,,,0,0,,0,0,,0,0,5500,65
Rum,hhds,3.02,,5.25,162.96,9.729381443,,,,0,0,,,,0,0,,,,,1,1,10,,0,0,,0,0,1,10
Shingles,,,,,162.96,0,29700,37180,5500,72380,0,,,,0,0,,,,,,0,0,,0,0,1000,1000,0,73380,0
Staves,,6.56,,0.001,162.96,0.004025528,,,,0,0,,,,0,0,,,,,24000,24000,97,,0,0,,0,0,24000,97
Staves (barrels),,67.61,,0.00005,162.96,0.002074435,800,,1000,1800,4,,,,0,0,16259,12796,6660,8274,126450,170439,354,,0,0,1200,1200,2,173439,360
Staves (hhds),,6.56,,0.001,162.96,0.004025528,,2000,13000,15000,60,,,,0,0,12076,7368,,1360,8760,29564,119,,0,0,11000,11000,44,55564,223
Staves (pipes),,9.31,,0.001,162.96,0.005713058,,,,0,0,,,,0,0,6243,1249,,,,7492,43,,0,0,6630,6630,38,14122,81
Tobacco,hhds,20.42,,0.552,162.96,6.916936672,,,,0,0,,,,0,0,1115,472,263,642,4400,6892,47672,,0,0,,0,0,6892,47672
Wheat,bushels,5.73,,0.05,162.96,0.175810015,,,,0,0,,310,340.5,650.5,114,,,,,,0,0,,0,0,,0,0,650.5,114
Wine,quarter casks,48.92,,0.25,162.96,7.50490918,,,,0,0,,,,0,0,,,,,1,1,8,,0,0,,0,0,1,8
Wine,casks,48.92,,0.25,162.96,7.50490918,,,,0,0,,,,0,0,3,,,,,3,23,,0,0,,0,0,3,23
Wine,hhds,48.92,,1,162.96,30.01963672,,,,0,0,,,,0,0,,,,,1,1,30,,0,0,,0,0,1,30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,2423,,,,,831,,,,,,,51035,,,112,,,1539,,55940
