Good,Unit,Price,Price,Conv,Exch,Price,Boston,Nantucket,NA,,London,Bideford,Liverpool,Lyme Regis,Whitehaven,Ayr,Dumfries,Glasgow,GB,,TOTAL,
,,1742,,,,Sterling,,,Quantity,Value,,,,,,,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Beans,bushels,2.69,,0.05,159.38,0.084389509,230,100,330,28,,,,,,,,,0,0,330,28
Corn,bushels,2.69,,0.05,159.38,0.084389509,4200,2600,6800,574,,,,,,,,,0,0,6800,574
Deer Skins,hhds,,,,159.38,0,,,0,0,1,,,,,,,,1,0,1,0
Deer Skins,,,,,159.38,0,15,,15,0,,,,,,,,,0,0,15,0
Hoops,,,,,159.38,0,,,0,0,,,,,,,,300,300,0,300,0
Pig iron,tons,9.17,,1,159.38,5.753544987,,,0,0,80,,,30,,,,,110,633,110,633
Plank,feet,5.888,,0.0005,159.38,0.001847158,,,0,0,,,500,230,450,500,700,1300,3680,7,3680,7
Staves,,3.68,,0.001,159.38,0.002308947,,,0,0,7500,4500,10256,4200,18500,4200,15000,39400,103556,239,103556,239
Tobacco,hhds,17.65,,0.4745,159.38,5.254690049,,,0,0,603,224,45,113,1429,716,638,1566,5334,28029,5334,28029
Tobacco,barrels,17.65,,0.23725,159.38,2.627345024,,,0,0,,,,,17,,,,17,45,17,45
Wheat,bushels,3.58,,0.05,159.38,0.112310202,42,15,57,6,,,,,,,,,0,0,57,6
Wine,pipes,24.35,,1,159.38,15.27795206,,,0,0,,1,,,,,,,1,15,1,15
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,608,,,,,,,,,,28968,,29576
