Good,Unit,Price,Price,Conv,Exch,Price,Salem,NA,,London,Bideford,Liverpool,Lyme,Whitehaven,Ayr,Dumfries,Glasgow,GB,,Madeira,SEU,,TOTAL,
,,1738,,,,Sterlilng,,Quantity,Value,,,,,,,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Beans,bushels,2.1,,0.05,160.42,0.065453185,,0,0,,,,,,,,,0,0,75.5,75.5,5,75.5,5
Deer Skins,,,,,160.42,0,338,338,0,818,,,,,,,,818,0,,0,0,1156,0
Logs (walnut),,,,,160.42,0,,0,0,8,,,,,9,,,17,0,,0,0,17,0
Peas,bushels,2.1,,0.05,160.42,0.065453185,25,25,2,,,,,,,,,0,0,5.5,5.5,0,30.5,2
Pig iron,tons,10,,1,160.42,6.233636704,,0,0,45,,16,,,,,,61,380,,0,0,61,380
Plank,feet,5.456,,0.0005,160.42,0.001700536,600,600,1,,,200,380,60,,252,247,1139,2,,0,0,1739,3
Pork,pounds,59.58,,0.00025,160.42,0.009285002,155,155,1,,,,,,,,,0,0,,0,0,155,1
Pork,hhds,59.58,,0.1,160.42,3.714000748,8,8,30,,,,,,,,,0,0,,0,0,8,30
Staves,,3.41,,0.001,160.42,0.00212567,2000,2000,4,8800,4000,6000,1000,,4750,2000,7500,34050,72,600,600,1,36650,77
Tobacco,hhds,17,,0.445,160.42,4.715746166,,0,0,414,133,224,74,277,240,223,281,1866,8800,,0,0,1866,8800
Wheat,bushels,3.48,,0.05,160.42,0.108465279,339,339,37,,,,,,,,,0,0,2418,2418,262,2757,299
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,75,,,,,,,,,,9254,,,268,,9597
