Good,Unit,Price,Price,Conv,Exch,Price,Barbadoes,WI,,Bermuda,Boston,Cape Ann,New England,Salem,NA,,London,Bideford,Liverpool,Weymouth,Whitehaven,Ayr,Dumfries,Forth William,Glasgow,GB,,Madeira,SEU,,TOTAL,
,,1737,,,,Sterling,,Quantity,Value,,,,,,Quantity,Value,,,,,,,,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beans,bushels,2.08,,0.05,170.25,0.061086637,,0,0,20,,,30,45,95,6,,,,,,,,,,0,0,,0,0,95,6
Corn,bushels,2.08,,0.05,170.25,0.061086637,3122.5,3122.5,191,3400,3100,900,1750,1350,10500,641,,,,,,,,,,0,0,1300,1300,79,14922.5,911
Deer Skins,,,,,170.25,0,,0,0,,16,,6,550,572,0,4829,,,,,,,,,4829,0,,0,0,5401,0
Heading,,3.19,,0.001,170.25,0.001873715,,0,0,,,,,,0,0,,,489,,,,,,,489,1,,0,0,489,1
Logs (walnut),,,,,170.25,0,,0,0,,,,,,0,0,10,,,,,,13,2,,25,0,,0,0,25,0
Peas,bushels,2.08,,0.05,170.25,0.061086637,20,20,1,,80,,,,80,5,,,,,,,,,,0,0,,0,0,100,6
Pig iron,tons,,,1,170.25,0,,0,0,,,,,,0,0,195,,,,,,,,,195,0,,0,0,195,0
Pitch,barrels,10.85,,0.05,170.25,0.318649046,,0,0,,,,,,0,0,,,48,,,,,,,48,15,,0,0,48,15
Plank,feet,5.104,,0.0005,170.25,0.001498972,,0,0,,130,,200,,330,0,100,,2849,300,220,1435,100,3200,,8204,12,,0,0,8534,12
Pork,pounds,54.44,,0.00025,170.25,0.007994126,,0,0,,150,,,,150,1,,,,,,,,,,0,0,,0,0,150,1
Pork,barrels,54.44,,0.05,170.25,1.598825257,,0,0,,1,1,7,12,21,34,,,,,,,,,,0,0,,0,0,21,34
Staves,,3.19,,0.001,170.25,0.001873715,,0,0,,,,,,0,0,29180,2000,2560,7700,5000,6500,2400,4400,10900,70640,132,,0,0,70640,132
Tobacco,tubs,17.41,,0.109125,170.25,1.115927313,,0,0,,,,,,0,0,,,,10,,,1,1,,12,13,,0,0,12,13
Tobacco,hhds,17.41,,0.4365,170.25,4.463709251,,0,0,,,,,,0,0,1512,134,51,288,382,473,368,352,270,3830,17096,,0,0,3830,17096
Turpentine,barrels,12.9,,0.05,170.25,0.378854626,,0,0,,,,,,0,0,,,7,,,,,,,7,3,,0,0,7,3
Wheat,bushels,3.88,,0.05,170.25,0.113950073,,0,0,,72,100,210,40,422,48,,,,,,,,,,0,0,,0,0,422,48
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,192,,,,,,,735,,,,,,,,,,,17272,,,79,,18278
