Good,Unit,Price,Price,Conv,Exch,Price,Antigua,WI,,New England,Salem,NA,,London,Bideford,Bristol,Liverpool,Whitehaven,Ayr,Glasgow,GB,,TOTAL,
,,1761,,,,Sterling,,Quantity,Value,,,Quantity,Value,,,,,,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Beans,bushels,2.42,,0.05,172.71,0.070059638,,0,0,,35,35,2,,,,,,,,0,0,35,2
Bread,barrels,25.18,,0.089285714,172.71,1.301727917,50,50,65,,,0,0,,,,,,,,0,0,50,65
Corn,bushels,2.42,,0.05,172.71,0.070059638,2140,2140,150,1750,1600,3350,235,,,,,,,,0,0,5490,385
Flour,barrels,14.82,,0.089285714,172.71,0.766148043,112,112,86,,,0,0,,,,,,,,0,0,112,86
Hoops,,,,,172.71,0,840,840,0,,,0,0,,,,,,,,0,0,840,0
Peas/beans,bushels,2.42,,0.05,172.71,0.070059638,140,140,10,,,0,0,,,,,,,,0,0,140,10
Pig iron,pounds,11.34,,0.000446429,172.71,0.002931214,,0,0,,,0,0,1500,,,,,,,1500,4,1500,4
Pig iron,tons,11.34,,1,172.71,6.56591975,,0,0,,,0,0,138,,25,,15,,,178,1169,178,1169
Plank,feet,13.648,,0.0005,172.71,0.003951132,905,905,4,,,0,0,,219,,4310,400,,,4929,19,5834,23
Pork,barrels,73.92,,0.05,172.71,2.140003474,,0,0,,4,4,9,,,,,,,,0,0,4,9
Rum,hhds,3.93,,5.25,172.71,11.94632621,,0,0,,,0,0,,,,,,,1,1,12,1,12
Staves,,8.53,,0.001,172.71,0.004938915,,0,0,,,0,0,38000,6000,6550,34600,16500,2400,45650,149700,739,149700,739
Sugar,barrels,49.14,,0.151339286,172.71,4.305953622,,0,0,,,0,0,,,,,,3,,3,13,3,13
Sugar,tierces,49.14,,0.489285714,172.71,13.92131318,,0,0,,,0,0,,,,,,1,,1,14,1,14
Tobacco,hhds,21.52,,0.5665,172.71,7.058699554,6,6,42,,,0,0,1341,202,267,233,1055,819,1718,5635,39776,5641,39818
Wheat,bushels,5.03,,0.05,172.71,0.145619825,,0,0,,12,12,2,,,,,,,,0,0,12,2
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,357,,,,248,,,,,,,,,41746,,42351
