Good,Unit,Price,Price,Conv,Exch,Price,Barbadoes,WI,,Bermuda,Boston,New England,North Carolina,NA,,London,Bideford,Liverpool,Lyme,Weymouth,Whitehaven,Ayr,Glasgow,Leith,GB,,Dublin,IRE,,TOTAL,
,,1733,,,,Sterling,,Quantity,Value,,,,,Quantity,Value,,,,,,,,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beans,bushels,2.1,,0.05,166.94,0.062896849,,0,0,,,280,,280,18,,,,,,,,,,0,0,,0,0,280,18
Corn,bushels,2.1,,0.05,166.94,0.062896849,490,490,31,1300,1300,1500,250,4350,274,,,,,,,,,,0,0,,0,0,4840,305
Deer Skins,,,,,166.94,0,,0,0,,618,12,,630,0,2659,,,,,,,,,0,0,,0,0,630,0
Iron,tons,,,1,166.94,0,,0,0,,,,,0,0,213,,,,,14,,,,14,0,,0,0,14,0
Pitch,barrels,17.17,,0.05,166.94,0.514256619,,0,0,,,,,0,0,,,,,,10,,,,10,5,,0,0,10,5
Plank,pieces,3.6,,0.005,166.94,0.010782317,,0,0,,,,,0,0,42,,,,,,,,,0,0,,0,0,0,0
Plank,feet,3.6,,0.0005,166.94,0.001078232,,0,0,,,100,,100,0,2500,400,,180,2740,730,700,500,70,5320,6,15050,15050,16,20470,22
Pork,pounds,47.54,,0.00025,166.94,0.007119324,,0,0,,,5000,,5000,36,,,,,,,,,,0,0,,0,0,5000,36
Pork,hhds,47.54,,0.1,166.94,2.847729723,,0,0,,7,,,7,20,,,,,,,,,,0,0,,0,0,7,20
Rum,gallons,2.3,,0.05,166.94,0.068887025,,0,0,,,45,,45,3,,,,,,,,,,0,0,,0,0,45,3
Staves,,2.25,,0.001,166.94,0.00134779,,0,0,,,,,0,0,76500,7000,,1600,2000,7500,7500,15000,9000,49600,67,11100,11100,15,60700,82
Tobacco,tubs,15.13,,0.101375,166.94,0.918775458,,0,0,,,,,0,0,,,,20,,1,,,,21,19,,0,0,21,19
Tobacco,hhds,15.13,,0.4055,166.94,3.675101833,,0,0,,,,,0,0,1229,340,22,106,209,836,256,230,313,2312,8497,,0,0,2312,8497
Tobacco,barrels,15.13,,0.20275,166.94,1.837550916,,0,0,,,,,0,0,,,,,,8,,,,8,15,,0,0,8,15
Turpentine,barrels,25.2,,0.05,166.94,0.75476219,,0,0,,,,,0,0,,,,,,2,,,,2,2,,0,0,2,2
Wax,casks,,,,166.94,0,,0,0,,,,,0,0,,,18,,,,,,,18,0,,0,0,18,0
Wheat,bushels,3.06,,0.05,166.94,0.091649695,,0,0,,200,130,,330,30,,,,,,,,,,0,0,,0,0,330,30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,31,,,,,,381,,,,,,,,,,,8611,,,31,,9054
