PATU Clearances,,,,,,,,,
SUMMARY,,,,,,,,,
,,,,,,,,,SUM
,WI,NA,GB,IRE,NEU,SEU,AFR,UNK,TOTAL
1725,359,131,55226,0,0,140,0,0,55856
1726,2,394,38798,0,0,0,0,1402,40595
1727,511,547,36977,0,0,0,0,0,38035
1728,1020,700,35156,0,0,0,0,0,36877
1729,1530,854,33335,0,0,0,0,0,35718
1730,2039,1007,31514,0,0,0,0,0,34560
1731,1336,673,31906,0,0,245,0,0,34160
1732,634,339,32298,0,0,490,0,0,33760
1733,330,613,32461,46,0,209,0,0,33659
1734,389,789,33378,0,0,389,0,0,34946
1735,448,966,34295,0,0,570,0,0,36278
1736,361,529,26439,0,0,162,0,0,27491
1737,521,512,45917,0,0,196,0,0,47146
1738,438,270,40105,0,0,111,0,0,40925
1739,232,722,43095,0,0,1264,0,0,45314
1740,214,649,28554,0,0,934,0,0,30350
1741,958,1011,65502,0,0,0,0,0,67470
1742,922,566,43817,0,0,914,0,0,46219
1743,1422,453,24797,0,0,231,0,0,26903
1744,1024,228,25873,0,0,450,0,0,27575
1745,994,119,39079,0,0,256,0,0,40448
1746,943,242,41775,0,0,417,0,0,43376
1747,892,365,44470,0,0,577,0,0,46304
1748,841,488,47166,0,0,738,0,0,49232
1749,790,610,49862,0,0,898,0,0,52160
1750,3833,399,63552,0,0,938,0,0,68722
1751,1791,429,58226,0,0,1813,0,0,62258
1752,3217,635,65426,0,0,1278,0,0,70555
1753,2881,608,70159,0,0,878,0,0,74526
1754,2546,581,74892,0,0,478,0,118,78615
1755,1796,535,57464,0,0,200,0,0,59995
1756,3427,338,43599,0,0,858,0,0,48222
1757,2402,324,57058,0,0,429,0,0,60212
1758,1376,310,70517,0,0,0,0,0,72202
1759,1307,3045,69902,0,0,0,0,0,74255
1760,1239,5781,69287,0,0,0,0,0,76307
1761,1170,8517,68672,329,0,0,0,0,78688
1762,2702,3482,66194,0,0,0,0,0,72378
1763,2225,2253,63319,0,0,617,0,0,68413
1764,1748,1023,60444,0,0,1234,0,1791,66240
1765,3013,2506,64846,0,0,398,0,0,70763
1766,3105,2045,57727,0,0,721,0,0,63598
1767,3197,1584,50608,0,0,1044,0,0,56434
1768,3290,1123,43489,0,0,1367,0,0,49269
1769,4170,3983,28749,0,0,1315,0,0,38217
1770,4354,4166,61258,0,0,1084,0,0,70861
1771,4538,4349,93766,0,0,852,0,0,103505
1772,,,,,,,,,0
1773,,,,,,,,,0
1774,,,,,,,,,0
1775,,,,,,,,,0
