POCO Entrances,,,,,,,,,
SUMMARY,,,,,,,,,
,,,,,,,,,SUM
,WI,NA,GB,IRE,NEU,SEU,AFR,UNK,TOTAL
1725,0,346,0,0,0,0,0,0,346
1726,0,415,0,0,0,0,0,0,415
1727,0,484,0,0,0,0,0,0,484
1728,0,650,0,0,0,0,0,0,650
1729,0,815,0,0,0,0,0,0,815
1730,123,981,0,0,0,0,0,0,1104
1731,295,511,0,0,0,0,0,55,861
1732,96,1366,0,0,0,0,0,0,1462
1733,461,583,0,0,0,0,0,0,1044
1734,19,460,0,0,0,0,0,0,479
1735,25,494,0,0,0,0,0,0,518
1736,30,528,0,0,0,0,0,0,558
1737,36,561,0,0,0,0,0,0,597
1738,42,595,0,0,0,0,0,0,637
1739,47,629,0,0,0,0,0,0,676
1740,53,663,0,0,0,0,0,0,716
1741,59,696,0,0,0,0,0,0,755
1742,64,730,0,0,0,0,0,0,794
1743,70,764,0,0,0,0,0,0,834
1744,76,798,0,0,0,0,0,0,873
1745,81,831,0,0,0,0,0,0,913
1746,87,865,0,0,0,0,0,0,952
1747,81,998,0,0,0,0,0,0,1078
1748,74,1130,0,0,0,0,0,0,1205
1749,68,1263,0,0,0,0,0,0,1331
1750,379,1385,0,0,0,0,0,0,1764
1751,690,1506,0,0,0,0,0,0,2196
1752,1001,1628,0,0,0,0,0,0,2629
1753,840,1386,0,0,0,0,0,0,2226
1754,679,1143,0,0,0,0,0,0,1822
1755,518,901,0,0,0,0,0,0,1419
1756,357,658,0,0,0,0,0,0,1015
1757,196,416,0,0,0,0,0,0,612
1758,343,844,0,0,0,0,0,0,1187
1759,490,1271,0,0,0,0,0,0,1761
1760,174,990,0,0,0,0,0,0,1164
1761,60,2256,0,0,0,1046,0,0,3362
1762,0,7498,0,0,0,0,0,0,7498
1763,354,4586,0,0,0,0,0,0,4940
1764,708,1673,0,0,0,0,0,0,2381
1765,2166,3703,0,0,0,0,0,0,5869
1766,3513,1489,0,0,0,0,0,0,5002
1767,2793,1570,0,0,0,0,0,0,4363
1768,2072,1651,0,0,0,258,0,0,3981
1769,4027,4238,0,0,0,283,0,0,8548
1770,3268,3397,0,0,0,0,0,0,6664
1771,2508,2555,0,0,0,53,0,0,5116
1772,,,,,,,,,0
1773,,,,,,,,,0
1774,,,,,,,,,0
1775,,,,,,,,,0
