Good,Unit,Price,Price,Conv,Exch,Price,Barbadoes,Martinique,WI,,Boston,Falmouth,Nantucket,New York,Newcastle DE,Newport,Portsmouth NE,Quebec,Rhode Island,Salem,NA,,London,Whitehaven,GB,,Cork,IRE,,TOTAL,
,,1762,,,,Sterling,,,Quantity,Value,,,,,,,,,,,Quantity,Value,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beans,bushels,3.48,,0.05,176.26,0.098717803,,,0,0,,,,,,,,,,10,10,1,,,0,0,,0,0,10,1
Beef,barrels,58.04,,0.05,176.26,1.646431408,,8,8,13,,,,,,,,,,,0,0,,,0,0,,0,0,8,13
Bread,barrels,28.88,,0.089285714,176.26,1.462936247,21,33,54,79,131,,,,30,,,,,,161,236,,,0,0,,0,0,215,315
Corn,bushels,3.48,,0.05,176.26,0.098717803,5627,,5627,555,8438,,2800,900,,3000,1000,675,1800,5800,24413,2410,,,0,0,,0,0,30040,2965
Flaxseed,casks,9.34,,,176.26,0,,,0,0,,,,,,,,,,,0,0,,,0,0,1,1,0,1,0
Flour,barrels,16.82,,0.089285714,176.26,0.852028659,103,70,173,147,438,,,,,70,200,350,15,,1073,914,,,0,0,,0,0,1246,1061
Iron,cwt,11.46,,0.05,176.26,0.325087938,,,0,0,,,,,,,,,,,0,0,6,,6,2,,0,0,6,2
Iron,tons,11.46,,1,176.26,6.501758765,3,,3,20,,,,,,,,,,,0,0,41,,41,267,,0,0,44,287
Plank,feet,14.224,,0.0005,176.26,0.004034948,,,0,0,,,,,,,,,,,0,0,400,,400,2,426,426,2,826,4
Pork,barrels,85.63,,0.05,176.26,2.429082038,5,50,55,134,,,,,,4,,,,6,10,24,,,0,0,,0,0,65,158
Staves,,8.89,,0.001,176.26,0.005043685,15600,,15600,79,37140,4950,20000,,5000,,,,,,67090,338,53874,9400,63274,319,130000,130000,656,275964,1392
Tobacco,hhds,21.42,,0.5635,176.26,6.847934869,1,,1,7,,84,,,,,,,,,84,575,1915,355,2270,15545,,0,0,2355,16127
Wheat,bushels,5.66,,0.05,176.26,0.160558266,,600,600,96,17741,,,4830,3000,,,,,620,26191,4205,,,0,0,,0,0,26791,4301
Wine,quarter casks,50.79,,0.25,176.26,7.20384659,,,0,0,3,,,,,,,,,,3,22,,,0,0,,0,0,3,22
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,1130,,,,,,,,,,,,8725,,,,16135,,,658,,26648
