Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Jamaica,WI,,Boston,Charlestown,Nantucket,New York,North Carolina,Philadelphia,Piscataqua,Rhode Island,Salem,NA,,London,Glasgow,GB,,Barcelona,Leghorn,SEU,,TOTAL,
,,1766,,,,Sterling,,,,Quantity,Value,,,,,,,,,,Quantity,Value,,,Quantity,Value,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bar iron,cwt,25.75,,0.05,162.96,0.790071183,,,,0,0,,3,,,,,,,,3,2,,,0,0,,,0,0,3,2
Bar iron,tons,25.75,,1,162.96,15.80142366,,2,,2,32,,,,,3,,,,,3,47,13,,13,205,,,0,0,18,284
Beans,bushels,3.29,,0.05,162.96,0.100945017,,,,0,0,20,,36,,,,20,,,76,8,,,0,0,,,0,0,76,8
Bread,barrels,24.54,,0.089285714,162.96,1.34454555,,104,,104,140,,,20,,,,,,,20,27,,93,93,125,,,0,0,217,292
Corn,bushels,3.29,,0.05,162.96,0.100945017,5211,1700,2300,9211,930,4350,,2000,,,,1800,1600,1470,11220,1133,,,0,0,,,0,0,20431,2063
Flaxseed,bushels,5.17,,0.05,162.96,0.158627884,,,,0,0,,,,,,125,,,,125,20,,,0,0,,,0,0,125,20
Flour,barrels,14.81,,0.089285714,162.96,0.811439266,17,217,,234,190,,,40,,,,,,,40,32,,30,30,24,356,,356,289,660,535
Negroes,,34.74,,1,100,34.74,,,,0,0,,,,,,3,,,,3,104,,,0,0,,,0,0,3,104
Peas,bushels,3.29,,0.05,162.96,0.100945017,,,,0,0,,,7,,,15,,,,22,2,,,0,0,,,0,0,22,2
Pig iron,tons,8.59,,1,162.96,5.271232204,,1,,1,5,,4.5,,,,,,,,4.5,24,90,21,111,585,,,0,0,116.5,614
Plank,feet,10.496,,0.0005,162.96,0.003220422,8344,,,8344,27,,,15,,,,,200,,215,1,,,0,0,,,0,0,8559,28
Planks,,10.496,,0.005,162.96,0.032204222,,31000,,31000,998,,,,,,,,,,0,0,,,0,0,,,0,0,31000,998
Pork,cwt,76.88,,0.028,162.96,1.320962199,,,,0,0,,,1,,,,,,2,3,4,,,0,0,,,0,0,3,4
Pork,barrels,76.88,,0.05,162.96,2.35886107,,35,,35,83,8,,,,,,,,,8,19,,,0,0,,,0,0,43,102
Rye,bushels,3.29,,0.05,162.96,0.100945017,,,,0,0,144,,,,,,,20,52,216,22,,,0,0,,,0,0,216,22
Shingles,,,,,162.96,0,7000,12000,,19000,0,,,,,,,,,,0,0,,,0,0,,,0,0,19000,0
Staves,,6.56,,0.001,162.96,0.004025528,600,51900,,52500,211,42000,,,,,,,,,42000,169,,,0,0,,,0,0,94500,380
Staves and heading,,6.56,,0.001,162.96,0.004025528,10780,,,10780,43,,,4000,,,,,1500,,5500,22,41400,11300,52700,212,3000,,3000,12,71980,289
Tobacco,hhds,20.42,,0.552,162.96,6.916936672,,,,0,0,,,,,,,,,,0,0,1469,346,1815,12554,,,0,0,1815,12554
Tobacco,pounds,20.42,,0.0005,162.96,0.006265341,,21457,,21457,134,2037,,,,,,,,,2037,13,,,0,0,,,0,0,23494,147
Wheat,bushels,5.73,,0.05,162.96,0.175810015,,,,0,0,2300,,,3600,,1050,40,50,95,7135,1254,,,0,0,15066,10442,25508,4485,32643,5739
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,2793,,,,,,,,,,,2903,,,,13705,,,,4786,,24187
