Good,Unit,Price,Price,Conv,Exch,Price,Barbadoes,Jamaica,St. Christophers,WI,,Turks Island,Boston,North Carolina,Philadelphia,Rhode Island,Salem,NA,,London,GB,,Bonny,AFR,,Madeira,SEU,,TOTAL,
,,1730,,,,Sterling,,,,Quantity,Value,,,,,,,Quantity,Value,,Quantity,Value,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beef,barrels,30,,0.05,152.03,0.986647372,,,,0,0,,,14,,,,14,14,,0,0,,0,0,,0,0,14,14
Beeswax,pounds,,,,152.03,0,,14,,14,0,,,54,,,,54,0,,0,0,,0,0,,0,0,68,0
Cotton,bags,,,,152.03,0,1,1,,2,0,,,,,,,0,0,1,1,0,,0,0,,0,0,3,0
Cotton wool,bags,,,,152.03,0,,,1,1,0,,,,,,,0,0,,0,0,,0,0,,0,0,1,0
Deer Skin,pounds,,,,152.03,0,,39,,39,0,,,39,,,,39,0,,0,0,,0,0,,0,0,78,0
Flour,barrels,11.56,,0.089285714,152.03,0.678907359,,,,0,0,,,,80,,,80,54,,0,0,,0,0,,0,0,80,54
Ginger,bags,,,,152.03,0,,3,,3,0,,,,,,,0,0,,0,0,,0,0,,0,0,3,0
Indigo,casks,,,,152.03,0,,1,,1,0,,,,,,,0,0,,0,0,,0,0,,0,0,1,0
Molasses,hhds,1.54,,5.05,152.03,5.115437743,36,27,69,132,675,,10,,,,2.5,12.5,64,,0,0,,0,0,,0,0,144.5,739
Molasses,tierces,1.54,,3.05,152.03,3.089521805,,47,,47,145,17,,,,6,,23,71,,0,0,,0,0,,0,0,70,216
Negroes,,24.91,,1,100,24.91,6,,,6,149,,,,,,,0,0,9,9,224,266,266,6626,,0,0,281,6999
Pimento,bags,,,,152.03,0,,5,,5,0,,,,,,,0,0,,0,0,,0,0,,0,0,5,0
Pimento,casks,,,,152.03,0,,1,,1,0,,,,,,,0,0,,0,0,,0,0,,0,0,1,0
Pitch,barrels,15,,0.05,152.03,0.493323686,,,,0,0,,,17,,,,17,8,,0,0,,0,0,,0,0,17,8
Rice,pounds,,,,152.03,0,,,,0,0,,,2900,,,,2900,0,,0,0,,0,0,,0,0,2900,0
Rum,gallons,2.51,,0.05,152.03,0.082549497,5562,,,5562,459,,,,,,,0,0,,0,0,,0,0,,0,0,5562,459
Rum,barrels,2.51,,1.45,152.03,2.393935407,46,,18,64,153,,54,,,1,1.5,56.5,135,6,6,14,,0,0,,0,0,126.5,302
Rum,hhds,2.51,,5.25,152.03,8.667697165,161,,,161,1395,3,,,,6,3,12,104,22,22,191,,0,0,,0,0,195,1690
Rum,tierces,2.51,,3,152.03,4.952969809,71,7,2,80,396,4,9,,,,,13,64,11,11,54,,0,0,,0,0,104,514
Salt,bushels,3.09,,0.05,152.03,0.101624679,,,,0,0,4400,160,,,,60,4620,470,,0,0,,0,0,,0,0,4620,470
Sugar,pounds,32.13,,0.000446429,152.03,0.009434815,,,,0,0,350,,,,,,350,3,,0,0,,0,0,,0,0,350,3
Sugar,hhds,32.13,,0.583035714,152.03,12.32186904,,23,,23,283,,,,,,,0,0,,0,0,,0,0,,0,0,23,283
Sugar,barrels,32.13,,0.175,152.03,3.698447675,90,18,20,128,473,2,4,,,,1,7,26,19,19,70,,0,0,,0,0,154,569
Sugar,tierces,32.13,,0.480803571,152.03,10.16129629,1,10,38,49,498,,,,,,,0,0,,0,0,,0,0,,0,0,49,498
Tar,barrels,11,,0.05,152.03,0.361770703,,,,0,0,,,3,,,,3,1,,0,0,,0,0,,0,0,3,1
Turpentine,barrels,23.82,,0.05,152.03,0.783398014,,,,0,0,,,251,,,,251,197,,0,0,,0,0,,0,0,251,197
Wine,pipes,20.5,,1,152.03,13.48418075,,4,,4,54,,,,,,,0,0,31.75,31.75,428,,0,0,71.75,71.75,967,107.5,1449
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,4680,,,,,,,,1211,,,981,,,6626,,,967,,14465
