Good,Unit,Price,Price,Conv,Exch,Price,Barbadoes,Jamaica,St. Christophers,WI,,Turks Island,New England,New York,Philadelphia,NA,,Hull,GB,,Dublin,IRE,,Africa,AFR,,Madeira,SEU,,TOTAL,
,,1749,,,,Sterling,,,,Quantity,Value,,,,,Quantity,Value,,Quantity,Value,,Quantitiy,Value,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheese,cwt,,,,171.39,0,,,,0,0,,,3,,3,0,,0,0,,0,0,,0,0,,0,0,3,0
Coffee,kegs,,,,171.39,0,,,,0,0,,,,4,4,0,,0,0,,0,0,,0,0,,0,0,4,0
Coffee,pounds,,,,171.39,0,,,,0,0,,,873,,873,0,,0,0,,0,0,,0,0,,0,0,873,0
Convicts,,9.861818182,,1,100,9.861818182,,,,0,0,,,,,0,0,19,19,187,33,33,325,,0,0,,0,0,52,512
Molasses,hhds,2.08,,5.05,171.39,6.128712294,,,,0,0,,2,,,2,12,,0,0,,0,0,,0,0,,0,0,2,12
Molasses,gallons,2.08,,0.05,171.39,0.06068032,180,,,180,11,,,3550,,3550,215,,0,0,,0,0,,0,0,,0,0,3730,226
Negroes,,27.12,,1,100,27.12,216,,,216,5858,,,,,0,0,,0,0,,0,0,602,602,16326,,0,0,818,22184
Pig iron,tons,8.56,,1,171.39,4.994457086,,,,0,0,,,30,,30,150,,0,0,,0,0,,0,0,,0,0,30,150
Plank,feet,8.4,,0.005,171.39,0.024505514,,,,0,0,,,850,,850,21,,0,0,,0,0,,0,0,,0,0,850,21
Rum,quarter casks,3.77,,0.725,171.39,1.594754653,,,,0,0,,,,,0,0,,0,0,,0,0,,0,0,4,4,6,4,6
Rum,hhds,3.77,,5.25,171.39,11.54822335,,,25,25,289,,,,,0,0,,0,0,,0,0,,0,0,14,14,162,39,451
Rum,gallons,3.77,,0.05,171.39,0.10998308,33438,,,33438,3678,,417,800,,1217,134,,0,0,,0,0,,0,0,,0,0,34655,3812
Salt,bushels,2.345,,0.05,171.39,0.068411226,,1700,,1700,116,4470,2050,,,6520,446,,0,0,,0,0,,0,0,,0,0,8220,562
Sugar,cwt,46.83,,0.05,171.39,1.366182391,430,,,430,587,,,383,90,473,646,,0,0,,0,0,,0,0,,0,0,903,1233
Sugar,pounds,46.83,,0.000446429,171.39,0.012198057,22,,,22,0,,,,,0,0,,0,0,,0,0,,0,0,,0,0,22,0
Sugar,quarters,46.83,,0.0125,171.39,0.341545598,7,,,7,2,,,2,,2,1,,0,0,,0,0,,0,0,,0,0,9,3
Tea,pounds,,,,171.39,0,,,,0,0,,,,200,200,0,,0,0,,0,0,,0,0,,0,0,200,0
Virginia currency,pounds,1,,1,123.75,0.808080808,,135,,135,109,,,,,0,0,,0,0,,0,0,,0,0,,0,0,135,109
Wine,hhds,28.77,,0.5,171.39,8.393138456,6,,,6,50,,,1,,1,8,,0,0,,0,0,,0,0,2,2,17,9,75
Wine,pipes,28.77,,1,171.39,16.78627691,32,,,32,537,,,2,,2,34,,0,0,,0,0,,0,0,334,334,5607,368,6178
Wine,quarter casks,28.77,,0.25,171.39,4.196569228,,,,0,0,,,,,0,0,,0,0,,0,0,,0,0,6,6,25,6,25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,11237,,,,,,1667,,,187,,,325,,,16326,,,5817,,35559
