Good,Unit,Price,Price,Conv,Exch,Price,Antigua,St. Christophers,WI,,Boston,New London,New York,Philadelphia,Piscataway,Rhode Island,NA,,TOTAL,
,,1759,,,,Sterling,,,Quantity,Value,,,,,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Bar iron,pounds,26.5,,0.000446429,153.52,0.007706069,,,0,0,,,,700,,,700,5,700,5
Cash,pounds,1,,1,139.97,0.714438808,,,0,0,75,,71,,,,146,104,146,104
Coffee,bags,,,,153.52,0,,,0,0,,,,1,,,1,0,1,0
Iron,pounds,8.84,,0.000446429,153.52,0.002570628,,,0,0,,,,1000,,500,1500,4,1500,4
Loaf sugar,pounds,1.03,,0.05,153.52,0.033546118,,,0,0,,,,100,,200,300,10,300,10
Loaf sugar,barrels,1.03,,6.25,153.52,4.193264721,,,0,0,1,,2,,,,3,13,3,13
Molasses,tierces,2.87,,3.05,153.52,5.701862949,,,0,0,1,,,,,,1,6,1,6
Molasses,hhds,2.87,,5.05,153.52,9.440789474,,,0,0,,,,1,4,,5,47,5,47
Molasses,gallons,2.87,,0.05,153.52,0.093473163,178,,178,17,1900,200,,600,,4800,7500,701,7678,718
Molasses,casks,2.87,,3.05,153.52,5.701862949,,,0,0,,,,,,1,1,6,1,6
Negroes,,35.61,,1,100,35.61,,10,10,356,,,,,,,0,0,10,356
Plank,feet,7.872,,0.0005,153.52,0.002563835,,,0,0,3000,,,,,,3000,8,3000,8
Rum,barrels,4.99,,1.45,153.52,4.713066701,,,0,0,2,,1,,,,3,14,3,14
Rum,gallons,4.99,,0.05,153.52,0.162519541,718,,718,117,100,150,300,,100,,650,106,1368,223
Salt,hhds,2.265,,0.35,153.52,0.51638223,,,0,0,4,,,,10,20,34,18,34,18
Salt,bushels,2.265,,0.05,153.52,0.07376889,,,0,0,200,100,300,550,,,1150,85,1150,85
Sugar,barrels,45.18,,0.15,153.52,4.414408546,,,0,0,1,,1,7,2,3,14,62,14,62
Sugar,pounds,45.18,,0.000446429,153.52,0.013138121,,,0,0,500,500,,1250,,750,3000,39,3000,39
Sugar,hhds,45.18,,0.632142857,153.52,18.60357887,,,0,0,,,,1,,,1,19,1,19
Wine,quarter casks,45.26,,0.25,153.52,7.370375195,,,0,0,,,1,2,,,3,22,3,22
Wrought iron,pounds,26.5,,0.000446429,153.52,0.007706069,,,0,0,,,300,,,,300,2,300,2
,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,490,,,,,,,,1271,,1761
