,year,origin,origin_lat,origin_long,dest,dest_lat,dest_long,mag
1,1725,NA,37.010304,-75.992569,POCOEN,38.030126,-75.378,346.0
8,1726,NA,37.010304,-75.992569,POCOEN,38.030126,-75.378,415.0
15,1727,NA,37.010304,-75.992569,POCOEN,38.030126,-75.378,484.0
22,1728,NA,37.010304,-75.992569,POCOEN,38.030126,-75.378,650.0
29,1729,NA,37.010304,-75.992569,POCOEN,38.030126,-75.378,815.0
35,1730,WI,18.454682,-66.568537,POCOEN,38.030126,-75.378,123.0
36,1730,NA,37.010304,-75.992569,POCOEN,38.030126,-75.378,981.0
42,1731,WI,18.454682,-66.568537,POCOEN,38.030126,-75.378,295.0
43,1731,NA,37.010304,-75.992569,POCOEN,38.030126,-75.378,511.0
49,1732,WI,18.454682,-66.568537,POCOEN,38.030126,-75.378,96.0
50,1732,NA,37.010304,-75.992569,POCOEN,38.030126,-75.378,1366.0
56,1733,WI,18.454682,-66.568537,POCOEN,38.030126,-75.378,461.0
57,1733,NA,37.010304,-75.992569,POCOEN,38.030126,-75.378,583.0
63,1734,WI,18.454682,-66.568537,POCOEN,38.030126,-75.378,19.0
64,1734,NA,37.010304,-75.992569,POCOEN,38.030126,-75.378,460.0
70,1735,WI,18.454682,-66.568537,POCOEN,38.030126,-75.378,25.0
71,1735,NA,37.010304,-75.992569,POCOEN,38.030126,-75.378,494.0
77,1736,WI,18.454682,-66.568537,POCOEN,38.030126,-75.378,30.0
78,1736,NA,37.010304,-75.992569,POCOEN,38.030126,-75.378,528.0
84,1737,WI,18.454682,-66.568537,POCOEN,38.030126,-75.378,36.0
85,1737,NA,37.010304,-75.992569,POCOEN,38.030126,-75.378,561.0
91,1738,WI,18.454682,-66.568537,POCOEN,38.030126,-75.378,42.0
92,1738,NA,37.010304,-75.992569,POCOEN,38.030126,-75.378,595.0
98,1739,WI,18.454682,-66.568537,POCOEN,38.030126,-75.378,47.0
99,1739,NA,37.010304,-75.992569,POCOEN,38.030126,-75.378,629.0
105,1740,WI,18.454682,-66.568537,POCOEN,38.030126,-75.378,53.0
106,1740,NA,37.010304,-75.992569,POCOEN,38.030126,-75.378,663.0
112,1741,WI,18.454682,-66.568537,POCOEN,38.030126,-75.378,59.0
113,1741,NA,37.010304,-75.992569,POCOEN,38.030126,-75.378,696.0
119,1742,WI,18.454682,-66.568537,POCOEN,38.030126,-75.378,64.0
120,1742,NA,37.010304,-75.992569,POCOEN,38.030126,-75.378,730.0
126,1743,WI,18.454682,-66.568537,POCOEN,38.030126,-75.378,70.0
127,1743,NA,37.010304,-75.992569,POCOEN,38.030126,-75.378,764.0
133,1744,WI,18.454682,-66.568537,POCOEN,38.030126,-75.378,76.0
134,1744,NA,37.010304,-75.992569,POCOEN,38.030126,-75.378,798.0
140,1745,WI,18.454682,-66.568537,POCOEN,38.030126,-75.378,81.0
141,1745,NA,37.010304,-75.992569,POCOEN,38.030126,-75.378,831.0
147,1746,WI,18.454682,-66.568537,POCOEN,38.030126,-75.378,87.0
148,1746,NA,37.010304,-75.992569,POCOEN,38.030126,-75.378,865.0
154,1747,WI,18.454682,-66.568537,POCOEN,38.030126,-75.378,81.0
155,1747,NA,37.010304,-75.992569,POCOEN,38.030126,-75.378,998.0
161,1748,WI,18.454682,-66.568537,POCOEN,38.030126,-75.378,74.0
162,1748,NA,37.010304,-75.992569,POCOEN,38.030126,-75.378,1130.0
168,1749,WI,18.454682,-66.568537,POCOEN,38.030126,-75.378,68.0
169,1749,NA,37.010304,-75.992569,POCOEN,38.030126,-75.378,1263.0
175,1750,WI,18.454682,-66.568537,POCOEN,38.030126,-75.378,379.0
176,1750,NA,37.010304,-75.992569,POCOEN,38.030126,-75.378,1385.0
182,1751,WI,18.454682,-66.568537,POCOEN,38.030126,-75.378,690.0
183,1751,NA,37.010304,-75.992569,POCOEN,38.030126,-75.378,1506.0
189,1752,WI,18.454682,-66.568537,POCOEN,38.030126,-75.378,1001.0
190,1752,NA,37.010304,-75.992569,POCOEN,38.030126,-75.378,1628.0
196,1753,WI,18.454682,-66.568537,POCOEN,38.030126,-75.378,840.0
197,1753,NA,37.010304,-75.992569,POCOEN,38.030126,-75.378,1386.0
203,1754,WI,18.454682,-66.568537,POCOEN,38.030126,-75.378,679.0
204,1754,NA,37.010304,-75.992569,POCOEN,38.030126,-75.378,1143.0
210,1755,WI,18.454682,-66.568537,POCOEN,38.030126,-75.378,518.0
211,1755,NA,37.010304,-75.992569,POCOEN,38.030126,-75.378,901.0
217,1756,WI,18.454682,-66.568537,POCOEN,38.030126,-75.378,357.0
218,1756,NA,37.010304,-75.992569,POCOEN,38.030126,-75.378,658.0
224,1757,WI,18.454682,-66.568537,POCOEN,38.030126,-75.378,196.0
225,1757,NA,37.010304,-75.992569,POCOEN,38.030126,-75.378,416.0
231,1758,WI,18.454682,-66.568537,POCOEN,38.030126,-75.378,343.0
232,1758,NA,37.010304,-75.992569,POCOEN,38.030126,-75.378,844.0
238,1759,WI,18.454682,-66.568537,POCOEN,38.030126,-75.378,490.0
239,1759,NA,37.010304,-75.992569,POCOEN,38.030126,-75.378,1271.0
245,1760,WI,18.454682,-66.568537,POCOEN,38.030126,-75.378,174.0
