Good,Unit,Price,Price,Conv,Exch,Price,Anguilla,Antigua,Barbadoes,Grenadoes,WI,,Boston,Nantucket,New York,Philadelphia,Rhode Island,Salem,NA,,TOTAL,
,,1765,,,,Sterling,,,,,Quantity,Value,,,,,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Bread,kegs,24.92,,0.044642857,169.9,0.654796939,,,,,0,0,,,,4,,,4,3,4,3
Cheese,pounds,,,,169.9,0,,,,,0,0,500,1000,,,1387,1950,4837,0,4837,0
Chocolate,boxes,,,,169.9,0,,,,,0,0,2,,,1,3,,6,0,6,0
Chocolate,pounds,,,,169.9,0,,,,,0,0,50,,200,,20,130,400,0,400,0
Coffee,bags,,,,169.9,0,,13,,,13,0,,,,6,1,,7,0,20,0
Coffee,barrels,,,,169.9,0,,,,,0,0,,,,1,6,,7,0,7,0
Dollars,,0.23,,1,100,0.23,,,,,0,0,,,,,120,,120,28,120,28
Ginger,bags,,,,169.9,0,,,,,0,0,,,,5,,,5,0,5,0
Indigo,pounds,,,,169.9,0,,,,,0,0,,,,25,,,25,0,25,0
Linen,pieces,,,,169.9,0,,,,,0,0,3,,,,,,3,0,3,0
Loaf sugar,pounds,1.06,,0.05,169.9,0.03119482,,,,,0,0,,500,,10956,875,290,12621,394,12621,394
Molasses,barrels,1.76,,1.45,169.9,1.502060035,,1,,,1,2,,,,10,,,10,15,11,17
Molasses,hhds,1.76,,5.05,169.9,5.231312537,,,2,,2,10,3,12,,8,14,10,47,246,49,256
Molasses,tierces,1.76,,3.05,169.9,3.159505592,,2,,,2,6,5,,,,,,5,16,7,22
Pepper,pounds,,,,169.9,0,,,,,0,0,12,,,,,,12,0,12,0
Pimento,bags,,,,169.9,0,,,,,0,0,,,,8,,,8,0,8,0
Refined sugar,pounds,1.06,,0.05,169.9,0.03119482,,,,,0,0,,,2000,,,,2000,62,2000,62
Rice,casks,14.34,,,169.9,0,,,,,0,0,,,,1,1,,2,0,2,0
Rum,hhds,3.02,,5.25,169.9,9.331959976,,116,158,21,295,2753,7,5,,54,27,3,96,896,391,3649
Rum,barrels,3.02,,1.45,169.9,2.57739847,,7,,1,8,21,10,,,,5,15,30,77,38,98
Rum,barrels/tierces,3.02,,2.25,169.9,3.999411418,,16,,,16,64,8,,,,,,8,32,24,96
Rum,tierces,3.02,,3,169.9,5.332548558,,,,,0,0,,,,1,,,1,5,1,5
Salt,hhds,1.7,,0.35,169.9,0.350206004,,,,,0,0,10,,,,,18,28,10,28,10
Salt,bushels,1.7,,0.05,169.9,0.050029429,1200,,,,1200,60,,,,,,,0,0,1200,60
Sugar,barrels,52.94,,0.15,169.9,4.673925839,,45,103,,148,692,,3,,34,,10,47,220,195,912
Tea,canisters,,,,169.9,0,,,,,0,0,,,,,1,,1,0,1,0
Wine,quarter casks,47.29,,0.25,169.9,6.958505003,,,,,0,0,,,,23,,,23,160,23,160
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,3608,,,,,,,,2164,,5772
