Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,WI,,Boston,North Carolina,Philadelphia,Salem,NA,,Liverpool,GB,,Dublin,IRE,,Isle of May,SEU,,TOTAL,
,,1751,,,,Sterling,,,Quantity,Value,,,,,Quantity,Value,,Quantity,Value,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bar iron,tons,25,,1,169.86,14.71800306,,,0,0,,,3,,3,44,,0,0,,0,0,,0,0,3,44
Biscuit,pounds,14.2,,0.000446429,169.86,0.003732065,,,0,0,,,400,,400,1,,0,0,,0,0,,0,0,400,1
Cash,pounds,1,,1,128.42,0.778694907,,180,180,140,,,,,0,0,,0,0,,0,0,,0,0,180,140
Cheese,pounds,,,,169.86,0,,,0,0,,,,500,500,0,,0,0,,0,0,,0,0,500,0
Chocolate,pounds,,,,169.86,0,,,0,0,,,100,,100,0,,0,0,,0,0,,0,0,100,0
Chocolate,boxes,,,,169.86,0,,,0,0,,,8,,8,0,,0,0,,0,0,,0,0,8,0
Coffee,pounds,,,,169.86,0,,,0,0,,,196,,196,0,,0,0,,0,0,,0,0,196,0
Ginger,bags,,,,169.86,0,,,0,0,,,3,,3,0,,0,0,,0,0,,0,0,3,0
Iron,bars,,,,169.86,0,,,0,0,,,580,,580,0,,0,0,,0,0,,0,0,580,0
Molasses,barrels,1.86,,1.45,169.86,1.58777817,,,0,0,,,22,,22,35,,0,0,,0,0,,0,0,22,35
Molasses,hhds,1.86,,5.05,169.86,5.52984811,4,13,17,94,,,15,1,16,88,,0,0,,0,0,,0,0,33,182
Rum,gallons,3.49,,0.05,169.86,0.102731661,14061,31149,45210,4644,307,,4323,,4630,476,,0,0,,0,0,,0,0,49840,5120
Rum,hhds,3.49,,5.25,169.86,10.78682444,,,0,0,,,94,4,98,1057,,0,0,,0,0,,0,0,98,1057
Salt,bushels,1.23,,0.05,169.86,0.036206288,200,4000,4200,152,,,,,0,0,8250,8250,299,,0,0,12000,12000,434,24450,885
Salt,hhds,1.23,,0.35,169.86,0.253444013,,,0,0,,,,2110,2110,535,,0,0,,0,0,,0,0,2110,535
Servants,,9.861818182,,1,100,9.861818182,,,0,0,,,,,0,0,,0,0,80,80,789,,0,0,80,789
Sugar,tierces,47.04,,0.466964286,169.86,12.93182621,3,,3,39,,,,,0,0,,0,0,,0,0,,0,0,3,39
Sugar,quarters,47.04,,0.0125,169.86,0.346167432,,7,7,2,,,,,0,0,,0,0,,0,0,,0,0,7,2
Sugar,cwt,47.04,,0.05,169.86,1.384669728,,447,447,619,,,,,0,0,,0,0,,0,0,,0,0,447,619
Sugar,hhds,47.04,,0.609375,169.86,16.87566231,4,10,14,236,,,,,0,0,,0,0,,0,0,,0,0,14,236
Sugar,barrels,47.04,,0.15,169.86,4.154009184,16,20,36,150,,,18,,18,75,,0,0,,0,0,,0,0,54,225
Sugar,pounds,47.04,,0.000446429,169.86,0.012363123,1200,19,1219,15,,,,,0,0,,0,0,,0,0,,0,0,1219,15
Tar,barrels,11.07,,0.05,169.86,0.325856588,,,0,0,,150,,,150,49,,0,0,,0,0,,0,0,150,49
Wine,quarter casks,30.07,,0.25,169.86,4.425703521,,27,27,119,,,,,0,0,,0,0,,0,0,,0,0,27,119
Wine,barrels,30.07,,0.25,169.86,4.425703521,,,0,0,,,5,,5,22,,0,0,,0,0,,0,0,5,22
Wine,hhds,30.07,,0.5,169.86,8.851407041,,24,24,212,,,,,0,0,,0,0,,0,0,,0,0,24,212
Wine,pipes,30.07,,1,169.86,17.70281408,,15,15,266,,,,,0,0,,0,0,,0,0,,0,0,15,266
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,6688,,,,,,2382,,,299,,,789,,,434,,10592
