Good,Unit,Price,Price,Conv,Exch,Price,Barbadoes,WI,,Boston,North Carolina,Philadelphia,Salem,NA,,Bristol,GB,,Isle of May,SEU,,TOTAL,
,,1742,,,,Sterling,,Quantity,Value,,,,,Quantity,Value,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Beeswax,pounds,,,,159.38,0,,0,0,,400,,,400,0,,0,0,,0,0,400,0
Bread,barrels,15.96,,0.089285714,159.38,0.894089597,,0,0,,,20,,20,18,,0,0,,0,0,20,18
Deer Skin,,,,,159.38,0,,0,0,,150,,,150,0,,0,0,,0,0,150,0
Iron,tons,9.17,,1,159.38,5.753544987,,0,0,,,18,,18,104,,0,0,,0,0,18,104
Molasses,hhds,2.28,,5.05,159.38,7.224243945,21,21,152,,,,7,7,51,,0,0,,0,0,28,203
Negroes,,26.64,,1,100,26.64,,0,0,,,,,0,0,320,320,8525,,0,0,320,8525
Peas,bushels,2.69,,0.05,159.38,0.084389509,,0,0,,100,,,100,8,,0,0,,0,0,100,8
Pepper,pounds,,,,159.38,0,,0,0,10,,,,10,0,,0,0,,0,0,10,0
Pitch,barrels,16.21,,0.05,159.38,0.508533066,,0,0,,109,,,109,55,,0,0,,0,0,109,55
Pork,barrels,54.17,,0.05,159.38,1.699397666,,0,0,,72,,,72,122,,0,0,,0,0,72,122
Rice,pounds,16.17,,0.000446429,159.38,0.00452927,,0,0,,600,,,600,3,,0,0,,0,0,600,3
Rum,gallons,3.64,,0.05,159.38,0.114192496,21015,21015,2400,1983,,950,1773,4706,537,,0,0,,0,0,25721,2937
Salt,bushels,2.785,,0.05,159.38,0.087369808,,0,0,,,,,0,0,,0,0,3000,3000,262,3000,262
Salt,hhds,2.785,,0.35,159.38,0.611588656,,0,0,5,,,10,15,9,,0,0,,0,0,15,9
Spirits,barrels,3.64,,1.45,159.38,3.311582382,,0,0,2,,,,2,7,,0,0,,0,0,2,7
Sugar,hhds,40.94,,0.596428571,159.38,15.32048294,5,5,77,,,,,0,0,,0,0,,0,0,5,77
Sugar,cwt,40.94,,0.05,159.38,1.284351863,76,76,98,,,,,0,0,,0,0,,0,0,76,98
Sugar,barrels,40.94,,0.15,159.38,3.85305559,58,58,223,,,,,0,0,,0,0,,0,0,58,223
Sugar,quarters,40.94,,0.0125,159.38,0.321087966,3,3,1,,,,,0,0,,0,0,,0,0,3,1
Sugar,pounds,40.94,,0.000446429,159.38,0.011467427,4,4,0,400,,,822,1222,14,,0,0,,0,0,1226,14
Tar,barrels,12.75,,0.05,159.38,0.399987451,,0,0,,6,,,6,2,,0,0,,0,0,6,2
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,2951,,,,,,930,,,8525,,,262,,12668
