Good,Unit,Price,Price,Conv,Exch,Price,Barbadoes,WI,,Boston,Nantucket,North Carolina,Salem,NA,,Liverpool,GB,,Africa,AFR,,TOTAL,,,,,,,
,,1741,,,,Sterling,,Quantity,Value,,,,,Quantity,Value,,Quantity,Value,,Quantity,Value,Quantity,Value,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corn,bushels,2.74,,0.05,146.14,0.093745723,,0,0,,,60,,60,6,,0,0,,0,0,60,6,,,,,,
Molasses,hhds,1.82,,5.05,146.14,6.289174764,,0,0,9,,,7,16,101,,0,0,,0,0,16,101,,,,,,
Negroes,,26.64,,1,100,26.64,,0,0,,,,,0,0,,0,0,130,130,3463,130,3463,,,,,,
Pork,barrels,49.83,,0.05,146.14,1.704872041,,0,0,,,80,,80,136,,0,0,,0,0,80,136,,,,,,
Rum,hhds,2.96,,5.25,146.14,10.63363898,65,65,691,5,4,,7,16,170,,0,0,,0,0,81,861,,,,,,
Rum,tierces,2.96,,3,146.14,6.076365129,27,27,164,2,,,,2,12,,0,0,,0,0,29,176,,,,,,
Salt,bushels,2.33,,0.05,146.14,0.079718079,,0,0,,,,,0,0,5524,5524,440,,0,0,5524,440,,,,,,
Sugar,barrels,36.4,,0.15,146.14,3.736143424,11,11,41,7,1,,2,10,37,,0,0,,0,0,21,78,,,,,,
Sugar,hhds,36.4,,0.596428571,146.14,14.8556179,,0,0,,1,,,1,15,,0,0,,0,0,1,15,,,,,,
Sugar,tierces,36.4,,0.444196429,146.14,11.0638771,40,40,443,,,,,0,0,,0,0,,0,0,40,443,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,1339,,,,,,477,,,440,,,3463,,5719,,,,,,
