Good,Unit,Price,Price,Conv,Exch,Price,Anguilla,Antigua,Barbadoes,Virgin Islands,WI,,Bermuda,New Castle DE,NA,,London,GB,,TOTAL,
,,1754,,,,Sterling,,,,,Quantity,Value,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Cash,pounds,1,,1,127.55,0.784006272,,,,25,25,20,90,,90,71,,0,0,115,91
Cotton,bags,1.58,,6,168.35,5.631125631,,1,,,1,6,,,0,0,,0,0,1,6
Indigo,pounds,11.71,,0.05,168.35,0.347787348,,,,,0,0,10,,10,3,,0,0,10,3
Molasses,hhds,2,,5.05,168.35,5.999405999,3,,3,3,9,54,4,,4,24,,0,0,13,78
Molasses,casks,2,,3.05,168.35,3.623403623,,,,,0,0,14,,14,51,,0,0,14,51
Rum,hhds,3.22,,5.25,168.35,10.04158004,3,14,4,4,25,251,9.5,3,12.5,126,,0,0,37.5,377
Salt,bushels,1.55,,0.05,168.35,0.046035046,1300,1400,,700,3400,157,1600,,1600,74,8800,8800,405,13800,636
Sugar,tierces,50.85,,0.466964286,168.35,14.10462366,,1,,,1,14,,,0,0,,0,0,1,14
Sugar,barrels,50.85,,0.15,168.35,4.530739531,,25,3,2,30,136,15,,15,68,,0,0,45,204
Wine,quarter casks,28.96,,0.25,168.35,4.300564301,,,14,,14,60,,,0,0,,0,0,14,60
Wine,hhds,28.96,,0.5,168.35,8.601128601,,,4,,4,34,,,0,0,,0,0,4,34
Wine,pipes,28.96,,1,168.35,17.2022572,,3,4,,7,120,,,0,0,,0,0,7,120
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,852,,,,417,,,405,,1674
