Good,Unit,Price,Price,Conv,Exch,Price,Barbadoes,St. Christophers,WI,,Bermuda,Boston,New York,NA,,Bideford,Liverpool,Whitehaven,Ayr,Dumfries,Glasgow,Greenock,Leith,Montrose,GB,,Holland,NEU,,TOTAL,
,,1751,,,,Sterling,,,Quantity,Value,,,,Quantity,Value,,,,,,,,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biscuit,tons,14.2,,1,169.86,8.359825739,,,0,0,,,2,2,17,,,,,,,,,,0,0,,0,0,2,17
Cheese,pounds,,,,169.86,0,,,0,0,,1000,,1000,0,,,,,,,,,,0,0,,0,0,1000,0
Convicts,,9.861818182,,1,100,9.861818182,,,0,0,,1,,1,10,30,12,22,4,13,4,4,53,14,156,1538,1,1,10,158,1558
Molasses,tierces,1.86,,3.05,169.86,3.339809255,,,0,0,,1,,1,3,,,,,,,,,,0,0,,0,0,1,3
Molasses,hhds,1.86,,5.05,169.86,5.52984811,10,18,28,155,4,1,,5,28,,,,,,,,,,0,0,,0,0,33,183
Negroes,,27.12,,1,100,27.12,52,,52,1410,,,,0,0,,,,,,,,,,0,0,,0,0,52,1410
Rum,tierces,3.49,,3,169.86,6.163899682,10,,10,62,,,,0,0,,,,,,,,,,0,0,,0,0,10,62
Rum,barrels,3.49,,1.45,169.86,2.97921818,,,0,0,,7,,7,21,,,,,,,,,,0,0,,0,0,7,21
Rum,hhds,3.49,,5.25,169.86,10.78682444,106,12,118,1273,2,2,10,14,151,,,,,,,,,,0,0,,0,0,132,1424
Salt,bushels,1.23,,0.05,169.86,0.036206288,,,0,0,1600,1000,,2600,94,,,,,,,,500,1400,1900,69,,0,0,4500,163
Sugar,tierces,47.04,,0.466964286,169.86,12.93182621,,,0,0,,1,,1,13,,,,,,,,,,0,0,,0,0,1,13
Sugar,barrels,47.04,,0.15,169.86,4.154009184,84,15,99,411,,4,2,6,25,,,,,,,,,,0,0,,0,0,105,436
Sugar,hhds,47.04,,0.609375,169.86,16.87566231,,,0,0,1,,,1,17,,,,,,,,,,0,0,,0,0,1,17
Tobacco,hhds,20.19,,0.503,169.86,5.978788414,,,0,0,,,,0,0,,,,,,,346,,,346,2069,,0,0,346,2069
Wine,pipes,30.07,,1,169.86,17.70281408,,,0,0,,,1,1,18,,,,,,,,,,0,0,,0,0,1,18
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,3311,,,,,397,,,,,,,,,,,3676,,,10,,7394
