OXFO Entries,,,,,,,,,,,
SUMMARY,,,,,,,,,,Check,
,,,,,,,,,Sum,from,
,WI,NA,GB,IRE,NEU,SEU,AFR,UNK,Total,Page,INDEX
1725,476,729,174,0,0,0,0,227,1606,,
1726,868,827,0,0,0,11,0,51,1756,,
1727,362,696,270,0,0,95,0,39,1462,,
1728,453,738,222,0,0,78,0,0,1491,,
1729,544,780,174,0,0,61,0,0,1559,,
1730,634,822,126,0,0,172,0,0,1754,,
1731,710,564,77,0,0,87,0,0,1437,,
1732,804,435,77,0,0,141,0,0,1457,,
1733,899,282,77,0,0,361,389,0,2006,,
1734,856,542,0,0,0,329,1970,0,3697,,
1735,874,446,0,0,0,438,0,0,1759,,
1736,893,351,0,0,0,546,1596,0,3386,,
1737,765,480,0,0,0,239,847,0,2330,,
1738,972,628,0,0,0,369,1199,0,3168,,
1739,712,649,0,0,0,288,3437,0,5086,,
1740,1224,790,254,0,0,57,879,0,3205,,
1741,1232,1302,0,116,0,540,2584,0,5775,,
1742,1034,1347,66,0,0,480,0,0,2927,,
1743,1646,2415,439,0,0,0,799,0,5299,5299,
1744,952,865,1971,0,0,449,0,0,4237,4237,
1745,558,1307,1403,260,0,0,0,0,3528,3528,
1746,1639,720,605,2080,0,0,0,0,5044,5044,
1747,1528,1288,1963,1387,0,110,0,0,6275,,
1748,1417,1855,3322,693,0,220,0,0,7507,,
1749,1306,2423,4680,0,0,330,0,0,8738,,
1750,1803,620,991,0,0,705,0,0,4118,,
1751,7873,661,35,0,0,109,0,0,8677,,
1752,3728,1378,730,25,0,0,691,0,6551,,
1753,1998,1403,2311,1408,0,0,0,49,7169,,
1754,2976,23376,1018,235,0,252,0,0,27856,,
1755,2775,1109,3437,223,0,355,0,0,7898,,
1756,2993,602,2281,30,0,0,1490,0,7395,,
1757,2224,1064,2573,0,0,0,0,0,5861,,
1758,5037,456,1260,0,0,214,0,0,6967,,
1759,4024,961,2276,0,0,774,4019,0,12053,,
1760,4873,1638,1507,0,0,224,5929,0,14171,,
1761,2767,8891,0,0,0,0,0,0,11658,11658,
1762,2479,4183,0,0,0,0,0,0,6662,6662,
1763,1055,1574,778,0,0,0,176,0,3583,3583,
1764,2318,4555,0,720,0,468,0,0,8061,8061,
1765,1486,5470,67,0,0,259,0,0,7282,7282,
1766,1965,1176,335,695,0,0,0,0,4171,4171,
1767,1729,1593,716,0,0,0,0,0,4038,4038,
1768,2502,2976,1802,202,0,421,0,0,7903,7903,
1769,1110,3313,5292,0,0,0,0,0,9715,9715,
1770,2288,2138,0,961,0,0,4760,0,10147,10147,
1771,1870,1135,471,1019,0,0,3993,0,8488,8488,
1772,1433,2767,895,140,0,138,3302,0,8675,8675,
1773,,,,,,,,,0,,
1774,,,,,,,,,0,,
1775,,,,,,,,,0,,
