POCO Clearnaces,,,,,,,,,
SUMMARY,,,,,,,,,
,,,,,,,,,SUM
,WI,NA,GB,IRE,NEU,SEU,AFR,UNK,TOTAL
1725,0,492,8662,0,0,0,0,0,9154
1726,126,787,4872,0,0,0,0,0,5784
1727,251,1081,4635,0,0,145,0,150,6262
1728,254,1277,3971,0,0,0,0,0,5502
1729,258,1472,3531,0,0,0,0,0,5261
1730,261,1668,2954,0,0,204,0,0,5087
1731,107,1434,2861,0,0,0,0,0,4402
1732,58,3367,3201,0,0,0,0,0,6626
1733,198,1601,3705,0,0,0,0,0,5504
1734,43,2040,3928,0,0,223,0,0,6234
1735,0,1993,3298,0,0,0,0,0,5290
1736,0,1945,3229,0,0,0,0,0,5174
1737,0,1898,3735,0,0,0,0,0,5633
1738,0,1851,3955,0,0,0,0,0,5806
1739,0,1803,3508,0,0,0,0,0,5311
1740,0,1756,3268,0,0,0,0,0,5024
1741,0,1709,4019,0,0,0,0,0,5727
1742,0,1661,4439,0,0,0,0,0,6100
1743,0,1614,4121,0,0,0,0,0,5735
1744,0,1567,3112,0,0,0,0,0,4679
1745,0,1519,3094,0,0,0,0,0,4614
1746,0,1472,3247,0,0,0,0,0,4719
1747,0,2011,3736,0,0,0,0,0,5747
1748,0,2550,4338,0,0,0,0,0,6888
1749,841,3089,4186,0,0,0,0,0,8116
1750,1156,3072,4919,0,0,0,0,0,9147
1751,1471,3055,4992,0,0,0,0,0,9518
1752,1786,3038,4971,0,0,0,0,0,9795
1753,1763,3576,4808,0,0,0,0,0,10147
1754,1739,4115,4332,0,0,0,0,0,10186
1755,1716,4653,3634,0,0,0,0,0,10003
1756,1692,5192,3714,0,0,0,0,0,10598
1757,1669,5730,4277,0,0,0,0,0,11676
1758,1645,6269,4579,0,0,0,0,0,12493
1759,1622,6807,5283,0,0,0,0,0,13712
1760,974,4552,5224,0,0,0,0,0,10750
1761,348,5131,5164,0,0,101,0,0,10744
1762,768,12716,5138,0,0,0,0,0,18622
1763,1029,13605,4860,0,0,0,0,0,19494
1764,1289,14495,4508,0,0,0,0,0,20292
1765,1550,15384,4820,0,0,310,0,0,22064
1766,2184,6507,5729,0,0,0,0,0,14420
1767,1777,6256,6028,0,0,0,0,0,14061
1768,1370,6005,5859,0,0,752,0,0,13986
1769,3962,9988,6977,0,0,526,0,0,21453
1770,4010,7725,7981,0,0,0,0,0,19716
1771,4058,5461,8199,0,0,0,0,0,17718
1772,,,,,,,,,0
1773,,,,,,,,,0
1774,,,,,,,,,0
1775,,,,,,,,,0
