NPOT Entrances,,,,,,,,,
SUMMARY,,,,,,,,,
,,,,,,,,,SUM
,WI,NA,GB,IRE,NEU,SEU,AFR,UNK,TOTAL
1725,2234,1785,0,0,0,0,0,0,4019
1726,2436,929,0,0,0,0,0,0,3365
1727,1136,239,0,0,0,0,0,0,1375
1728,1015,196,382,0,0,0,0,0,1593
1729,894,154,764,0,0,0,0,0,1812
1730,773,111,1146,0,0,0,0,0,2030
1731,216,638,0,0,0,0,0,0,854
1732,442,631,0,0,0,0,0,0,1073
1733,668,625,0,0,0,0,0,0,1293
1734,456,260,740,0,0,0,3608,0,5064
1735,936,653,407,0,0,0,0,0,1996
1736,1416,1046,74,0,0,0,7933,0,10469
1737,50,719,774,454,0,299,6638,0,8933
1738,193,38,0,0,0,0,2331,0,2561
1739,996,215,125,0,0,0,4329,0,5665
1740,0,759,0,0,0,0,1765,0,2524
1741,1674,596,550,0,0,0,4329,0,7149
1742,436,1610,499,0,0,0,0,0,2545
1743,711,941,1481,0,0,470,0,0,3604
1744,619,2126,0,0,0,0,0,0,2745
1745,968,0,0,0,0,0,0,0,968
1746,1444,431,0,0,0,0,0,0,1875
1747,1624,617,247,0,0,0,0,0,2488
1748,1804,802,494,0,0,0,0,0,3100
1749,1984,988,741,555,0,299,0,0,4566
1750,2578,84,745,0,0,0,0,0,3406
1751,4139,496,4595,0,13,0,0,0,9243
1752,5201,308,1170,0,0,0,6679,0,13358
1753,3133,414,838,0,0,0,0,0,4386
1754,1065,521,506,0,0,0,0,0,2093
1755,2616,644,23,0,0,1293,0,0,4575
1756,1249,21,0,0,0,0,0,0,1270
1757,1044,301,178,0,0,0,0,0,1523
1758,840,580,356,0,0,169,0,0,1945
1759,560,768,238,0,0,0,0,0,1565
1760,280,956,119,0,0,0,0,0,1355
1761,0,1144,0,0,0,0,0,0,1144
1762,368,1024,0,0,0,0,0,0,1391
1763,9081,755,786,0,0,319,0,0,10941
1764,398,1849,0,0,0,0,0,0,2246
1765,1324,1959,223,0,0,0,3084,0,6589
1766,3141,845,314,0,0,281,0,0,4581
1767,2915,1879,360,0,0,0,0,0,5153
1768,2688,2912,406,0,0,0,0,0,6006
1769,2461,3946,452,0,0,0,0,0,6858
1770,2234,4979,498,0,0,0,0,0,7711
1771,2008,6013,544,205,0,0,0,0,8769
1772,,,,,,,,,0
1773,,,,,,,,,0
1774,,,,,,,,,0
1775,,,,,,,,,0
