NPOT Clearnaces,,,,,,,,,
SUMMARY,,,,,,,,,
,,,,,,,,,SUM
,WI,NA,GB,IRE,NEU,SEU,AFR,UNK,TOTAL
1725,66,575,28120,0,0,0,0,0,28761
1726,0,791,28941,0,0,0,0,0,29733
1727,0,401,15390,0,0,0,0,0,15791
1728,0,310,14238,0,0,0,0,0,14547
1729,0,218,13085,0,0,0,0,0,13303
1730,0,126,11933,0,0,0,0,0,12059
1731,0,515,15885,0,0,0,0,0,16400
1732,19,496,13324,0,0,0,0,0,13839
1733,39,476,10764,39,0,0,0,0,11318
1734,909,620,17531,0,0,0,0,0,19060
1735,499,601,14873,0,0,0,0,0,15974
1736,90,583,12215,0,0,0,0,0,12888
1737,240,919,21590,0,0,99,0,0,22848
1738,0,94,11568,0,0,335,0,0,11996
1739,49,564,26411,0,0,0,0,0,27024
1740,0,1155,23801,0,0,0,0,0,24956
1741,19,279,31564,0,0,0,0,0,31861
1742,0,760,36210,0,0,0,0,0,36970
1743,0,551,35819,0,0,0,0,0,36370
1744,0,60,21674,0,0,251,0,0,21985
1745,0,214,37360,0,0,0,0,915,38489
1746,178,199,29905,0,0,0,0,0,30281
1747,118,198,36133,0,0,0,0,0,36449
1748,59,197,42361,0,0,0,0,0,42617
1749,0,196,48589,0,0,0,0,0,48785
1750,489,639,49084,0,0,435,0,0,50646
1751,621,245,49394,79,0,0,0,0,50339
1752,959,819,57228,70,0,335,0,0,59410
1753,982,725,51470,0,0,305,0,0,53482
1754,1005,631,45713,0,0,275,0,0,47624
1755,866,829,40064,0,0,210,0,0,41969
1756,535,264,13829,0,0,0,0,0,14628
1757,917,546,39998,0,0,0,0,0,41461
1758,1299,828,66168,0,0,0,0,0,68294
1759,1015,655,61506,0,0,0,0,0,63175
1760,730,483,56844,0,0,0,0,0,58057
1761,446,310,52183,0,0,0,0,0,52939
1762,221,1346,68913,0,0,0,0,0,70480
1763,610,1520,27768,0,0,0,0,27728,57625
1764,2286,1160,44123,0,0,0,0,0,47569
1765,2134,2861,42589,0,0,3349,0,0,50933
1766,3029,1039,63794,140,0,1924,0,0,69925
1767,2761,2131,86287,275,0,3026,0,0,94479
1768,2493,3223,108779,409,0,4128,0,0,119033
1769,2225,4316,131272,544,0,5231,0,0,143586
1770,1957,5408,153765,678,0,6333,0,0,168140
1771,1689,6500,176258,813,0,7435,0,0,192694
1772,,,,,,,,,0
1773,,,,,,,,,0
1774,,,,,,,,,0
1775,,,,,,,,,0
