Good,Unit,Price,Price,Conv,Exch,Price,Anguilla,Barbadoes,Jamaica,WI,,Turks Island,Bermuda,Boston,NA,,Whitehaven,Kirkcudbright,GB,,TOTAL,
,,1727,,,,Sterling,,,,Quantity,Value,,,,Quantity,Value,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Chocolate,pounds,,,,149.58,0,30,,,30,0,,,,0,0,,,0,0,30,0
Cotton,pounds,,,,149.58,0,1500,,,1500,0,,,,0,0,,,0,0,1500,0
Linen,yards,,,,149.58,0,,,,0,0,,,,0,0,11542,2230,13772,0,13772,0
Molasses,hhds,1.43,,5.05,149.58,4.827851317,,5,,5,24,,,,0,0,,,0,0,5,24
Rum,tierces,2.87,,3,149.58,5.756117128,,58,,58,334,,1,10,11,63,,,0,0,69,397
Rum,hhds,2.87,,5.25,149.58,10.07320497,,22,,22,222,,2,,2,20,,,0,0,24,242
Rum,barrels,2.87,,1.45,149.58,2.782123279,,7,,7,19,,1,10,11,31,,,0,0,18,50
Salt,bushels,2.07,,0.05,149.58,0.069193742,1400,300,,1700,118,900,,,900,62,,,0,0,2600,180
Sugar,tierces,32.63,,0.480803571,149.58,10.48844801,,2,,2,21,,,,0,0,,,0,0,2,21
Sugar,hhds,32.63,,0.583035714,149.58,12.71858227,4,,1,5,64,,,,0,0,,,0,0,5,64
Sugar,barrels,32.63,,0.175,149.58,3.817522396,,28,,28,107,,4,,4,15,,,0,0,32,122
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,909,,,,,191,,,,0,,1100
