Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Spanish Town,WI,,Bermuda,Boston,North Carolina,Salem,NA,,Liverpool,GB,,Dublin,IRE,,Africa,AFR,,TOTAL,
,,1736,,,,Sterling,,,,Quantity,Value,,,,,Quantity,Value,,Quantity,Value,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beeswax,pounds,,,,167,0,,,,0,0,,,20,,20,0,,0,0,,0,0,,0,0,20,0
Cheese,pounds,,,,167,0,,,,0,0,,1700,,100,1800,0,,0,0,,0,0,,0,0,1800,0
Ginger,pounds,,,,167,0,,,,0,0,,25,,,25,0,,0,0,,0,0,,0,0,25,0
Linen,yards,,,,167,0,,1837,,1837,0,,,,,0,0,,0,0,418,418,0,,0,0,2255,0
Molasses,hhds,1.68,,5.05,167,5.080239521,,,2,2,10,,22,,3,25,127,,0,0,,0,0,,0,0,27,137
Molasses,tierces,1.68,,3.05,167,3.068263473,,,,0,0,,5,,,5,15,,0,0,,0,0,,0,0,5,15
Molasses,barrels,1.68,,1.45,167,1.458682635,,8,,8,12,,,,,0,0,,0,0,,0,0,,0,0,8,12
Molasses,gallons,1.68,,0.05,167,0.050299401,,630,,630,32,,,,,0,0,,0,0,,0,0,,0,0,630,32
Negroes,,18.5,,1,100,18.5,,,,0,0,,,,,0,0,,0,0,,0,0,343,343,6346,343,6346
Pitch,barrels,12.25,,0.05,167,0.366766467,,,,0,0,,,71,,71,26,,0,0,,0,0,,0,0,71,26
Rum,tierces,2.24,,3,167,4.023952096,,,,0,0,2,5,,,7,28,,0,0,,0,0,,0,0,7,28
Rum,hhds,2.24,,5.25,167,7.041916168,23,46,2,71,500,1,20,,21,42,296,,0,0,,0,0,,0,0,113,796
Rum,barrels,2.24,,1.45,167,1.94491018,24,29,,53,103,1,,,2,3,6,,0,0,,0,0,,0,0,56,109
Rum,gallons,2.24,,0.05,167,0.067065868,,4480,,4480,300,,,,,0,0,,0,0,,0,0,,0,0,4480,300
Salt,hhds,1.64,,0.35,167,0.343712575,,,,0,0,,55,,8,63,22,,0,0,,0,0,,0,0,63,22
Salt,bushels,1.64,,0.05,167,0.049101796,,,600,600,29,4100,130,,,4230,208,1200,1200,59,,0,0,,0,0,6030,296
Sugar,tierces,32.81,,0.444642857,167,8.73576775,,,,0,0,,4,,,4,35,,0,0,,0,0,,0,0,4,35
Sugar,barrels,32.81,,0.15,167,2.947005988,11,37,2,50,147,,7,,,7,21,,0,0,,0,0,,0,0,57,168
Sugar,hhds,32.81,,0.596428571,167,11.71785714,,,,0,0,1,1,,1,3,35,,0,0,,0,0,,0,0,3,35
Tar,barrels,8.98,,0.05,167,0.268862275,,,,0,0,,,38,,38,10,,0,0,,0,0,,0,0,38,10
Turpentine,barrels,16.8,,0.05,167,0.502994012,,,,0,0,,,16,,16,8,,0,0,,0,0,,0,0,16,8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,1133,,,,,,837,,,59,,,0,,,6346,,8375
