Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,WI,,Boston,NA,,London,GB,,TOTAL,
,,1730,,,,Sterling,,,Quantity,Value,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Cheese,pounds,,,,152.03,0,,,0,0,400,400,0,,0,0,400,0
Molasses,tierces,1.54,,3.05,152.03,3.089521805,4,,4,12,,0,0,,0,0,4,12
Molasses,hhds,1.54,,5.05,152.03,5.115437743,4,8,12,61,6,6,31,,0,0,18,92
Rum,tierces,2.51,,3,152.03,4.952969809,,1,1,5,8,8,40,,0,0,9,45
Rum,hhds,2.51,,5.25,152.03,8.667697165,29,21,50,433,,0,0,,0,0,50,433
Salt,hhds,3.09,,0.35,152.03,0.711372755,,,0,0,15,15,11,,0,0,15,11
Sugar,barrels,32.13,,0.175,152.03,3.698447675,19,10,29,107,2,2,7,,0,0,31,114
Wine,pipes,20.5,,1,152.03,13.48418075,,,0,0,,0,0,61,61,823,61,823
Wine,hhds,20.5,,0.5,152.03,6.742090377,,,0,0,,0,0,14,14,94,14,94
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,618,,,89,,,917,,1624
