Good,Unit,Price,Price,Conv,Exch,Price,Barbadoes,WI,,Bermuda,Boston,Philadelphia,NA,,TOTAL,
,,1744,,,,Sterling,,Quantity,Value,,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Bread and flour,barrels,7.68,,0.089285714,166.67,0.411420343,,0,0,,,59,59,24,59,24
Chocolate,boxes,,,,166.67,0,,0,0,,,3,3,0,3,0
Coffee,casks,,,,166.67,0,,0,0,,,6,6,0,6,0
Molasses,tierces,1.8,,3.05,166.67,3.293934121,,0,0,,,8,8,26,8,26
Molasses,barrels,1.8,,1.45,166.67,1.565968681,15,15,23,,4,,4,6,19,29
Molasses,hhds,1.8,,5.05,166.67,5.453890922,,0,0,,8,12,20,109,20,109
Pistoles,,0.83,,1,100,0.83,,0,0,28,,,28,23,28,23
Rum,tierces,3.2,,3,166.67,5.759884802,13,13,75,,2,,2,12,15,87
Rum,barrels,3.2,,1.45,166.67,2.783944321,8,8,22,,,,0,0,8,22
Rum,hhds,3.2,,5.25,166.67,10.0797984,12,12,121,1,89,36,126,1270,138,1391
Salt,bushels,2.14,,0.05,166.67,0.064198716,,0,0,1500,,,1500,96,1500,96
Salt,hhds,2.14,,,166.67,0,,0,0,,1.5,,1.5,0,1.5,0
Sugar,barrels,49.97,,0.15,166.67,4.497210056,12,12,54,,23,7,30,135,42,189
Sugar,tierces,49.97,,0.444196429,166.67,13.31763097,15,15,200,,,,0,0,15,200
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,495,,,,,1701,,2196
