Good,Unit,Price,Price,Conv,Exch,Price,Barbadoes,WI,,Bermuda,Boston,NA,,Whitehaven,GB,,TOTAL,
,,1726,,,,Sterling,,Quantity,Value,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Cheese,pounds,,,,144.46,0,,0,0,,61,61,0,,0,0,61,0
Linen,yards,,,,144.46,0,3160,3160,0,,,0,0,12707,12707,0,15867,0
Molasses,tierces,1.45,,3.05,144.46,3.06140108,2,2,6,,,0,0,,0,0,2,6
Molasses,hhds,1.45,,5.05,144.46,5.068877198,4,4,20,,16,16,81,,0,0,20,101
Planks,,3.6,,0.005,144.46,0.012460197,,0,0,,3000,3000,37,,0,0,3000,37
Rum,tierces,3.19,,3,144.46,6.624671189,56,56,371,,,0,0,,0,0,56,371
Rum,barrels,3.19,,1.45,144.46,3.201924408,34,34,109,,9,9,29,,0,0,43,138
Rum,hhds,3.19,,5.25,144.46,11.59317458,99,99,1148,4,26,30,348,,0,0,129,1496
Salt,hhds,1.85,,0.35,144.46,0.448220961,,0,0,,48,48,22,,0,0,48,22
Salt,bushels,1.84,,0.05,144.46,0.063685449,,0,0,1900,390,2290,146,,0,0,2290,146
Sugar,tierces,36.35,,0.480803571,144.46,12.09830391,,0,0,,1,1,12,,0,0,1,12
Sugar,barrels,36.35,,0.175,144.46,4.403468088,67,67,295,2,7,9,40,,0,0,76,335
Wine,pipes,20.5,,1,144.46,14.19077945,,0,0,,2,2,28,,0,0,2,28
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,1949,,,,743,,,0,,2692
