Good,Unit,Price,Price,Conv,Exch,Price,St. Christophers,St. Eustatia,WI,,Boston,Philadelphia,Rhode Island,NA,,Liverpool,GB,,Isle of May,SEU,,TOTAL,
,,1763,,,,Sterling,,,Quantity,Value,,,,Quantity,Value,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Chocolate,boxes,,,,173,0,,,0,0,1,,,1,0,,0,0,,0,0,1,0
Ginger,barrels,,,,173,0,,,0,0,2,,,2,0,,0,0,,0,0,2,0
Molasses,tierces,1.99,,3.05,173,3.508381503,7,,7,25,2,,,2,7,,0,0,,0,0,9,32
Molasses,hhds,1.99,,5.05,173,5.808959538,10,,10,58,,,10,10,58,,0,0,,0,0,20,116
Rum,kegs,3.72,,0.725,173,1.558959538,,,0,0,,,2,2,3,,0,0,,0,0,2,3
Rum,hhds,3.72,,5.25,173,11.28901734,18,,18,203,3,9,,12,135,,0,0,,0,0,30,338
Rum,tierces,3.72,,3,173,6.450867052,9,,9,58,,,,0,0,,0,0,,0,0,9,58
Salt,hhds,2.21,,0.35,173,0.447109827,,,0,0,6,,,6,3,,0,0,,0,0,6,3
Salt,bushels,2.21,,0.05,173,0.063872832,,,0,0,,,,0,0,9844,9844,629,4000,4000,255,13844,884
Sugar,tierces,49.79,,0.489285714,173,14.08181255,,100,100,1408,2,,,2,28,,0,0,,0,0,102,1436
Sugar,barrels,49.79,,0.15,173,4.317052023,,,0,0,2,,5,7,30,,0,0,,0,0,7,30
Sugar,hhds,49.79,,0.632142857,173,18.19329067,,303,303,5513,,3,,3,55,,0,0,,0,0,306,5568
Wine,pipes,49.34,,1,173,28.52023121,,,0,0,,10,,10,285,,0,0,,0,0,10,285
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,7265,,,,,604,,,629,,,255,,8753
