Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,WI,,Ipswich NE,New York,Philadelphia,NA,,Bideford,Liverpool,Whitehaven,Ayr,Dumfries,Glasgow,Greenock,Kirkcudbright,GB,,Dublin,IRE,,Isle of May,SEU,,TOTAL,
,,1749,,,,Sterling,,,Quantitiy,Value,,,,Quantity,Value,,,,,,,,,Quantity,Value,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beans,bushels,2.63,,0.05,171.39,0.076725597,,,0,0,,,16,16,1,,,,,,,,,0,0,,0,0,,0,0,16,1
Convicts,,9.861818182,,1,100,9.861818182,,,0,0,,,,0,0,1,1,2,2,11,4,5,3,29,286,45,45,444,,0,0,74,730
Flour,barrels,16.59,,0.089285714,171.39,0.864256958,,,0,0,,,36,36,31,,,,,,,,,0,0,,0,0,,0,0,36,31
Molasses,tierces,2.08,,3.05,171.39,3.701499504,,,0,0,1,,,1,4,,,,,,,,,0,0,,0,0,,0,0,1,4
Molasses,casks,2.08,,3.05,171.39,3.701499504,,,0,0,,2,34,36,133,,,,,,,,,0,0,,0,0,,0,0,36,133
Negroes,,27.12,,1,100,27.12,10,20,30,814,,,,0,0,,,,,,,,,0,0,,0,0,,0,0,30,814
Rum,tierces,3.77,,3,171.39,6.598984772,,6,6,40,,,,0,0,,,,,,,,,0,0,,0,0,,0,0,6,40
Rum,hhds,3.77,,5.25,171.39,11.54822335,23,,23,266,3,,43,46,531,,,,,,,,,0,0,,0,0,,0,0,69,797
Salt,bushels,2.345,,0.05,171.39,0.068411226,6000,,6000,410,,,,0,0,,4484,,,,,,,4484,307,,0,0,3500,3500,239,13984,956
Sugar,barrels,46.83,,0.15,171.39,4.098547173,,14,14,57,2,17,3,22,90,,,,,,,,,0,0,,0,0,,0,0,36,147
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,1587,,,,,790,,,,,,,,,,593,,,444,,,239,,3653
